id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1125097,Cottage in Angaston · ★4.88 · 1 bedroom · 1 bed · 1 bath,6172214,Heather,,Angaston,-34.49563,139.0293,Entire home/apt,254,2,194,2023-09-17,1.59,3,333,27,
1133195,Cottage in Angaston · ★4.83 · 1 bedroom · 1 bed · 1 bath,6172214,Heather,,Angaston,-34.49538,139.03086,Entire home/apt,236,2,71,2023-08-28,0.65,3,353,12,
1133236,Rental unit in Angaston · ★4.89 · 1 bedroom · 1 bed · 1 private bath,6172214,Heather,,Penrice,-34.49372,139.03199,Private room,260,1,63,2023-06-11,0.54,3,355,14,
1710462,Cabin in Shea-Oak Log · ★4.77 · 1 bedroom · 1 bed · 1 bath,6645956,Kylie And Tom,,Shea-Oak Log,-34.51049,138.81731,Entire home/apt,102,2,543,2023-09-17,4.51,1,285,44,
1787389,Rental unit in Tanunda · ★4.39 · 2 bedrooms · 2 beds · 2 baths,9380091,Kym,,Tanunda,-34.52737,138.953,Entire home/apt,356,2,18,2023-01-08,0.19,14,317,1,
2028951,Vacation home in Lyndoch · ★4.67 · 2 bedrooms · 2 beds · 1 bath,10421165,Mark And Fiona,,Lyndoch,-34.60392,138.88311,Entire home/apt,199,2,18,2023-08-14,1.02,2,321,10,
2327616,Guesthouse in Gawler River · ★4.74 · 1 bedroom · 2 beds · 1 bath,6713275,Bill,,Gawler River,-34.60549,138.64723,Entire home/apt,95,1,168,2023-09-19,1.61,1,356,43,
2567051,Bed and breakfast in Cockatoo Valley · ★4.84 · 2 bedrooms · 2 beds · 2 baths,10726293,Rebecca,,Cockatoo Valley,-34.63808,138.84598,Private room,210,2,32,2023-08-22,0.30,1,338,1,
5289072,Cabin in Mount McKenzie · ★4.95 · 3 bedrooms · 3 beds · 2 baths,27321203,Phillip,,Flaxman Valley,-34.56405,139.07988,Entire home/apt,220,3,123,2022-10-29,1.28,1,180,4,
5426792,Guesthouse in Nuriootpa · ★4.79 · 1 bedroom · 1 bed · 1 bath,28149709,Andrew & Belinda,,Nuriootpa,-34.46333,139.00032,Entire home/apt,67,1,165,2023-09-17,1.73,1,124,27,
5537173,Villa in Lyndoch · ★4.94 · 1 bedroom · 1 bed · 1 bath,28712482,Nelly,,Lyndoch,-34.58503,138.86457,Entire home/apt,425,2,35,2023-06-03,0.58,3,309,1,
6157653,Cottage in Penrice · ★4.93 · 1 bedroom · 1 bed · 1 bath,31945359,Julie,,Penrice,-34.4872,139.04529,Entire home/apt,290,1,28,2022-04-19,0.28,1,296,0,
6170279,Cottage in Tanunda · ★4.90 · 1 bedroom · 1 bed · 1 bath,32013001,Wendy,,Tanunda,-34.50938,138.97314,Entire home/apt,196,2,169,2023-09-15,1.65,1,35,9,
6170887,Cottage in Nuriootpa · ★4.67 · 3 bedrooms · 4 beds · 1 bath,32017867,Elderton,,Nuriootpa,-34.47753,138.99632,Entire home/apt,400,2,31,2022-09-26,0.31,1,295,1,
6296823,Cottage in Tanunda · ★4.91 · 2 bedrooms · 2 beds · 1 bath,32743215,Veritas Retreat Barossa,,Tanunda,-34.50398,138.96065,Entire home/apt,312,2,89,2023-09-17,0.87,2,258,9,
6886387,Guesthouse in Angaston · ★4.78 · 1 bedroom · 1 bed · 1 bath,36084981,Alice And Tony,,Angaston,-34.49101,139.01777,Entire home/apt,91,7,316,2023-09-15,3.15,1,69,1,
7055506,Cottage in Tanunda · ★4.93 · 2 bedrooms · 2 beds · 1 bath,10626104,Karen,,Tanunda,-34.50158,138.99585,Entire home/apt,243,2,180,2021-10-17,1.82,2,1,0,
7297171,Rental unit in Angaston · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,26147078,Jonathan And Kate,,Angaston,-34.50003,139.03542,Private room,95,1,150,2019-04-28,1.53,2,0,0,
9264671,Guest suite in Tanunda · ★4.61 · 1 bedroom · 1 bed · 1 private bath,17055114,Tracey,,Tanunda,-34.52982,138.95272,Private room,146,2,28,2023-05-31,0.31,4,241,1,
9319789,Home in Tanunda · ★4.90 · 5 bedrooms · 5 beds · 3 baths,17055114,Tracey,,Tanunda,-34.52808,138.95335,Entire home/apt,821,1,97,2023-09-01,1.07,4,290,16,
9319994,Home in Tanunda · ★4.88 · 3 bedrooms · 3 beds · 3 baths,17055114,Tracey,,Tanunda,-34.52751,138.95261,Entire home/apt,468,2,69,2023-05-23,0.78,4,290,15,
9453124,Home in Tanunda · ★4.89 · 4 bedrooms · 4 beds · 3 baths,17055114,Tracey,,Tanunda,-34.52797,138.95259,Entire home/apt,708,1,38,2023-07-30,0.40,4,290,9,
9714178,Home in Tanunda · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,50149490,Yvette,,Tanunda,-34.52206,138.96239,Entire home/apt,515,2,80,2023-08-14,0.89,1,223,22,
10285222,Rental unit in Tanunda · ★4.30 · 1 bedroom · 1 bed · 1 bath,9380091,Kym,,Tanunda,-34.52688,138.95464,Entire home/apt,219,2,10,2020-03-18,0.11,14,53,0,
10287444,Home in Tanunda · ★4.24 · 3 bedrooms · 5 beds · 1 bath,9380091,Kym,,Tanunda,-34.52677,138.95225,Entire home/apt,271,2,17,2023-05-21,0.18,14,47,1,
