id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,Home in Fairhaven · ★4.90 · 4 bedrooms · 5 beds · 3.5 baths,81292,Laurel & Sue,,Surf Coast,-38.46329,144.09163,Entire home/apt,400,3,51,2023-01-18,0.47,4,89,3,
27561,Home in Jan Juc · 4 bedrooms · 6 beds · 2.5 baths,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,500,5,2,2022-04-18,0.04,2,87,0,
70449,Home in Birregurra · ★4.83 · 2 bedrooms · 3 beds · 2 baths,357052,Craig,,Colac Otway,-38.32982,143.82842,Entire home/apt,303,1,53,2023-07-29,0.50,1,310,7,
84516,Home in Port Fairy · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,534,2,136,2023-08-21,1.18,1,0,15,
195168,Home in Lorne · ★4.82 · 3 bedrooms · 5 beds · 2 baths,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,600,2,28,2023-04-18,0.20,1,344,6,
291691,Place to stay in Barwon Heads · ★4.47 · 1 bedroom · 2 beds · 1 bath,1511087,Kim,,Greater Geelong,-38.27942,144.49073,Entire home/apt,79,2,76,2023-09-12,0.54,2,0,14,
372470,Home in Wensleydale · ★4.96 · 5 bedrooms · 11 beds · 2.5 baths,1875131,Charleson,,Surf Coast,-38.33816,144.02221,Entire home/apt,759,2,193,2023-09-20,2.00,1,284,38,
403682,Home in Aireys Inlet · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,439,2,186,2023-04-13,1.30,1,157,3,
479888,Home in Lorne · ★4.68 · 3 bedrooms · 4 beds · 1 bath,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,600,2,76,2023-05-22,0.82,5,118,9,
488344,Guest suite in Fairhaven · ★4.95 · 1 bedroom · 1 bed · 1 bath,2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,150,2,273,2023-09-03,3.06,2,224,53,
488599,Home in Geelong · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,320,1,278,2023-04-16,2.27,5,301,1,
606687,Rental unit in Point Lonsdale · ★4.95 · 1 bedroom · 1 bed · 1 bath,3005560,John & Suzy,,Queenscliffe,-38.2825,144.61339,Entire home/apt,257,2,349,2023-08-20,2.60,1,165,29,
675196,Rental unit in North Geelong · ★4.89 · 1 bedroom · 1 bed · 1 bath,3429566,Jo,,Greater Geelong,-38.12033,144.35596,Entire home/apt,135,1,237,2023-09-10,2.01,1,47,35,
697087,Rental unit in Lorne · ★4.81 · 3 bedrooms · 6 beds · 2.5 baths,3570625,Kim,,Surf Coast,-38.527565,143.982712,Entire home/apt,721,3,148,2023-09-11,1.12,3,134,18,
765554,Home in Fairhaven · ★4.75 · 3 bedrooms · 7 beds · 1.5 baths,4036595,Irene,,Surf Coast,-38.46616,144.08272,Entire home/apt,230,2,139,2023-06-25,1.07,1,113,25,
785467,Rental unit in Marengo · ★4.56 · 2 bedrooms · 2 beds · 1.5 baths,4140800,Stuart,,Colac Otway,-38.77916,143.66466,Entire home/apt,231,1,229,2023-09-03,1.76,1,334,37,
841336,Home in Lara · ★4.68 · 1 bedroom · 2 beds · 1.5 baths,4393951,Janita,,Greater Geelong,-38.01528,144.40169,Private room,250,1,23,2022-12-18,0.20,1,365,1,
847397,Townhouse in Lorne · ★4.16 · 2 bedrooms · 2 beds · 1 bath,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,350,2,64,2022-04-24,0.49,3,229,0,
850562,Rental unit in Geelong · ★4.71 · 2 bedrooms · 3 beds · 1 bath,2417695,Darren And Yolanda,,Greater Geelong,-38.1471,144.37349,Entire home/apt,190,1,162,2023-03-26,1.37,5,283,4,
853375,Home in Point Lonsdale · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4456031,Fiona,,Queenscliffe,-38.27055,144.61555,Entire home/apt,195,3,66,2023-03-25,0.62,1,271,11,
855501,Home in Deans Marsh · ★4.66 · 3 bedrooms · 3 beds · 1 bath,4069063,Deborah,,Surf Coast,-38.39517,143.88749,Entire home/apt,161,2,125,2023-05-21,0.97,1,172,20,
858408,Guesthouse in Lorne · ★4.39 · 2 bedrooms · 2 beds · 1 bath,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,290,2,81,2023-05-22,0.63,3,233,2,
859859,Home in Lorne · ★4.36 · 3 bedrooms · 5 beds · 2 baths,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,450,2,117,2023-06-12,0.91,3,204,13,
890837,Home in Jan Juc · ★4.79 · 1 bedroom · 1 bed · 1 private bath,4731549,Marian,,Surf Coast,-38.35578,144.28283,Private room,195,1,222,2023-09-01,1.71,1,268,23,
902612,Rental unit in Forrest · ★4.96 · 1 bedroom · 1 bed · 1 bath,4824121,Carol,,Colac Otway,-38.51349,143.73032,Entire home/apt,240,2,24,2023-01-07,0.19,2,134,1,
911101,Cottage in Strathdownie · ★4.76 · 2 bedrooms · 4 beds · 1 bath,4888844,Sharon,,Glenelg,-37.70711,141.21131,Entire home/apt,140,1,194,2023-09-12,1.53,1,285,20,
921687,Place to stay in Moutajup · ★4.80 · 1 bedroom · 1 bed · 1 bath,4955998,Karen,,Southern Grampians,-37.66715,142.2236,Entire home/apt,189,1,159,2023-06-06,1.27,2,236,8,
943123,Home in Warrnambool · ★4.92 · 2 bedrooms · 3 beds · 1 shared bath,5102281,Helen (Sophie),,Warrnambool,-38.38613,142.5142,Private room,129,1,267,2023-09-12,2.07,1,264,40,
1002120,Home in Torquay · ★4.88 · 1 bedroom · 1 bed · 1 private bath,5511143,Trish,,Surf Coast,-38.32433,144.325,Private room,149,2,65,2020-12-31,0.55,1,0,0,
1037178,Farm stay in Carlisle River · ★4.97 · 1 bedroom · 1 bed · 1 bath,5709920,Lisa,,Colac Otway,-38.57084,143.36134,Entire home/apt,200,2,110,2023-08-28,0.86,3,348,1,
1113236,Home in Ocean Grove · ★4.44 · 4 bedrooms · 8 beds · 1 bath,6109815,Dale,,Greater Geelong,-38.270938873291016,144.51719665527344,Entire home/apt,260,2,25,2023-04-30,0.22,1,333,8,
1124773,Cottage in Fairhaven · ★4.78 · 2 bedrooms · 3 beds · 1 bath,6154547,Chris,,Surf Coast,-38.46346,144.09438,Entire home/apt,264,2,74,2023-09-18,0.62,1,122,10,
1168873,Home in Aireys Inlet · ★4.45 · 5 bedrooms · 9 beds · 3 baths,6401049,Alison,,Surf Coast,-38.45819,144.11411,Entire home/apt,314,2,85,2023-01-29,0.69,1,128,11,
