id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15526,Villa in Solto Collina · ★4.83 · 2 bedrooms · 4 beds · 2 baths,60754,Andrea,,Solto Collina,45.7832,10.0266,Entire home/apt,138,4,42,2022-08-13,0.28,6,251,0,CIR: 016200 – CNI -00005
15542,Villa in Solto Collina · ★4.91 · 1 bedroom · 2 beds · 1 bath,60754,Andrea,,Solto Collina,45.78284,10.02457,Entire home/apt,78,2,47,2023-06-16,0.34,6,173,4,CIR: 016200 – CNI -00005
31412,Rental unit in Bergamo · ★4.82 · 1 bedroom · 2 beds,134937,Elena,,Bergamo,45.69176,9.67041,Entire home/apt,69,1,93,2021-10-05,0.66,11,53,0,
116423,Rental unit in Bossico · ★4.70 · 2 bedrooms · 4 beds · 1 bath,588254,Angela,,Bossico,45.8284,10.04476,Entire home/apt,40,2,10,2022-09-18,0.15,3,326,0,CIR 016033-CNI-00002T00146
179345,Rental unit in Bossico · ★4.75 · 1 bedroom · 4 beds · 1 bath,588254,Angela,,Bossico,45.82722,10.04602,Entire home/apt,36,1,20,2023-09-17,0.31,3,325,5,CIR 016033-CNI-00002T00146
215933,Loft in Bergamo · ★4.89 · 1 bedroom · 2 beds · 1 private bath,816380,Marcella,,Bergamo,45.698385,9.675597,Private room,114,1,66,2023-08-12,0.52,15,347,27,
215946,Rental unit in Bergamo · ★4.82 · 1 bedroom · 1 bed · 1 bath,816380,Marcella,,Bergamo,45.69769,9.67485,Private room,71,1,194,2023-09-05,1.40,15,337,35,
225436,Home in Solto Collina · ★4.87 · 1 bedroom · 1 bed · 1 bath,1174487,Marco,,Solto Collina,45.78679,10.04244,Entire home/apt,105,2,196,2023-08-20,1.40,2,330,19,CIR016200CNI00003
288012,Rental unit in Bergamo · ★4.92 · 3 bedrooms · 3 beds · 3 baths,134937,Elena,,Bergamo,45.70934,9.67635,Entire home/apt,210,2,13,2017-05-16,0.10,11,206,0,
321684,Rental unit in Bergamo · ★4.77 · 1 bedroom · 2 beds · 1 bath,1646935,Laura,,Bergamo,45.70255,9.67256,Entire home/apt,98,2,13,2022-09-05,0.09,6,308,0,016024-CIM-00464
329536,Rental unit in Bergamo · ★4.86 · 1 bedroom · 2 beds · 1 bath,1682592,Francesca,,Bergamo,45.68899,9.66984,Entire home/apt,63,3,9,2015-07-11,0.06,1,0,0,
407559,Home in Lovere · ★4.89 · 1 bedroom · 1 bed · 1 bath,2030052,Andrea,,Lovere,45.81934,10.07538,Entire home/apt,100,1,151,2023-08-31,1.33,1,355,12,BG63985
453966,Rental unit in Onore · ★4.75 · 2 bedrooms · 5 beds · 1 bath,2255479,Giorgia,,Onore,45.88826,10.01512,Entire home/apt,94,3,8,2023-08-16,0.21,1,362,4,
458623,Home in Solto Collina · ★4.78 · 3 bedrooms · 5 beds · 1.5 baths,1174487,Marco,,Solto Collina,45.78521,10.04491,Entire home/apt,145,2,65,2023-06-13,0.48,2,318,5,CIR016200CNI00019
528413,Bed and breakfast in Bergamo · ★4.67 · 1 bedroom · 2 beds · 1 shared bath,2596314,Antonio,,Bergamo,45.70922,9.67879,Private room,50,1,373,2023-09-21,2.74,2,278,74,
535791,Rental unit in Bergamo · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,2596314,Antonio,,Bergamo,45.71019,9.67759,Private room,40,1,119,2023-09-08,0.97,2,351,34,
541284,Rental unit in Bergamo · ★4.89 · 1 bedroom · 1 bed · 1 bath,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,80,2,88,2023-09-23,0.65,3,214,13,CIR: 016024-CNI-00124
575725,Rental unit in Bergamo · ★4.84 · 3 bedrooms · 4 beds · 2 baths,2831947,Marzio,,Bergamo,45.68688,9.66569,Entire home/apt,79,3,175,2023-09-15,1.42,6,277,29,CIR:  016024-CIM-00069
581839,Rental unit in Bergamo · ★4.88 · 1 bedroom · 1 bed · 1 bath,2661048,Federica,,Bergamo,45.69989,9.67483,Entire home/apt,75,2,88,2023-08-09,0.65,3,214,10,CIR: 016024-CNI-00124
608520,Rental unit in Miragolo San Salvatore · 3 bedrooms · 6 beds · 2 baths,3015940,Marco,,Zogno,45.80792,9.7187,Entire home/apt,200,2,2,2013-07-31,0.01,1,358,0,
645397,Rental unit in Bergamo · ★4.88 · 1 bedroom · 3 beds · 1 bath,3231980,Casa Alice,,Bergamo,45.70253,9.67266,Entire home/apt,55,3,19,2020-09-29,0.19,2,1,0,
645418,Condo in Bergamo · ★3.67 · 1 bedroom · 2 beds · 1.5 baths,3231980,Casa Alice,,Bergamo,45.70253,9.67266,Entire home/apt,60,3,3,2018-04-21,0.03,2,0,0,
659564,Rental unit in Bergamo · ★4.58 · 1 bedroom · 1 bed · 1 bath,3327537,Diego,,Bergamo,45.68331,9.66418,Entire home/apt,58,5,62,2023-09-16,0.48,1,306,24,016024-CNI-00009
898277,Home in Gandellino · ★4.89 · 3 bedrooms · 5 beds · 1.5 baths,4791696,Mattia,,Gandellino,45.99953,9.94099,Entire home/apt,100,2,9,2023-08-26,0.42,1,65,4,
920651,Bed and breakfast in Seriate · ★4.18 · 1 bedroom · 3 beds · 1 private bath,4948464,Assunta,,Seriate,45.6834,9.74404,Private room,63,1,17,2023-06-04,0.17,1,358,2,
938572,Home in Fonteno · ★5.0 · 3 bedrooms · 4 beds · 2 baths,5069656,Cristina,,Fonteno,45.7582,10.0193,Entire home/apt,120,5,7,2023-07-25,0.06,1,207,1,CIR016102-CNI-00268
953122,Rental unit in Bergamo · ★4.87 · 2 bedrooms · 3 beds · 1 bath,5174049,Roberto,,Bergamo,45.69593,9.66171,Entire home/apt,46,2,281,2023-09-21,2.21,1,27,62,016024-BEB-00081
961952,Rental unit in Zogno · ★4.90 · 1 bedroom · 3 beds · 1 bath,5205547,Agriturismo La Fontana,,Zogno,45.80972,9.71748,Entire home/apt,53,1,133,2023-09-10,1.10,4,351,30,
1092117,Rental unit in Bergamo · ★4.85 · 1 bedroom · 1 bed · 1 bath,2818877,Giovanni,,Bergamo,45.6946,9.66721,Entire home/apt,54,3,304,2023-09-20,2.43,1,317,42,
1152885,Bed and breakfast in Bergamo · ★4.81 · 1 bedroom · 1 bed · 1 private bath,4757901,Fabio&Simona,,Bergamo,45.70763,9.67775,Private room,120,2,301,2023-09-02,2.46,2,300,45,016024-BEB-00172
1182796,Villa in Solto Collina · ★4.79 · 3 bedrooms · 6 beds · 1.5 baths,60754,Andrea,,Solto Collina,45.78274,10.02532,Entire home/apt,140,3,30,2023-09-09,0.24,6,251,4,CIR: 016200 – CNI -00005
1298559,Rental unit in Bergamo · ★4.67 · 1 bedroom · 3 beds · 1 bath,134937,Elena,,Bergamo,45.68926239013672,9.670974731445312,Entire home/apt,88,1,18,2023-09-05,0.15,11,338,9,
1354765,Rental unit in Bergamo · ★4.76 · 2 bedrooms · 3 beds · 1 bath,7321466,Guido,,Bergamo,45.70379,9.67729,Entire home/apt,170,1,189,2023-08-10,1.80,3,73,6,
1356084,Rental unit in Bergamo · ★4.77 · 2 bedrooms · 2 beds · 1 bath,7321466,Guido,,Bergamo,45.7139,9.67725,Entire home/apt,58,1,389,2021-09-26,3.14,3,54,0,
1376791,Rental unit in Entratico · ★4.67 · 3 bedrooms · 6 beds · 1.5 baths,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,100,4,43,2023-09-07,0.35,6,325,12,016094-CNI-00001
1379390,Rental unit in Entratico · ★4.88 · 2 bedrooms · 8 beds · 1 bath,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,51,4,51,2023-08-13,0.42,6,334,7,016094-BEB-00002
1404275,Rental unit in Bergamo · ★4.57 · 2 bedrooms · 4 beds · 1 bath,2831947,Marzio,,Bergamo,45.7096,9.67403,Entire home/apt,59,3,55,2022-06-10,0.45,6,80,0,CIR:  016024-CNI-00023
1431086,Rental unit in Entratico · ★4.60 · 1 bedroom · 2 beds · 1 bath,7457450,Ezio,,Entratico,45.70429,9.87704,Entire home/apt,45,4,35,2023-09-04,0.40,6,345,15,016094-BEB-00002
1505938,Rental unit in Colere · ★4.90 · 1 bedroom · 3 beds · 1 bath,8044000,Mirco,,Colere,45.97165,10.08758,Entire home/apt,75,2,62,2023-08-20,0.51,1,365,5,
1580605,Rental unit in Bergamo · ★4.90 · 3 bedrooms · 7 beds · 2 baths,8407181,Ambra,,Bergamo,45.69194,9.66595,Entire home/apt,300,1,40,2023-08-26,0.63,4,312,11,
1585722,Loft in Bergamo · ★4.94 · 1 bedroom · 1 bed · 1 bath,4116297,Giorgia,,Bergamo,45.69395,9.66502,Entire home/apt,99,2,32,2023-09-16,2.72,1,346,32,
1599545,Rental unit in Bergamo · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,8407181,Ambra,,Bergamo,45.69194,9.66595,Private room,95,1,9,2023-09-10,0.09,4,4,2,
1599751,Bed and breakfast in Bergamo · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,8407181,Ambra,,Bergamo,45.69194,9.66595,Private room,92,1,71,2023-07-03,0.60,4,125,4,
1600527,Rental unit in Bergamo · ★4.44 · 1 bedroom · 3 beds · 1 bath,8530497,Antonella,,Bergamo,45.70301,9.66348,Entire home/apt,94,2,121,2023-09-14,0.99,1,279,11,
1645538,Rental unit in Bergamo · ★4.75 · 1 bedroom · 1 bed · 1 bath,8732771,Monica,,Bergamo,45.70275,9.67253,Entire home/apt,93,3,62,2023-08-12,0.66,2,305,10,016024-CIM-00382
1645625,Condo in Bergamo · ★4.91 · 1 bedroom · 1 bed · 1 bath,8732771,Monica,,Bergamo,45.6927,9.66273,Entire home/apt,93,3,44,2023-08-27,0.51,2,302,12,016024-CIM-00379
