id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42196,Rental unit in Bologna · ★4.64 · 1 bedroom · 1 bed · 1 bath,184487,Carlo,,Santo Stefano,44.48593,11.34925,Entire home/apt,76,3,216,2023-09-07,1.37,2,280,19,
46352,Rental unit in Bologna · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,467810,Eleonora,,Porto - Saragozza,44.49163,11.33398,Private room,33,2,392,2023-08-24,2.48,2,43,58,
85368,Rental unit in Bologna · ★4.90 · 2 bedrooms · 5 beds · 2 baths,467675,Anna Maria,,Santo Stefano,44.47888,11.35625,Entire home/apt,120,2,53,2023-06-23,0.38,1,245,13,
145779,Rental unit in Bologna · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,705535,Valerio,,Porto - Saragozza,44.49306,11.33786,Private room,95,7,73,2023-08-12,0.50,6,365,2,
204553,Rental unit in Bologna · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,569422,Elizabeth,,Porto - Saragozza,44.49182,11.33912,Private room,87,3,263,2023-07-24,1.80,1,49,9,
219878,Rental unit in Bologna · ★4.85 · 1 bedroom · 2 beds · 1 bath,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,120,3,166,2023-08-21,1.15,2,43,10,
229114,Rental unit in Bologna · ★4.83 · 2 bedrooms · 4 beds · 1 bath,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,99,3,65,2023-09-09,0.49,1,142,16,037006-AT-00169
245295,Home in Bologna · ★4.71 · 1 bedroom · 1 bed · 1 bath,1286718,Nicoletta,,Porto - Saragozza,44.48541,11.31489,Entire home/apt,79,3,8,2017-11-07,0.06,1,0,0,
246747,Rental unit in Bologna · ★4.69 · 1 bedroom · 2 beds · 1 shared bath,1294101,Giovanna,,Porto - Saragozza,44.49884,11.34315,Private room,100,2,42,2023-05-08,0.31,1,276,10,
266777,Rental unit in Bologna · ★4.86 · 1 bedroom · 1 bed · 1 bath,1398894,Giulia,,Porto - Saragozza,44.49544,11.33114,Entire home/apt,75,60,52,2020-03-01,0.37,1,108,0,
306910,Rental unit in Bologna · ★4.95 · 2 bedrooms · 1 bed · 1 bath,1578729,Giulio,,Santo Stefano,44.49718,11.3444,Entire home/apt,80,10,25,2022-07-03,0.18,1,13,0,
338331,Rental unit in Bologna · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,1718955,Valentina,,Navile,44.51753,11.35408,Private room,49,1,12,2023-07-24,0.09,1,165,4,
373095,Rental unit in Bologna · ★4.69 · 1 bedroom · 3 beds · 1 bath,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,78,2023-05-01,0.57,4,0,1,
374610,Condo in Bologna · ★4.39 · 1 bedroom · 1 bed · 1 bath,1884566,Federico,,Santo Stefano,44.48921,11.35713,Entire home/apt,63,2,108,2023-08-17,0.84,4,9,8,
376826,Rental unit in Bologna · ★4.87 · 1 bedroom · 2 beds · 1 bath,1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,94,2,226,2023-07-06,1.63,4,52,18,
383256,Loft in Bologna · ★4.61 · 1 bedroom · 2 beds · 1 bath,1884566,Federico,,Porto - Saragozza,44.49984,11.34307,Entire home/apt,89,2,192,2023-08-22,1.38,4,68,17,
411523,Rental unit in Bologna · ★4.88 · 1 bedroom · 4 beds · 2 baths,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,120,2,130,2023-07-09,1.05,3,226,20,
