id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
222887,Rental unit in Bordeaux · ★4.76 · 2 bedrooms · 3 beds · 1 bath,1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83610153,-0.56639498,Entire home/apt,290,3,75,2023-08-07,0.53,4,254,22,3306300031048
247452,Rental unit in Saint-Médard-en-Jalles · ★4.81 · 2 bedrooms · 2 beds · 1 bath,959918,Krista,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.8589,-0.72735,Entire home/apt,95,2,59,2023-09-08,0.43,1,170,4,
317273,Rental unit in Bordeaux · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84780121,-0.58104599,Entire home/apt,209,3,47,2023-08-23,0.43,4,302,12,33063001366CB
317658,Rental unit in Bordeaux · ★4.88 · 2 bedrooms · 4 beds · 1 bath,1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83879852,-0.56887001,Entire home/apt,243,3,124,2023-09-02,0.89,4,236,34,33063001225CF
333031,Rental unit in Bordeaux · ★4.91 · Studio · 1 bed · 1 bath,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84256,-0.57794,Entire home/apt,107,1,463,2023-08-16,3.32,2,331,39,3306300055979
344869,Rental unit in Bordeaux · ★4.61 · 1 bedroom · 1 bed,1749523,Fabienne,Bordeaux,Centre ville (Bordeaux),44.84598,-0.5897,Entire home/apt,51,30,129,2022-07-14,0.92,4,40,0,330630072099C
365993,Rental unit in Bègles · ★4.88 · 2 bedrooms · 3 beds · 1 bath,1847986,Damien,Bgles,Bgles,44.81149,-0.55825,Entire home/apt,90,5,59,2023-08-15,0.43,2,336,9,
437127,Rental unit in Bordeaux · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85643,-0.58467,Private room,46,2,288,2020-10-30,2.11,2,252,0,3306300121281
438600,Rental unit in Bordeaux · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85447,-0.582,Private room,31,2,320,2023-08-24,2.33,2,287,59,
450324,Home in Cenon · ★4.53 · 4 bedrooms · 4 beds · 1 bath,1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86008,-0.50687,Entire home/apt,154,2,16,2020-10-24,0.12,1,225,0,
457462,Rental unit in Talence · ★4.67 · 2 bedrooms · 2 beds · 1 bath,2273643,Nadine,Talence,Talence,44.81099,-0.59954,Entire home/apt,75,7,26,2023-08-21,0.19,1,91,3,
457640,Rental unit in Talence · ★4.86 · 2 bedrooms · 2 beds · 1 bath,2274580,Christine,Talence,Talence,44.80956,-0.5994,Entire home/apt,80,3,85,2023-08-31,0.63,1,177,7,
482102,Townhouse in Le Bouscat · ★4.77 · 6 bedrooms · 7 beds · 2 baths,2387430,Frederic,Le Bouscat,Le Bouscat,44.8542,-0.59581,Entire home/apt,221,2,428,2023-09-07,3.16,1,294,57,
