id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22031171,Home in Bozeman · ★4.86 · 3 bedrooms · 4 beds · 2.5 baths,158595657,Mountain Home,,Bozeman,45.68942,-111.05661,Entire home/apt,345,1,44,2023-07-03,0.99,26,279,15,
4134363,Place to stay in Bozeman · ★4.93 · 1 bedroom · 2 beds · 1 bath,21447984,Sharon,,Bozeman,45.67114,-111.04041,Entire home/apt,265,4,87,2023-08-24,0.81,2,238,8,
7855037,Townhouse in Bozeman · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,14843944,Laura,,Bozeman,45.70622,-111.02272,Entire home/apt,299,2,155,2023-08-24,1.60,1,316,17,
14487902,Condo in Bozeman · ★4.85 · 3 bedrooms · 8 beds · 2 baths,77150382,Mary,,Bozeman,45.69137,-111.11546,Entire home/apt,264,2,87,2023-08-19,1.03,1,314,16,
22031130,Townhouse in Bozeman · ★4.92 · 3 bedrooms · 4 beds · 2.5 baths,158595657,Mountain Home,,Bozeman,45.706024,-111.01967,Entire home/apt,385,1,25,2023-07-24,0.51,26,95,12,
23685855,Townhouse in Bozeman · ★4.0 · 2 bedrooms · 2 beds · 1 bath,122381278,Evolve,,Bozeman,45.66846,-111.04046,Entire home/apt,96,28,7,2023-04-14,0.14,12,213,3,
25113972,Townhouse in Bozeman · ★4.98 · 3 bedrooms · 6 beds · 2 baths,171508189,Coleen,,Bozeman,45.67414,-111.08677,Entire home/apt,282,3,185,2023-08-16,2.90,1,69,23,
27809237,Home in Bozeman · ★New · 2 bedrooms · 1 bed · 1 shared bath,199558628,Vanessa,,Bozeman,45.68697,-111.08948,Private room,90,2,0,,,1,0,0,
30397317,Loft in Bozeman · ★4.91 · Studio · 1 bed · 1 bath,58894863,Amy,,Bozeman,45.67884,-111.01843,Entire home/apt,127,1,444,2023-09-01,7.71,1,129,111,
46377655,Home in Bozeman · ★4.98 · 3 bedrooms · 3 beds · 2 baths,169754903,VR Bozeman,,Bozeman,45.6781,-111.03002,Entire home/apt,305,1,64,2023-08-13,2.25,5,170,24,
52457187,Rental unit in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,357080696,Cooper,,Bozeman,45.68765,-111.06442,Entire home/apt,215,28,9,2023-02-27,0.42,1,328,2,
53444312,Home in Bozeman · ★4.98 · 3 bedrooms · 4 beds · 2 baths,191771128,Muneer,,Bozeman,45.68708,-111.11291,Entire home/apt,211,2,44,2023-08-22,3.06,1,143,37,
553665581841208231,Home in Bozeman · ★5.0 · 3 bedrooms · 2 beds · 2.5 baths,7704883,Christyn,,Bozeman,45.67017,-111.0084,Entire home/apt,435,2,15,2023-07-03,0.82,2,179,11,
629671506047024108,Guesthouse in Bozeman · ★5.0 · 1 bedroom · 2 beds · 1 bath,6542194,Jenny,,Bozeman,45.6813371,-111.0297002,Entire home/apt,204,2,53,2023-08-28,4.70,1,307,53,
636007021944503844,Guesthouse in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 bath,9859988,Tobi,,Bozeman,45.68936,-111.09333,Entire home/apt,146,2,82,2023-09-03,5.39,1,51,59,
663645174019164043,Camper/RV in Bozeman · 1 bedroom · 1 bed · Half-bath,19442684,John,,Bozeman,45.67766,-111.08122,Entire home/apt,249,3,0,,,2,365,0,
707134359227312400,Condo in Bozeman · ★4.79 · 2 bedrooms · 3 beds · 1.5 baths,5393899,Jenny,,Bozeman,45.67305,-111.03689,Entire home/apt,165,4,28,2023-08-10,2.33,1,230,28,
733544258624515986,Home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,54268767,Melissa,,Bozeman,45.66926,-111.00779,Entire home/apt,232,30,5,2023-08-25,0.60,1,95,5,
738975280279449873,Home in Bozeman · 7 bedrooms · 9 beds · 4.5 baths,304628102,Lisa,,Bozeman,45.64691,-111.06623,Entire home/apt,2100,3,1,2023-07-30,0.81,4,315,1,
781335823078353258,Home in Bozeman · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,326083751,Alison,,Bozeman,45.68787,-111.07463,Entire home/apt,295,4,20,2023-07-01,2.50,1,241,20,
806478050525132621,Home in Bozeman · ★5.0 · 3 bedrooms · 8 beds · 3 baths,49100757,Mary,,Bozeman,45.67391483376385,-111.03414251904907,Entire home/apt,500,3,5,2023-07-07,1.63,1,1,5,
831152233793916909,Home in Bozeman · ★5.0 · 6 bedrooms · 6 beds · 3 baths,10533936,Taylor,,Bozeman,45.67552,-111.05104,Entire home/apt,404,1,9,2023-09-03,2.70,2,340,9,
900813961167761339,Home in Bozeman · ★5.0 · 4 bedrooms · 8 beds · 2 baths,144447035,Ericka,,Bozeman,45.68748857742729,-111.07127375900745,Entire home/apt,313,2,3,2023-07-18,1.06,1,100,3,
963211069968750246,Home in Bozeman · ★New · 1 bedroom · 1 bed · 1 bath,296299806,Adara,,Bozeman,45.67577300077819,-111.09279732240695,Private room,119,1,0,,,1,263,0,
