id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70820,Townhouse in Bristol · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,360195,Sarah,,Windmill Hill,51.43843,-2.59183,Private room,41,5,186,2023-08-28,1.54,5,5,9,
117122,Condo in Bristol · ★4.95 · 1 bedroom · 1 bed · 2.5 shared baths,591555,Marcus,,Hotwells & Harbourside,51.44976,-2.61,Private room,96,1,178,2023-09-17,1.20,1,364,12,
176306,Townhouse in Bristol · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,708175,Orla,,Southville,51.44174,-2.60297,Private room,32,3,51,2023-07-15,0.39,1,95,12,
307634,Townhouse in Bristol · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,1582810,Wendy,,Easton,51.46487,-2.5569,Private room,38,6,32,2023-01-31,0.42,3,351,2,
390781,Home in Bristol · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,1954565,Fiona,,Brislington West,51.44444,-2.55783,Private room,35,2,59,2023-09-01,0.42,2,0,9,
399681,Home in Westbury on Trym · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49491,-2.61879,Private room,80,2,99,2023-08-05,0.73,1,146,8,
407485,Rental unit in Bristol · ★4.87 · 1 bedroom · 3 beds · 1 bath,2029719,Ingrid,,Ashley,51.46769,-2.5825,Entire home/apt,97,2,320,2023-09-13,2.31,1,335,14,
421205,Rental unit in Bristol · ★4.89 · 1 bedroom · 2 beds · 1 private bath,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,45,4,193,2023-09-03,1.42,1,239,8,
422956,Home in Bristol · ★4.90 · 3 bedrooms · 4 beds · 2 baths,2103297,Lois,,Redland,51.4738,-2.60615,Entire home/apt,205,2,428,2023-09-17,3.08,2,317,42,
554813,Rental unit in Bristol · ★4.96 · 1 bedroom · 1 bed · 1 private bath,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,59,1,279,2023-09-15,2.04,1,0,54,
758894,Rental unit in Bristol · ★4.84 · 1 bedroom · 2 beds · 1 bath,3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,150,3,467,2023-09-12,3.53,1,348,26,
868888,Home in Bristol · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,30,7,9,2020-03-01,0.13,2,0,0,
942226,Barn in Bristol · ★4.85 · 2 bedrooms · 4 beds · 2 baths,2103297,Lois,,Redland,51.47461,-2.60433,Entire home/apt,145,2,359,2023-09-17,2.89,2,321,46,
975170,Home in Bristol · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,5332833,Ashley,,Eastville,51.48143,-2.55327,Private room,32,3,99,2022-04-02,0.78,2,0,0,
1033484,Home in Bristol · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,5687726,Joanne,,Ashley,51.4636,-2.57788,Private room,41,2,383,2023-08-18,3.02,2,62,35,
1166104,Townhouse in Bristol · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,37,7,87,2023-09-10,0.70,2,135,9,
1180148,Home in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,6456324,Gavin,,Knowle,51.438678043812466,-2.5671489772985154,Private room,46,2,44,2023-08-18,0.35,2,286,14,
1182074,Home in City of Bristol · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,40,1,39,2023-08-31,0.86,2,295,17,
1329265,Townhouse in Bristol · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,7144675,Stephanie,,Lawrence Hill,51.45919,-2.57566,Private room,42,4,240,2023-09-03,1.94,1,139,21,
1337681,Home in Bristol · ★4.71 · 5 bedrooms · 6 beds · 4.5 baths,7254449,Tamsin,,Stoke Bishop,51.47269,-2.64089,Entire home/apt,500,7,22,2023-09-03,0.18,1,355,3,
1457693,Home in Bristol · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,4577089,Rohan,,Eastville,51.47402,-2.54735,Private room,25,20,15,2020-11-15,0.12,2,112,0,
1536968,Townhouse in Bristol · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,360195,Sarah,,Windmill Hill,51.44044,-2.5924,Private room,40,2,114,2023-06-30,1.15,5,0,2,
1623879,Home in Bristol · ★4.94 · 1 bedroom · 1 bed · 1 bath,8635028,John,,Henbury & Brentry,51.51348,-2.59961,Private room,24,3,200,2023-09-14,1.64,1,275,25,
1906645,Rental unit in Bristol · ★4.96 · 1 bedroom · 1 bed · 1 bath,9487977,Abi,,Cotham,51.46699,-2.59563,Entire home/apt,88,3,74,2023-08-29,0.86,1,6,24,
2028961,Home in Bristol · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,5332833,Ashley,,Eastville,51.48329,-2.55275,Private room,28,3,87,2023-05-21,0.74,2,0,6,
2164660,Home in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,5905890,Stella,,Eastville,51.47175,-2.56267,Private room,36,1,258,2023-09-17,2.26,1,158,55,
2235568,Home in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,11413122,Tony,,Ashley,51.46774,-2.58777,Private room,46,3,343,2023-08-27,2.96,3,154,26,
2403979,Home in Bristol · ★4.93 · 3 bedrooms · 5 beds · 2.5 baths,12286397,Bo,,Ashley,51.46987,-2.57697,Entire home/apt,250,2,14,2019-08-08,0.12,1,0,0,
2446524,Rental unit in City of Bristol · ★4.33 · 1 bedroom · 1 shared bath,12510269,Namrata,,Clifton,51.45915,-2.62554,Private room,35,1,17,2020-10-20,0.23,2,265,0,
2523293,Rental unit in Bristol · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,12510269,Namrata,,Clifton,51.45916,-2.62558,Private room,36,1,154,2023-09-03,1.36,2,303,21,
2548956,Home in Bristol · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,13019736,Jody,,Southmead,51.50508,-2.58862,Private room,39,1,404,2023-09-17,5.02,2,8,50,
2793019,Rental unit in Bristol · ★4.80 · 1 bedroom · 1 bed · 1 bath,13804437,Kathleen,,Ashley,51.46664,-2.58431,Entire home/apt,46,2,71,2022-04-20,0.63,1,3,0,
3365141,Home in Bristol · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,7588995,Michael And Olivia,,Ashley,51.46949,-2.58385,Private room,50,1,443,2023-09-02,3.93,1,354,51,
3457246,Home in Bristol · ★4.69 · 1 bedroom · 1 bed · Half-bath,17422981,Kath,,Stockwood,51.41205,-2.55552,Private room,20,90,35,2020-12-31,0.31,1,0,0,
3468287,Home in Bristol · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,17474076,Monica,,Lawrence Hill,51.4628,-2.56775,Private room,28,30,92,2023-01-15,0.94,2,143,2,
3490531,Home in Bristol · ★4.52 · 1 bedroom · 1 bed · 1 private bath,650181,Jeremy,,Clifton Down,51.46566,-2.60942,Private room,49,5,30,2023-06-20,0.27,2,59,7,
3635586,Rental unit in Bristol · ★4.83 · 1 bedroom · 1 bed · 1 bath,18332468,Zanna,,Clifton Down,51.4647,-2.61036,Entire home/apt,93,3,105,2023-09-17,0.95,1,152,12,
3788534,Bed and breakfast in Bristol · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,19228735,Jude,,Southville,51.4451,-2.60566,Private room,38,2,232,2023-06-11,2.12,1,89,30,
3842170,Condo in Bristol City · ★4.89 · 1 bedroom · 1 bed · 1 bath,16735129,Jess,,St George Central,51.4610316767492,-2.54011832177639,Entire home/apt,81,2,19,2023-08-31,1.67,1,282,19,
3879902,Home in Bristol · ★4.96 · 5 bedrooms · 2 beds · 1.5 shared baths,5687726,Joanne,,Ashley,51.465,-2.57984,Private room,54,2,178,2023-08-13,1.61,2,74,12,
3906876,Rental unit in Bristol · ★4.67 · 2 bedrooms · 2 beds · 2.5 baths,20235167,Robert,,Hotwells & Harbourside,51.4506,-2.60721,Entire home/apt,275,5,44,2023-03-16,0.41,1,242,1,
3960179,Home in Bristol · 3 bedrooms · 4 beds · 1.5 baths,20522861,Peter,,Avonmouth & Lawrence Weston,51.49606,-2.64681,Entire home/apt,179,7,1,2016-04-27,0.01,2,90,0,
3975847,Home in Bristol · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,20605126,Val,,Clifton Down,51.46993,-2.61109,Private room,70,1,131,2023-09-03,1.58,2,79,18,
4035668,Condo in Clifton · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,4147725,Toby,,Stoke Bishop,51.46729,-2.62091,Private room,85,2,42,2023-09-17,1.60,3,88,22,
4086139,Townhouse in Bristol · ★4.92 · 1 bedroom · 1 bed · 1 private bath,21194896,Sue,,Cotham,51.46167,-2.5966,Private room,59,2,695,2023-08-04,6.32,1,122,27,
4130880,Home in Bristol · ★4.84 · 1 bedroom · 1 bed · 1.5 shared baths,21295528,Helen,,Southville,51.44062,-2.60893,Private room,51,2,244,2023-09-17,2.36,3,64,18,
4249808,Home in Bristol · ★4.89 · 1 bedroom · 1 bed · 2 baths,22052738,Alicja,,Windmill Hill,51.44264,-2.58013,Entire home/apt,100,2,19,2023-08-31,0.38,1,0,3,
4315598,Home in Bristol · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,7607380,Jerry And Jacqui,,Hotwells & Harbourside,51.44716,-2.6039,Private room,75,2,360,2023-08-31,3.31,2,357,15,
4438036,Townhouse in Bristol · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,8618313,Luke & Caroline,,Cotham,51.4644,-2.60411,Private room,95,1,164,2022-10-14,1.69,2,49,3,
4454288,Townhouse in Bristol · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,8618313,Luke & Caroline,,Cotham,51.46495,-2.60387,Private room,51,2,237,2023-09-21,2.20,2,50,3,
4521395,Rental unit in Bristol · ★4.52 · Studio · 1 bed · 1 bath,23421319,Ian,,Brislington East,51.4532,-2.54499,Entire home/apt,65,4,146,2023-08-17,1.38,1,11,23,
4531411,Home in Bristol · ★4.42 · 1 bedroom · 1 bed · 1 shared bath,23494368,Charlotte,,Windmill Hill,51.43814468383789,-2.5913279056549072,Private room,48,6,193,2022-10-01,1.80,2,0,1,
4543852,Guesthouse in Bristol · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,23560849,Ruby,,Eastville,51.47656,-2.55667,Entire home/apt,75,1,424,2021-11-15,3.93,2,0,0,
5027387,Rental unit in Bristol · ★4.93 · 2 bedrooms · 2 beds · 2.5 baths,24770635,Kerry,,Stoke Bishop,51.47476,-2.62736,Entire home/apt,150,2,148,2023-08-31,1.40,1,183,16,
5032287,Home in Bristol · ★4.81 · 2 bedrooms · 2 beds · 2.5 baths,9698026,Mark And Danie,,Eastville,51.46852,-2.55457,Entire home/apt,115,3,36,2022-04-19,0.36,1,0,0,
5267860,Rental unit in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 bath,27267193,Catherine,,Cotham,51.46777,-2.59495,Entire home/apt,83,2,248,2023-09-03,2.85,1,342,43,
5295347,Rental unit in Bristol · ★4.81 · 1 bedroom · 1 bed · 1 bath,19389644,Jules,,Clifton Down,51.45914,-2.60963,Entire home/apt,102,1,414,2023-08-13,3.99,1,0,44,
5441092,Home in Bristol · ★4.70 · 1 bedroom · 1 bed · 1.5 baths,28214217,Sarah,,Southville,51.44247817993164,-2.607893943786621,Private room,46,2,20,2023-03-22,0.19,1,0,3,
5496194,Townhouse in Bristol · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,3309796,Becky & Rachel,,Lawrence Hill,51.46478,-2.56905,Private room,38,5,317,2023-02-25,3.04,1,0,40,
5566863,Home in Bristol · ★5.0 · 5 bedrooms · 5 beds · 3 baths,25648545,Rob,,Redland,51.47416,-2.59722,Entire home/apt,200,3,16,2022-07-18,0.18,1,350,0,
5613882,Bed and breakfast in Bristol · ★4.92 · 2 bedrooms · 1 bed · 1.5 shared baths,10368086,Sara,,Clifton Down,51.46977,-2.61086,Private room,100,1,64,2023-06-25,0.73,2,81,3,
5752786,Townhouse in Bristol · ★4.79 · 1 bedroom · 1 bed · 1 private bath,29674675,Prue,,Redland,51.47619,-2.59096,Private room,55,1,323,2023-09-17,3.16,2,291,46,
5890872,Rental unit in Bristol · ★4.63 · 1 bedroom · 1 bed · 1 bath,25846068,Liz And James,,Windmill Hill,51.43784,-2.59526,Entire home/apt,63,2,403,2023-09-18,3.92,1,265,68,
6362232,Home in City of Bristol · ★4.86 · 1 bedroom · 2 beds · 1 private bath,21295528,Helen,,Southville,51.44166,-2.6081,Private room,69,2,626,2023-09-10,6.23,3,265,35,
6374568,Rental unit in Bristol · ★4.91 · 1 bedroom · 1 bed · 1 bath,6353043,Cat,,Clifton,51.45347,-2.61703,Private room,150,1,11,2015-09-28,0.11,1,90,0,
6376019,Rental unit in Bristol · ★4.53 · 1 bedroom · 1 bed · 1 private bath,5100050,Andy,,Ashley,51.46541,-2.5845,Private room,59,2,47,2023-08-02,0.46,1,89,4,
6399904,Home in Bristol · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,27540782,Sophia,,Southville,51.44274,-2.60775,Private room,41,3,34,2023-08-26,0.34,3,96,8,
6568875,Rental unit in Bristol · ★4.76 · 2 bedrooms · 2 beds · 1 bath,21160367,Sophie,,Clifton,51.4505,-2.62156,Entire home/apt,85,10,166,2023-09-05,1.64,2,139,12,
6654903,Home in Bristol · ★4.97 · 1 bedroom · 1 bed · 1 private bath,33952114,Mark And Corinne,,Hotwells & Harbourside,51.44693,-2.60373,Private room,69,2,95,2023-08-26,1.69,2,187,6,
6668020,Home in Saint Andrew's · ★New · 4 bedrooms · 4 beds · 2.5 baths,34901154,Sergio,,Ashley,51.47336649962971,-2.582721710568613,Entire home/apt,263,2,0,,,1,60,0,
6818070,Rental unit in Bristol · ★4.27 · 2 bedrooms · 2 beds · 1 bath,29944566,Susie,,Ashley,51.47104,-2.58119,Entire home/apt,114,1,64,2016-12-11,0.65,1,0,0,
6874942,Rental unit in Bristol · ★4.96 · 1 bedroom · 1 bed · 1 bath,12329887,Sarah & Mark,,Clifton Down,51.46669,-2.61031,Entire home/apt,95,2,541,2023-09-18,5.38,1,170,78,
7141508,Rental unit in Bristol · ★4.90 · 1 bedroom · 4 beds · 1 bath,37400137,Angela,,Hotwells & Harbourside,51.45052,-2.60578,Entire home/apt,129,4,138,2023-09-11,1.39,1,6,24,
7159559,Rental unit in Bristol · ★4.71 · 1 bedroom · 1 bed · 1 bath,37494463,Scarlett,,Lawrence Hill,51.45663,-2.58261,Entire home/apt,95,1,564,2023-09-03,5.75,1,179,120,
7333434,Home in Bristol · ★4.71 · 2 bedrooms · 4 beds · 1 bath,37134676,Sally,,St George West,51.45903,-2.55053,Entire home/apt,95,2,222,2023-09-03,2.24,1,194,32,
7366399,Home in Bristol · ★4.92 · 5 bedrooms · 5 beds · 3.5 baths,14410812,Peter,,Ashley,51.47394,-2.5875,Entire home/apt,350,3,15,2022-09-05,0.15,1,217,0,
7591680,Home in Bristol · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,15930299,Simon,,Cotham,51.46458,-2.59522,Private room,30,7,14,2023-05-31,0.14,1,145,1,
7592135,Rental unit in Bristol · ★4.84 · 1 bedroom · 1 bed · 1 bath,35535415,Sally,,Clifton,51.4516,-2.61645,Entire home/apt,102,2,91,2023-09-11,0.92,1,157,30,
7738447,Townhouse in Hotwells · 1 bedroom · 1 bed · 1.5 baths,5063443,Joanna And Glyn,,Hotwells & Harbourside,51.44856,-2.61658,Entire home/apt,70,40,0,,,2,22,0,
7738952,Townhouse in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 private bath,5063443,Joanna And Glyn,,Hotwells & Harbourside,51.44885,-2.61513,Private room,65,1,320,2023-08-28,3.24,2,12,26,
7746625,Home in Redland · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,40719797,Victoria,,Redland,51.47752329999999,-2.6063242,Entire home/apt,197,4,3,2022-12-27,0.22,1,165,1,
7784124,Loft in Bristol · ★4.94 · 1 bedroom · 1 bed · 1 bath,40952905,Cathy,,Clifton,51.4564,-2.61696,Entire home/apt,71,7,115,2023-09-15,1.17,1,209,7,
7824532,Home in Shirehampton · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48631,-2.67364,Private room,40,1,44,2023-09-04,1.14,2,345,10,
