id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8521,Rental unit in Cambridge · ★4.80 · 2 bedrooms · 2 beds · 1 bath,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,225,2,66,2023-08-26,0.38,2,200,16,C0121120491
11169,Home in Cambridge · ★4.77 · 1 bedroom · 1 private bath,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,123,3,172,2023-09-18,1.05,2,310,12,
19581,Bed and breakfast in Cambridge · ★4.38 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,250,10,9,2023-09-01,0.05,3,336,1,
27498,Bed and breakfast in Cambridge · ★4.71 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,330,5,22,2023-06-11,0.14,3,346,4,
79762,Rental unit in Cambridge · ★4.86 · 2 bedrooms · 2 beds · 1 bath,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,300,3,404,2023-09-17,2.68,1,230,19,STR-15661
106474,Bed and breakfast in Cambridge · ★4.86 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,350,5,22,2022-10-12,0.15,3,350,2,ROT-10694669-006
108898,Rental unit in Cambridge · ★4.74 · 1 bedroom · 1 bed · 1 bath,306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,225,2,42,2023-06-30,0.28,2,141,8,CO121110491
405144,Rental unit in Mid-Cambridge · ★4.75 · 2 bedrooms · 1 bed · 1 bath,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.39,1,187,0,
445407,Rental unit in Mid-Cambridge · ★4.93 · 4 bedrooms · 6 beds · 2 baths,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,1500,3,75,2023-08-17,0.55,2,30,11,STR-17249
456429,Rental unit in Somerville · ★4.97 · 3 bedrooms · 6 beds · 2 baths,2244099,Rebecca,,North Cambridge,42.39475,-71.12548,Entire home/apt,557,4,295,2023-08-17,2.15,1,0,13,
675441,Rental unit in Cambridge · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.10,1,365,0,
715532,Rental unit in Cambridge · ★4.92 · 1 bedroom · 2 beds · 1 bath,3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,227,2,356,2023-07-14,2.66,1,184,33,C0262370491
742574,Rental unit in Cambridge · ★4.57 · 1 bedroom · 2 beds · 1 bath,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,160,30,132,2023-08-31,1.01,2,136,4,
860634,Bed and breakfast in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,70,3,510,2023-09-13,4.01,1,73,33,
910408,Condo in Cambridge · ★4.86 · 1 bedroom · 1 bed · 1 bath,4883794,Melissa,,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,120,30,8,2023-09-09,0.06,1,106,1,
1054635,Rental unit in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 bath,3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,91,14,2023-08-19,0.11,1,172,3,
1080789,Condo in Cambridge · 4 bedrooms · 3 beds · 2 baths,40965,Judy,,North Cambridge,42.39426,-71.13258,Entire home/apt,350,10,0,,,2,325,0,C0169140491
1097262,Rental unit in Cambridge · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,143,21,48,2023-02-19,0.38,5,328,1,
1140201,Rental unit in Cambridge · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,143,21,79,2023-07-22,0.63,5,323,6,
1141088,Rental unit in Cambridge · ★4.77 · 2 bedrooms · 2 beds · 1 bath,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,185,2,571,2023-09-18,4.53,1,153,80,STR-14611
1154298,Rental unit in Cambridge · ★4.70 · 1 bedroom · 1 shared bath,6325607,John,,North Cambridge,42.39892,-71.13527,Private room,71,1,473,2023-09-21,3.80,1,315,38,C0244870491
1215512,Condo in Cambridge · ★4.94 · 2 bedrooms · 2 beds · 1 bath,2066283,Chunbai,,Strawberry Hill,42.37656,-71.15029,Entire home/apt,173,180,18,2022-10-17,0.18,1,232,1,
1216161,Home in Cambridge · ★5.0 · 2 bedrooms · 3 beds · 2 baths,6636728,Nomeda,,Mid-Cambridge,42.3757,-71.1086,Entire home/apt,135,91,3,2018-08-30,0.03,1,119,0,
1225831,Rental unit in Cambridge · ★4.83 · 1 bedroom · 2 beds · 1 bath,3380576,Paul,,The Port,42.36665,-71.09823,Entire home/apt,140,3,581,2023-09-16,4.64,1,224,62,STR-14804
1341022,Rental unit in Cambridge · ★4.93 · 2 bedrooms · 2 beds · 1 bath,6619766,C,,The Port,42.36721,-71.0949,Entire home/apt,134,91,46,2023-05-17,0.37,1,138,2,
