id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44701,Rental unit in Las Vegas · ★5.0 · 2 bedrooms · 3 beds · 2 baths,189245,Christine,,Unincorporated Areas,36.11689,-115.16263,Entire home/apt,219,7,3,2022-01-08,0.04,1,14,0,
113019,Condo in Las Vegas · ★4.62 · 1 bedroom · 2 beds · 1 bath,575684,LasVegasSuites,,Unincorporated Areas,36.10905,-115.16641,Entire home/apt,146,2,191,2023-07-11,1.32,16,78,18,
114140,Rental unit in Las Vegas · ★4.64 · 1 bedroom · 2 beds · 2 baths,575684,LasVegasSuites,,Unincorporated Areas,36.10736,-115.16591,Entire home/apt,181,2,152,2023-08-13,1.12,16,73,19,
133084,Loft in Las Vegas · 1 bedroom · 1 bed · 2 baths,653641,Brent,,City of Las Vegas,36.16085,-115.14704,Entire home/apt,81,30,2,2017-09-09,0.02,1,350,0,
1428805,Villa in Las Vegas · 1 bedroom · 2 beds · 1 bath,2677753,Regina,,Unincorporated Areas,36.10175,-115.15607,Entire home/apt,728,2,0,,,4,363,0,
4171500,Rental unit in Las Vegas · 1 bedroom · 2 beds · 1 bath,85132,Sanford,,Unincorporated Areas,36.03341,-115.17363,Entire home/apt,356,2,2,2019-01-09,0.02,1,365,0,
143096,Home in Las Vegas · ★4.63 · 3 bedrooms · 3 beds · 2.5 baths,694506,Shari,,Unincorporated Areas,36.0515,-115.22566,Entire home/apt,150,30,240,2023-05-23,1.61,1,278,5,
4235499,Condo in Las Vegas · ★4.80 · 2 bedrooms · 6 beds · 1 bath,226780650,Stay Together,,Unincorporated Areas,36.11112,-115.1721,Entire home/apt,304,1,261,2023-08-17,2.41,25,296,33,
4317823,Villa in Las Vegas · ★5.0 · 1 bedroom · 2 beds · 1 bath,22416014,John,,Unincorporated Areas,36.10706,-115.1703,Entire home/apt,336,1,7,2018-01-11,0.07,1,348,0,
1484286,Home in Las Vegas · ★4.72 · 3 bedrooms · 3 beds · 2.5 baths,7941063,Monica,,Unincorporated Areas,35.97358,-115.16755,Entire home/apt,130,28,79,2022-08-11,0.71,1,364,0,
169335,Home in Las Vegas · ★4.94 · 1 bedroom · 1 bed · 1 private bath,806881,Lesley Jeven,,City of Las Vegas,36.23119,-115.26966,Private room,80,30,36,2021-12-02,0.31,2,180,0,
1503117,Rental unit in Henderson · ★5.0 · 3 bedrooms · 2 beds · 2 baths,8030765,Renee,,City of Henderson,36.05796,-115.07345,Entire home/apt,104,31,6,2022-10-15,0.12,3,182,1,
4404218,Townhouse in Henderson · ★4.71 · 3 bedrooms · 4 beds · 2.5 baths,21212749,Rebecca,,Unincorporated Areas,36.04331,-115.12906,Entire home/apt,205,30,265,2023-09-10,2.56,1,326,24,
200680,Home in Las Vegas · ★4.42 · 4 bedrooms · 7 beds · 3 baths,981582,Jason & Kevin,,Unincorporated Areas,36.10361,-115.29155,Entire home/apt,421,31,149,2022-11-08,1.05,10,365,4,
4404609,Boutique hotel in Las Vegas · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,22864734,Valentin,,Unincorporated Areas,36.10876,-115.17957,Entire home/apt,308,1,431,2023-08-28,4.01,1,69,64,
1543417,Home in Las Vegas · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,4169634,Michelle,,City of Las Vegas,36.14076,-115.30282,Private room,65,31,139,2023-07-01,1.14,1,212,27,
201619,Home in Las Vegas · ★4.58 · 4 bedrooms · 4 beds · 2.5 baths,974021,Natalie,,Unincorporated Areas,36.0778,-115.27517,Entire home/apt,377,4,121,2023-08-08,0.83,1,351,7,
4416855,Rental unit in Las Vegas · ★4.80 · 2 bedrooms · 2 beds · 2 baths,22925481,Ron,,Unincorporated Areas,36.06029,-115.26452,Entire home/apt,90,31,5,2023-07-17,0.11,1,350,1,
202452,Home in Las Vegas · ★4.86 · 3 bedrooms · 3 beds · 2.5 baths,991487,Duke,,Unincorporated Areas,36.02084,-115.27302,Entire home/apt,155,2,306,2023-08-27,2.15,1,165,34,
4418052,Resort in Las Vegas · ★4.89 · 2 bedrooms · 4 beds · 2 baths,11518533,Theron,,Unincorporated Areas,36.11018,-115.17073,Private room,703,3,19,2022-12-27,0.26,30,316,4,
4421626,Home in North Las Vegas · ★4.91 · 3 bedrooms · 4 beds · 2 baths,22923744,Debbie,,City of North Las Vegas,36.23262,-115.18517,Entire home/apt,234,3,56,2023-09-04,0.76,1,150,10,
1750734,Rental unit in Las Vegas · ★4.88 · 1 bedroom · 1 bed · 1 bath,8409820,Joanne,,City of Las Vegas,36.1838,-115.25845,Entire home/apt,55,30,17,2022-04-30,0.19,1,151,0,
1755476,Rental unit in Las Vegas · ★4.44 · 1 bedroom · 2 beds · 1 bath,575684,LasVegasSuites,,Unincorporated Areas,36.10636,-115.16745,Entire home/apt,120,2,107,2023-08-03,0.89,16,79,6,
243305,Guesthouse in Las Vegas · 1 bedroom · 1 bed · 1 bath,65714,John,,Unincorporated Areas,36.10646,-115.16857,Entire home/apt,190,7,0,,,1,178,0,
4527410,Condo in Las Vegas · ★4.88 · Studio · 2 beds · 1 bath,23471743,Vimal,,Unincorporated Areas,36.10697,-115.16598,Entire home/apt,120,2,133,2023-08-11,1.37,1,131,12,
254772,Home in Las Vegas · 4 bedrooms · 4 beds · 2.5 baths,1338154,Zubin,,Unincorporated Areas,35.99668,-115.16548,Entire home/apt,575,2,0,,,1,328,0,
1817386,Home in North Las Vegas · ★4.44 · 3 bedrooms · 3 beds · 2.5 baths,9517585,Paul,,City of North Las Vegas,36.27428,-115.1294,Entire home/apt,99,364,9,2023-04-15,0.12,2,76,2,
258872,Home in Las Vegas · ★4.78 · 3 bedrooms · 4 beds · 2 baths,1360561,Rosa,,City of Las Vegas,36.1529,-115.14933,Entire home/apt,235,2,289,2023-08-25,2.03,1,106,29,G64-01741
1823142,Condo in Las Vegas · ★4.94 · 3 bedrooms · 3 beds · 2 baths,9544240,Your Las Vegas Stay,,Unincorporated Areas,36.11547,-115.18993,Entire home/apt,302,31,35,2022-07-12,0.69,3,173,0,
4568014,Condo in Las Vegas · ★4.75 · 2 bedrooms · 2 beds · 2 baths,15350638,Louise,,Unincorporated Areas,36.11455,-115.18814,Entire home/apt,130,3,52,2023-07-16,0.49,1,49,9,
4688717,Home in Las Vegas · ★4.98 · 3 bedrooms · 4 beds · 2 baths,18778381,Douglas,,City of Las Vegas,36.18158,-115.19025,Entire home/apt,401,4,164,2023-07-01,1.55,2,123,9,G62-10109
294706,Condo in Las Vegas · ★5.0 · 1 bedroom · 2 beds · 1 bath,1523583,Robert,,Unincorporated Areas,36.05928,-115.17065,Entire home/apt,196,3,8,2023-05-22,0.10,1,317,2,
4729899,Condo in Las Vegas · ★4.90 · 1 bedroom · 1 bed · 1 bath,22267033,Jennifer,,Unincorporated Areas,36.09706,-115.16676,Entire home/apt,285,2,10,2020-01-09,0.09,11,365,0,
1971546,Home in Las Vegas · ★4.92 · 3 bedrooms · 3 beds · 2.5 baths,9316346,Rae,,Unincorporated Areas,36.01202,-115.1545,Entire home/apt,210,2,76,2023-05-08,0.81,1,129,10,
353122,Home in Las Vegas · ★4.45 · 5 bedrooms · 6 beds · 3 baths,981582,Jason & Kevin,,Unincorporated Areas,36.09581,-115.23128,Entire home/apt,215,2,76,2023-06-03,0.54,10,355,3,
379026,Home in Las Vegas · ★4.74 · 1 bedroom · 1 bed · 1 private bath,1903260,Elisabeth,,City of Las Vegas,36.15352,-115.28568,Private room,54,30,23,2023-04-27,0.21,1,364,2,
2040846,Rental unit in Las Vegas · ★4.78 · 3 bedrooms · 3 beds · 2.5 baths,5775724,Cassandra And Bobby,,Unincorporated Areas,36.11421,-115.1988,Entire home/apt,963,1,510,2023-08-14,4.59,21,183,68,
2041301,Cottage in Las Vegas · ★4.86 · 1 bedroom · 2 beds · 1 bath,622264,Steven,,Unincorporated Areas,36.06264,-115.20794,Entire home/apt,96,31,167,2023-07-05,1.40,2,284,8,
4747286,Resort in Las Vegas · ★4.93 · 4 bedrooms · 8 beds · 4 shared baths,24502182,Hao,,Unincorporated Areas,36.10665,-115.15996,Private room,489,3,43,2023-09-14,0.50,3,19,9,
4785082,Home in Las Vegas · ★4.96 · 2 bedrooms · 3 beds · 1 shared bath,24668656,Ellen,,Unincorporated Areas,36.04001,-115.16321,Private room,85,2,485,2023-09-14,4.57,1,179,45,
4787846,Condo in Las Vegas · ★4.84 · 3 bedrooms · 3 beds · 2 baths,108270,Kiran,,Unincorporated Areas,36.11334,-115.18833,Entire home/apt,263,31,63,2020-02-16,0.66,2,90,0,
548524,Home in Las Vegas · ★4.78 · 3 bedrooms · 6 beds · 3 baths,2694714,Alex,,City of Las Vegas,36.15199,-115.13161,Entire home/apt,289,2,237,2023-05-05,1.92,1,308,3,G64-01794
