id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
90676,Home in Columbus · ★4.81 · 3 bedrooms · 3 beds · 2 baths,483306,Audra & Lacey,,Near North/University,39.98366,-83.00252,Entire home/apt,130,1,693,2023-09-17,4.76,3,163,86,2022-2475
543140,Home in Columbus · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,2350409,Edward,,Near North/University,40.01114,-83.01005,Private room,29,7,127,2023-08-22,0.94,3,323,4,2019-1344
591101,Loft in Columbus · ★4.92 · 1 bedroom · 1 bed · 1 private bath,2889677,Gail,,Near East,39.96041,-82.98005,Private room,110,2,296,2023-09-10,2.19,1,330,24,2019-1230
923248,Hostel in Columbus · ★4.74 · 1 bedroom · 5 beds · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,30,1,347,2023-09-05,2.70,8,357,61,2019-1314
927867,Hostel in Columbus · ★4.70 · 1 bedroom · 1 bed · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,73,1,73,2023-07-31,0.60,8,332,9,2019-1314
1183297,Home in Columbus · ★4.91 · 3 bedrooms · 3 beds · 2 baths,6473080,Samuel,,Near South,39.95164,-82.99434,Entire home/apt,271,4,78,2023-08-13,3.28,1,158,26,
1217678,Home in Columbus · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,5707733,Douglas & Russell,,Clintonville,40.03869,-83.01728,Private room,85,1,227,2023-09-11,1.82,2,346,18,2023-4020
1286887,Home in Columbus · ★4.98 · 2 bedrooms · 2 beds · 2.5 baths,78761,Jeff & Stevo,,Near South,39.94548,-82.99245,Entire home/apt,223,3,176,2023-09-17,1.43,1,339,13,2019-1888
1336145,Home in Columbus · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,5707733,Douglas & Russell,,Clintonville,40.0369,-83.01677,Private room,85,1,175,2023-08-15,1.43,2,348,14,2023-4020
1520102,Hostel in Columbus · ★4.85 · 1 bedroom · 3 beds · 3 shared baths,4965048,Mathew,,Near North/University,40.01259,-83.00164,Shared room,32,1,54,2023-08-06,0.46,8,250,9,2019-1314
2134901,Rental unit in Columbus · ★4.88 · 2 bedrooms · 3 beds · 1 bath,6466841,Linda,,Near North/University,39.98744,-83.01632,Entire home/apt,180,14,36,2022-09-04,0.31,4,275,0,2019-1846
2172026,Rental unit in Columbus · ★4.74 · 1 bedroom · 2 beds · 1 bath,6466841,Linda,,Near North/University,39.98576,-83.01092,Entire home/apt,140,5,35,2022-11-13,0.30,4,239,1,2019-1847
2196955,Home in Columbus · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,11043646,Curt,,West Olentangy,40.02283,-83.03283,Private room,30,28,53,2023-08-04,0.58,3,110,3,
2227278,Home in Columbus · ★5.0 · 2 bedrooms · 2 beds · 2 baths,11366166,Tina,,Near South,39.94092,-82.98748,Entire home/apt,250,4,3,2017-10-29,0.03,1,345,0,2019-1536
2262958,Rental unit in Columbus · ★4.76 · 2 bedrooms · 2 beds · 2 baths,6466841,Linda,,Near North/University,39.98675,-83.01279,Entire home/apt,160,3,39,2023-07-16,0.35,4,273,1,2019-1848
2349920,Home in Columbus · ★4.90 · 3 bedrooms · 4 beds · 2.5 baths,10776491,Catherine & Bryan,,Near North/University,39.98596,-83.00282,Entire home/apt,247,2,202,2023-08-29,1.73,4,275,25,2019-2361
3193181,Rental unit in Columbus · ★4.74 · 2 bedrooms · 2 beds · 1 bath,16184897,Toya,,South Linden,40.00681,-82.9734,Entire home/apt,83,4,158,2023-09-07,1.40,4,86,7,2019-2084
3731977,Home in Westerville · ★4.96 · 1 bedroom · 1 bed · 1 private bath,18986310,Alissa,,Rocky Fork-Blacklick,40.08947,-82.88701,Private room,61,7,56,2023-09-09,0.56,1,332,8,2019-1826
3940646,Rental unit in Columbus · ★4.95 · 1 bedroom · 2 beds · 1 bath,19532241,Tawana,,Near East,39.9659,-82.97557,Entire home/apt,79,1,413,2023-09-04,5.29,2,70,45,2021-2912
3975468,Rental unit in Columbus · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,16184897,Toya,,South Linden,40.00709,-82.97442,Private room,70,1,66,2023-08-02,0.61,4,90,1,2019-2083
4679761,Hostel in Columbus · ★4.78 · 1 bedroom · 1 bed · 3 shared baths,4965048,Mathew,,Near North/University,40.01257,-83.00159,Private room,87,1,63,2023-06-11,0.71,8,339,2,2019-1314
5297763,Townhouse in Columbus · ★4.87 · 3 bedrooms · 3 beds · 1 bath,27439453,Ingrid & Mike,,Near North/University,39.98849,-83.00129,Entire home/apt,80,1,427,2023-09-17,4.23,12,145,42,2021-3068
5820556,Condo in Columbus · ★4.82 · 1 bedroom · 1 bed · 1 bath,119415,Douglas,,Near North/University,39.98992,-83.00427,Entire home/apt,70,29,163,2023-06-30,1.59,1,312,5,2019-1145
5854666,Home in Columbus · ★4.88 · 1 bedroom · 1 bed · 1 private bath,25144683,Yizhar Joe,,Eastmoor/Walnut Ridge,39.9679,-82.92291,Private room,95,2,8,2019-08-11,0.09,1,365,0,
6214751,Rental unit in Columbus · ★4.92 · 2 bedrooms · 2 beds · 1 bath,31349526,Bill,,Near East,39.96606,-82.96446,Entire home/apt,99,1,137,2019-05-26,1.35,1,10,0,2019-1524
6391158,Home in Columbus · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,33321292,Figen,,Rocky Fork-Blacklick,40.0636,-82.8546,Private room,56,1,206,2023-09-03,2.04,2,358,28,2019-2706
6416756,Villa in Columbus · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,33321292,Figen,,Rocky Fork-Blacklick,40.06335,-82.85319,Private room,68,1,164,2023-09-10,1.62,2,347,24,2019-2706
6624355,Home in Columbus · ★4.92 · 2 bedrooms · 2 beds · 1 bath,28808319,Pilgrim Heidi,,Clintonville,40.02752,-83.02348,Entire home/apt,76,1,12,2023-05-13,0.13,1,259,7,
6805322,Rental unit in Columbus · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,16184897,Toya,,South Linden,40.00632,-82.97504,Shared room,45,1,47,2020-03-01,0.47,4,90,0,2019-2083
6883920,Bungalow in Washington Township · ★4.97 · 1 bedroom · 3 beds · 1 bath,11363908,Brenda And Steven,,Hayden Run,40.06479,-83.12121,Entire home/apt,180,2,64,2023-08-04,0.64,1,285,14,
6924472,Home in Columbus · ★4.83 · 1 bedroom · 3 beds · 2.5 shared baths,24519205,Darrin,,Near North/University,39.99228,-83.01179,Private room,42,1,260,2023-09-09,2.74,4,244,80,2019-1235
7061726,Townhouse in Columbus · ★4.81 · 3 bedrooms · 3 beds · 1 bath,27439453,Ingrid & Mike,,Near North/University,39.9883,-83.00101,Entire home/apt,80,1,435,2023-09-06,4.37,12,157,55,2021-3069
7474783,Home in Columbus · ★4.98 · 1 bedroom · 1 bed · 2.5 baths,39147286,David,,Near East,39.96348,-82.9519,Private room,79,1,96,2023-09-09,5.34,1,342,66,2021-3126
7564891,Home in Columbus · ★4.60 · 1 bedroom · 1 bed · 2.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,25,30,16,2023-08-12,0.16,14,354,2,
7617016,Home in Columbus · ★4.83 · 1 bedroom · 3.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,27,30,18,2023-08-12,0.18,14,80,5,
7637541,Home in Columbus · ★4.69 · 1 bedroom · 2.5 shared baths,39662644,Paul,,Northland,40.06466,-82.98839,Private room,55,28,16,2023-05-06,0.18,14,324,1,
7771588,Rental unit in Columbus · ★4.88 · 1 bedroom · 1 bed · 1 bath,7785489,Nancy,,Clintonville,40.0195,-83.00268,Entire home/apt,90,3,129,2023-09-04,1.34,2,194,17,2023-2178
7909479,Rental unit in Columbus · ★4.92 · 1 bedroom · 1 bed · 1 bath,41706311,David,,Downtown,39.96771,-82.99936,Entire home/apt,107,30,27,2015-12-20,0.27,1,365,0,
8507141,Home in Columbus · ★4.73 · 1 bedroom · 2.5 shared baths,39662644,Paul,,Northland,40.0615,-82.98872,Private room,54,30,15,2022-01-03,0.23,14,323,0,
8507146,Home in Columbus · ★4.53 · 1 bedroom · 1 bed · 2.5 shared baths,39662644,Paul,,Northland,40.06467,-82.98839,Private room,24,30,19,2023-06-18,0.22,14,314,1,
8578379,Home in Columbus · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,44880235,Regan,,Near East,39.96192,-82.97329,Private room,33,1,697,2023-09-19,7.18,2,272,106,2019-1829
8688424,Rental unit in Columbus · ★4.80 · 1 bedroom · 2 beds · 1 bath,35480169,Margaret,,Northwest,40.06375,-83.10037,Entire home/apt,79,2,89,2023-09-15,0.92,1,357,23,2019-2111
9169196,Home in Columbus · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,1815644,Amanda,,Near North/University,39.98942,-83.00859,Entire home/apt,289,2,53,2023-09-10,0.64,1,119,13,2019-2063
9213984,Home in Columbus · ★4.81 · 3 bedrooms · 4 beds · 2 baths,36990978,Bonnie,,Far Northwest,40.10509,-83.07751,Entire home/apt,190,2,210,2023-09-04,2.20,1,328,27,2019-1500
9561460,Home in Columbus · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,25656963,Josh,,Near East,39.960344632283274,-82.95054054323347,Private room,60,1,654,2023-09-06,6.93,2,254,90,2019-1868
9725156,Home in Columbus · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,37196796,Dianne,,North Linden,40.03776,-82.9875,Private room,42,1,29,2022-04-09,0.49,1,55,0,2019-3197
10057188,Home in Columbus · ★4.89 · 2 bedrooms · 3 beds · 2 baths,51611845,Chad,,Near South,39.94565,-82.98558,Entire home/apt,400,31,129,2020-04-01,1.39,1,0,0,
10123323,Condo in Columbus · ★4.96 · 1 bedroom · 2 beds · 1 bath,2994567,Mark,,Near North/University,39.97459,-83.00314,Entire home/apt,323,7,124,2023-01-11,1.32,11,174,1,2023-2754
10383297,Home in Blacklick · ★4.94 · 1 bedroom · 1 bed · 1 private bath,53450563,John,,Far East,39.9993,-82.78244,Private room,41,1,442,2023-09-18,4.75,1,335,104,2022-1435
10613716,Home in Columbus · ★4.95 · 4 bedrooms · 5 beds · 2 baths,54769683,Annie,,Near East,39.96971,-82.9764,Entire home/apt,90,2,21,2023-08-27,1.43,17,87,15,2022-1758
11047105,Guesthouse in Columbus · ★4.96 · 1 bedroom · 1 bed · 1 bath,57330981,Al,,Near East,39.96722,-82.97345,Entire home/apt,139,2,225,2023-09-10,2.43,1,127,50,2023-2092
11142752,Home in Columbus · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,57910238,Marisol,,Northland,40.09857,-82.96404,Private room,50,1,13,2019-03-03,0.14,1,0,0,
11230076,Home in Columbus · 2 bedrooms · 2 beds · 2 baths,184906926,Lauren,,Near North/University,40.01529081877449,-83.00182741102132,Entire home/apt,123,1,1,2023-09-17,1,1,166,1,
11673338,Townhouse in Columbus · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,61981933,Tammy,,West Scioto,39.985,-83.06677,Private room,60,1,10,2021-09-19,0.11,2,264,0,2019-3410
11921949,Home in Columbus · ★4.57 · 1 bedroom · 1 bed · 1.5 shared baths,11043646,Curt,,West Olentangy,40.02415,-83.03233,Private room,32,28,51,2023-08-05,0.57,3,142,3,
12143810,Rental unit in Columbus · ★4.90 · 1 bedroom · 2 beds · 1 private bath,63285107,Alberto,,West Olentangy,40.05256,-83.04684,Private room,35,30,308,2022-10-22,3.43,1,0,1,
12191331,Rental unit in Columbus · ★4.56 · 1 bedroom · 1 bed · 1 bath,58086298,Spenceton Estates,,West Olentangy,39.98896,-83.02892,Entire home/apt,97,2,16,2022-03-19,0.69,1,0,0,
12631194,Townhouse in Columbus · ★4.85 · 3 bedrooms · 3 beds · 1 bath,27439453,Ingrid & Mike,,Near North/University,39.98713,-83.00227,Entire home/apt,84,1,405,2023-09-07,4.64,12,133,63,2021-3067
12737365,Home in Columbus · ★4.93 · 1 bedroom · 1 bed · 1 private bath,3492360,Greg,,Hayden Run,40.0599,-83.11814,Private room,50,1,507,2023-09-20,5.71,1,334,111,2019-1935
12751583,Condo in Columbus · ★4.85 · 2 bedrooms · 2 beds · 2 baths,68942337,Brad,,Near East,39.96298,-82.97759,Entire home/apt,271,1,275,2023-07-09,3.11,1,17,1,2019-1401
12755075,Townhouse in Columbus · ★4.83 · 1 bedroom · 1 bed · 1 bath,69289743,Sarah,,Near South,39.92877,-82.9928,Entire home/apt,81,1,153,2023-08-27,1.74,3,357,8,2022-3055
12807651,Rental unit in Columbus · ★4.85 · 1 bedroom · 1 bed · 1 bath,7785489,Nancy,,Near North/University,40.01803,-83.00057,Entire home/apt,60,5,33,2022-10-31,0.38,2,41,1,2023-2179
12972937,Rental unit in Columbus · ★4.99 · 2 bedrooms · 2 beds · 1 bath,63926278,Brittany,,Near South,39.95,-82.99665,Entire home/apt,249,2,67,2022-10-23,0.75,1,362,3,
13045810,Home in Columbus · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,72181837,Greg,,Northland,40.09965,-82.97282,Private room,52,1,297,2023-09-19,4.00,1,280,89,2019-2348
13083807,Rental unit in Columbus · 1 bedroom · 1 bed · 1 shared bath,39662644,Paul,,Near North/University,40.00381,-82.99725,Private room,27,30,0,,,14,357,0,
13089173,Home in Columbus · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,33524881,Keith,,Near East,39.96864,-82.96408,Private room,48,5,97,2023-07-21,1.09,3,36,5,2019-1531
13095135,Home in Columbus · ★4.74 · 2 bedrooms · 2 beds · 1 bath,32912159,John,,Clintonville,40.02835,-83.021,Entire home/apt,77,1,546,2023-09-18,6.13,1,50,14,2019-2870
13171999,Home in Columbus · ★4.79 · 1 bedroom · 1 bed · 0 shared baths,33524881,Keith,,Near East,39.96936,-82.96413,Private room,45,5,48,2023-07-29,0.54,3,157,8,2019-1531
13223833,Condo in Hilliard · ★4.91 · 1 bedroom · 1 bed · 1.5 shared baths,74207205,Katy,,Far West,40.00983,-83.14662,Private room,46,3,99,2023-09-08,1.13,2,321,16,2019-1434
13478417,Home in Columbus · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,33524881,Keith,,Near East,39.96875762939453,-82.96405029296875,Private room,35,5,25,2023-09-01,0.50,3,73,9,2019-1531
13672030,Rental unit in Columbus · ★4.83 · 1 bedroom · 2 beds · 1 bath,7114846,Jan,,West Olentangy,40.039116,-83.032127,Entire home/apt,106,2,292,2023-09-18,3.39,2,102,32,2019-2213
13761608,Home in Columbus · ★4.94 · 2 bedrooms · 2 beds · 1 private bath,17476820,Chuan En,,Northland,40.10298,-82.98009,Private room,40,2,222,2023-08-31,2.54,1,0,22,2019-1849
13994248,Townhouse in Columbus · ★4.93 · 3 bedrooms · 3 beds · 2 baths,1395861,Happy To Host,,Near North/University,40.0186,-82.99732,Entire home/apt,195,2,260,2023-09-10,3.03,4,322,28,2019-1508
14042295,Guesthouse in Columbus · ★4.90 · 1 bedroom · 1 bed · 1 bath,483306,Audra & Lacey,,Near North/University,39.98457,-83.00239,Entire home/apt,101,1,813,2023-09-17,9.50,3,170,91,2022-2486
14245905,Guesthouse in Columbus · ★4.92 · 2 bedrooms · 2 beds · 1 bath,4114228,David,,Near East,39.97061,-82.94977,Entire home/apt,118,3,120,2023-09-17,1.67,2,123,33,2019-1821
14262378,Rental unit in Columbus · ★4.61 · Studio · 1 bed · 1 bath,14759634,Leisa,,Near North/University,39.98816,-83.00923,Entire home/apt,20,31,146,2019-11-17,1.68,1,148,0,2019-2921
14347236,Home in Columbus · ★4.95 · 1 bedroom · 1 bed · 1 private bath,87368949,Juliana,,Far East,39.98973,-82.83525,Private room,59,1,390,2023-09-11,5.69,5,204,31,2019-1306
14356430,Home in Columbus · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,88006238,Robert And Bonnie,,Near East,39.97412,-82.94917,Private room,30,30,47,2021-09-30,0.63,4,172,0,2019-1294
14401125,Home in Columbus · ★5.0 · 1 bedroom · 1 bed · 1 private bath,18169804,Teresa,,Far South,39.90443,-82.98702,Private room,45,30,5,2023-08-31,0.31,1,318,3,
