id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360,Guesthouse in Denver · ★4.99 · 2 bedrooms · 2 beds · 1 bath,666,Jennifer & Giovanni,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,90,30,179,2023-08-05,2.87,2,147,7,2017-BFN-0002177
364,Loft in Denver · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.50,1,358,0,
590,Home in Denver · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,64,1,712,2023-08-27,4.04,2,233,43,2021-BFN-0000578
592,Home in Denver · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,57,28,168,2023-06-24,0.95,2,158,1,2021-BFN-0000578
686,Home in Denver · ★4.76 · 1 bedroom · 2 beds · 1 private bath,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,33,30,256,2021-07-16,1.39,2,288,0,
1940,Guesthouse in Denver · ★4.95 · Studio · 1 bed · 1 bath,2150,Joanne,,Baker,39.72048568725586,-104.99752044677734,Entire home/apt,99,1,149,2023-09-19,1.84,1,121,42,2018-BFN-0002596
21745,Home in Denver · ★4.72 · 1 bedroom · 1 bed · 2 shared baths,990,Alexandra,,North Capitol Hill,39.7449,-104.97711,Private room,35,30,236,2023-09-21,1.44,2,291,2,
31503,Guest suite in Denver · ★4.91 · 1 bedroom · 1 bed · 1 bath,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,103,4,159,2023-09-09,1.00,1,347,27,2020-BFN-0000193
39405,Cottage in Denver · ★4.92 · 1 bedroom · 1 bed · 1 bath,666,Jennifer & Giovanni,,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,136,4,667,2023-09-18,4.17,2,114,35,2022-BFN-0010458
90307,Home in Denver · ★4.92 · 1 bedroom · 1 bed · 1 private bath,489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,29,275,2023-09-10,1.93,3,90,21,2021-BFN-0005164
154999,Condo in Denver · ★4.70 · 1 bedroom · 1 bed · 1 bath,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,162,30,11,2011-12-13,0.07,4,139,0,
192430,Condo in Denver · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,40,29,132,2023-08-06,0.90,1,154,5,
217996,Condo in Denver · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,10730,William,,Highland,39.75895,-105.01036,Private room,75,30,12,2022-03-28,0.12,2,232,0,
364585,Townhouse in Denver · ★4.80 · 3 bedrooms · 3 beds · 2.5 baths,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,165,29,145,2023-03-13,1.03,1,317,1,2019-BFN-0002707
370209,Townhouse in Denver · ★4.98 · 1 bedroom · 1 bed · 1 private bath,269892,Maura,,Baker,39.7172,-104.99767,Private room,85,3,147,2023-09-05,1.47,2,156,28,2017-BFN-0008931
477016,Home in Denver · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,59,3,396,2023-09-15,2.89,1,65,35,2019-BFN-0009249
