id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
132068,Condo in San Sebastián · ★4.88 · 2 bedrooms · 3 beds · 1 bath,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32475,-1.97335,Entire home/apt,214,1,683,2023-09-19,4.56,1,240,58,
142760,Rental unit in Busturia · ★4.83 · 1 bedroom · 3 beds · 1 bath,693119,Maitane,Vizcaya,Sukarrieta,43.39243,-2.69474,Entire home/apt,120,2,66,2023-09-09,0.45,1,365,18,
309802,Rental unit in San Sebastian · ★4.0 · 2 bedrooms · 5 beds · 2 baths,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3158,-2.00598,Entire home/apt,190,3,14,2023-09-09,0.12,8,290,7,
309813,Rental unit in San Sebastian · ★4.67 · 3 bedrooms · 5 beds · 2 baths,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31681,-1.98611,Entire home/apt,180,31,13,2023-08-28,0.09,8,323,1,
309828,Rental unit in San Sebastian · ★5.0 · 3 bedrooms · 5 beds · 2 baths,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31471,-1.98588,Entire home/apt,275,31,32,2017-09-24,0.27,8,325,0,
309830,Rental unit in San Sebastian · ★4.68 · 4 bedrooms · 7 beds · 2 baths,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98794,Private room,390,3,81,2023-09-10,0.64,8,247,25,
327425,Rental unit in Bilbao · ★4.93 · 1 bedroom · 1 bed · 1 bath,1673566,Oiane,Vizcaya,Bilbao,43.26497,-2.93359,Entire home/apt,106,5,48,2022-08-08,0.34,1,266,0,
337759,Rental unit in Gasteiz · 4 bedrooms · 2 baths,1716368,Martín,Ãlava,Vitoria-Gasteiz,42.84516,-2.66942,Entire home/apt,140,4,1,2023-08-13,0.70,2,81,1,
341691,Rental unit in Bilbao · ★4.76 · 1 bedroom · 1 bed · 1 private bath,1733722,Itziar,Vizcaya,Bilbao,43.26144,-2.94905,Private room,69,3,43,2023-09-10,0.59,1,277,6,
376823,Villa in Oiartzun · ★5.0 · 6 bedrooms · 10 beds · 5 baths,1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.29654,-1.86248,Entire home/apt,800,2,9,2023-08-18,0.24,1,324,3,
386301,Rental unit in San Sebastian · ★4.78 · 2 bedrooms · 3 beds · 1 bath,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97173,Entire home/apt,204,1,286,2023-09-16,2.29,3,116,11,RGV SS00304
393715,Loft in Mutriku · ★4.65 · 2 bedrooms · 2 beds · 1 bath,1968496,Concha,GuipÃºzcoa,Mutriku,43.30743408203125,-2.3866090774536133,Entire home/apt,75,2,83,2023-09-20,0.61,3,266,5,L5500105
404270,Rental unit in San Sebastian · ★4.71 · 4 bedrooms · 1 bed · 2 shared baths,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32276,-1.98384,Private room,36,30,25,2023-05-07,0.23,5,121,5,
424487,Loft in Elexalde Auzoa · ★4.80 · 1 bedroom · 1 bed · 1 bath,2110227,Koldo,Vizcaya,Gorliz,43.41346,-2.93647,Entire home/apt,90,3,56,2023-09-03,0.41,1,345,1,
429657,Rental unit in Ibarranguelua · ★4.96 · 2 bedrooms · 2 beds · 1 bath,1986539,Igor,Vizcaya,Ibarrangelu,43.3872,-2.62929,Entire home/apt,124,2,152,2023-09-24,1.26,2,0,33,L-Bi 0008
429887,Rental unit in San Sebastian · ★4.62 · 1 bedroom · 1 bed · 2 shared baths,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32347,-1.98422,Private room,134,2,45,2023-08-15,0.42,5,351,7,
430475,Rental unit in San sebastian · ★4.81 · 2 bedrooms · 3 beds · 1 bath,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3124,-2.00442,Entire home/apt,190,2,50,2023-09-13,0.50,1,136,10,
443362,Hostel in San Sebastian · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3233,-1.98212,Private room,77,2,65,2023-09-16,0.65,5,352,19,
452464,Home in Durango · ★4.74 · 3 bedrooms · 5 beds · 3 baths,1141079,Sally & Rober,Vizcaya,Durango,43.15328,-2.61862,Private room,142,2,81,2023-08-25,0.59,4,287,6,Registro alojamientos turísticos Gobierno Vasco LBI0015
456366,Rental unit in Bilbao · ★4.59 · 1 bedroom · 1 bed · 1 private bath,59550,Maite,Vizcaya,Bilbao,43.26394,-2.94151,Private room,95,2,64,2019-10-11,0.47,2,327,0,BI-0024
456706,Rental unit in Bilbao · ★4.52 · 1 bedroom · 1 bed · Shared half-bath,59550,Maite,Vizcaya,Bilbao,43.26402,-2.94204,Private room,75,2,34,2019-10-20,0.25,2,327,0,
457366,Hostel in San Sebastian · ★4.57 · Studio · 1 bed · 2 shared baths,2015934,Jon,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32342,-1.9827,Private room,101,2,25,2023-06-14,0.18,5,1,8,H5500806
491403,Home in Durango · ★4.98 · 1 bedroom · 2 beds · 1 private bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15163,-2.61873,Private room,62,2,58,2023-08-16,0.43,4,297,2,Registro alojamiento s turísticos Gobierno Vasco LBI0015
492561,Home in Durango · ★4.85 · 2 bedrooms · 4 beds · 1 private bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15182,-2.61711,Private room,98,2,40,2023-09-07,0.30,4,297,9,Registro alojamiento Gobierno Vasco LBI0015
492633,Home in Durango · ★4.87 · 1 bedroom · 1 bed · 1 private bath,1141079,Sally & Rober,Vizcaya,Durango,43.15237,-2.61921,Private room,64,2,130,2023-08-16,0.96,4,306,9,Registro alojamientos turísticos Gobierno Vasco LBI0015
512917,Rental unit in San Sebastian · ★4.74 · 2 bedrooms · 4 beds · 2 baths,2524293,Itziar,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31496,-2.00172,Entire home/apt,209,2,37,2023-08-30,0.27,1,168,7,
544285,Rental unit in San Sebastian · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31076,-1.99945,Private room,86,1,462,2023-09-10,3.38,2,308,38,LSS00040
617702,Rental unit in Deba · ★4.67 · 3 bedrooms · 4 beds · 1.5 baths,3060941,Joxean,GuipÃºzcoa,Deba,43.29081,-2.3562,Entire home/apt,114,4,19,2023-08-26,0.15,1,362,3,ESS00169
641478,Cottage in Gatika · ★4.79 · 5 bedrooms · 9 beds · 4.5 baths,3196379,Iñigo,Vizcaya,Gatika,43.38766,-2.91995,Entire home/apt,575,2,36,2023-04-19,0.27,1,251,1,
647882,Rental unit in San Sebastian · ★4.75 · 3 bedrooms · 3 beds · 1 bath,438751,Lorena,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97127,Entire home/apt,100,7,40,2023-07-28,0.32,1,125,4,ESS00610
664737,Rental unit in San Sebastian · ★4.82 · 2 bedrooms · 3 beds · 2 baths,3358229,Asier,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31859,-1.98032,Entire home/apt,140,32,124,2022-12-03,0.93,3,246,1,
702249,Cottage in Amurrio · ★4.82 · 4 bedrooms · 7 beds · 3 baths,3604629,Inmaculada,Ãlava,Amurrio,42.97339,-3.01969,Entire home/apt,230,2,11,2023-07-09,0.09,1,261,7,
711105,Home in Leorza · ★4.86 · 2 bedrooms · 4 beds · 1 private bath,3659702,Phil,Ãlava,Arraia-Maeztu,42.74912,-2.44388,Private room,25,2,259,2023-09-16,2.30,2,275,23,LVI 00039
714318,Rental unit in San Sebastian · ★4.83 · 2 bedrooms · 4 beds · 1 bath,3678889,Martin Y Emelyn,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3133,-1.98162,Entire home/apt,75,29,99,2023-08-31,0.83,1,207,3,ESS-00250
