id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42515,Rental unit in Geneva · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,185647,Noelle,,Commune de Genève,46.20198,6.15672,Private room,89,3,73,2023-07-21,0.50,1,363,6,
107438,Rental unit in Geneva · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,556499,F. M.,,Commune de Genève,46.18905,6.16154,Private room,60,5,27,2019-11-30,0.18,1,344,0,
203997,Rental unit in Geneva · ★4.90 · 1 bedroom · 1 bath,1001280,Mike,,Commune de Genève,46.19964,6.1558,Entire home/apt,165,5,81,2023-07-23,0.61,2,28,7,
276025,Rental unit in Versoix · ★4.62 · 1 bedroom · 4 beds · 1 bath,1442438,Gaby,,Versoix,46.28031,6.16833,Entire home/apt,80,7,121,2023-07-28,0.86,1,179,11,
338682,Rental unit in Geneva · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,1001280,Mike,,Commune de Genève,46.20708,6.15545,Entire home/apt,147,5,115,2022-10-31,0.82,2,52,4,
399388,Rental unit in Carouge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,1994454,Oscar,,Commune de Genève,46.18904,6.13908,Private room,48,2,50,2023-08-06,0.37,2,296,1,
411058,Loft in Geneva · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,1706035,Julik,,Commune de Genève,46.21127,6.1454,Private room,125,2,54,2023-09-16,0.47,1,83,5,
419631,Rental unit in Geneva · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,2086993,Mark,,Commune de Genève,46.1995,6.17308,Private room,90,1,73,2023-09-22,0.58,2,69,16,
468995,Rental unit in Geneva · ★4.74 · 1 bedroom · 1 bed · 1 bath,2328179,Po,,Commune de Genève,46.20395,6.15715,Entire home/apt,95,3,29,2020-10-01,0.21,2,352,0,
476344,Rental unit in Geneva · ★4.74 · 3 bedrooms · 4 beds · 2.5 baths,2361206,Jean,,Commune de Genève,46.19327,6.15306,Entire home/apt,269,3,199,2023-09-23,1.45,1,112,39,
494701,Rental unit in Geneva · ★4.09 · 4 bedrooms · 4 beds · 1.5 baths,2388229,Alberto,,Commune de Genève,46.20509,6.12383,Entire home/apt,175,7,180,2023-08-15,1.36,5,299,7,
610738,Rental unit in Genève · ★4.44 · 2 bedrooms · 2 beds · 1 bath,2388229,Alberto,,Commune de Genève,46.20118,6.13287,Entire home/apt,180,6,37,2023-08-30,0.27,5,359,6,
626512,Rental unit in Geneva · ★4.97 · 1 bedroom · 2 beds · 1 bath,3110118,Enrica,,Commune de Genève,46.2114,6.15107,Entire home/apt,150,7,38,2023-08-08,0.28,1,68,2,
626831,Rental unit in Geneva · ★4.33 · 1 bedroom · 1 bed · 1 bath,3111534,The Hamlet,,Commune de Genève,46.19875,6.14861,Entire home/apt,400,1,3,2017-06-05,0.03,17,0,0,
626971,Rental unit in Geneva · 1 bedroom · 1 bed · 1 bath,3111534,The Hamlet,,Commune de Genève,46.19871,6.14912,Entire home/apt,400,1,0,,,17,0,0,
