id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
77327,Rental unit in Gent · ★4.15 · Studio · 4 beds · 1 bath,414263,Edward En Daphne,,Binnenstad,51.0376,3.73065,Entire home/apt,106,2,13,2023-04-11,0.12,10,316,1,
187870,Condo in Ghent · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,904277,Tamara,,Watersportbaan - Ekkergem,51.05247,3.70316,Private room,100,2,425,2023-04-12,2.90,1,261,1,
203806,Rental unit in Ghent · ★4.58 · 1 bedroom · 2 beds · 1 bath,999847,Jean Denis,,Watersportbaan - Ekkergem,51.04426,3.7127,Entire home/apt,89,5,297,2023-08-26,2.05,1,264,4,
252269,Townhouse in Ghent · ★4.86 · 4 bedrooms · 8 beds · 2.5 baths,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05059,3.71895,Entire home/apt,283,2,261,2023-09-17,1.87,1,224,48,
252882,Townhouse in Ghent · 5 bedrooms · 6 beds · 2.5 baths,1328011,Jan,,Dampoort,51.05007,3.74422,Entire home/apt,463,93,2,2013-04-01,0.02,6,358,0,
476371,Townhouse in Ghent · ★4.25 · 1 bedroom · 1 bed · 1.5 shared baths,996824,Annabell,,Macharius - Heirnis,51.04799311240741,3.743630263882384,Private room,100,2,46,2022-08-29,0.34,6,364,0,
599325,Home in Ghent · ★4.57 · 1 bedroom · 1 bed · 1.5 shared baths,2964980,Sas,,Ledeberg,51.03407,3.74635,Private room,41,2,127,2022-07-01,0.93,1,264,0,
696209,Rental unit in Ghent · ★4.89 · Studio · 1 bed · 1 bath,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,94,90,37,2023-08-17,0.28,6,228,2,
743981,Rental unit in Ghent · ★4.82 · Studio · 1 bed · 1 bath,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,90,22,2023-09-01,0.17,6,232,2,
769351,Home in Ghent · ★4.69 · 3 bedrooms · 3 beds · 2.5 baths,4058153,Leen,,Mariakerke,51.07895,3.69014,Entire home/apt,91,3,16,2023-08-31,0.12,1,0,4,
835795,Loft in Ghent · ★4.81 · 1 bedroom · 2 beds · 1.5 baths,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,109,2,484,2023-09-07,3.77,1,277,69,
887716,Rental unit in Ghent · ★4.67 · 1 bedroom · 1 bed · 1 bath,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,90,9,2023-07-01,0.12,6,236,1,
950284,Tiny home in Ghent · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5155260,Mieke,,Sluizeken - Tolhuis - Ham,51.06243,3.73227,Private room,135,2,5,2014-11-11,0.04,1,0,0,
1018048,Rental unit in Ghent · ★4.82 · 1 bedroom · 2 beds · 1 bath,5600970,Johan,,Sluizeken - Tolhuis - Ham,51.06097,3.71737,Entire home/apt,45,1,876,2023-09-15,7.59,1,196,95,
1135017,Condo in Ghent · ★4.82 · 2 bedrooms · 5 beds · 1 bath,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05611,3.71641,Entire home/apt,1300,14,244,2022-12-29,1.95,2,365,3,
