id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
157612,Loft in Salford · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths,757016,Margaret,Salford,Salford District,53.50153,-2.26249,Entire home/apt,41,2,136,2023-09-07,0.96,1,304,21,
283495,Home in Middleton · ★5.0 · 1 bedroom · 1 bed · 1 private bath,1476718,Alison,Rochdale,Rochdale District,53.56271,-2.21824,Private room,75,100,10,2018-08-05,0.10,1,365,0,
310742,Rental unit in Manchester · ★4.66 · 1 bedroom · 1 bed · 1 bath,1603652,Francisca,Manchester,Ancoats and Clayton,53.48411,-2.22919,Private room,34,180,65,2022-05-02,0.46,1,182,0,
332580,Condo in Manchester · ★4.85 · 1 bedroom · 1 bed · 1 private bath,1694961,Manchester,Manchester,City Centre,53.48017,-2.23285,Private room,49,2,331,2023-08-16,2.47,4,0,6,
411843,Rental unit in Manchester · ★4.76 · 2 bedrooms · 3 beds · 1 bath,2046430,Tom,Manchester,Hulme,53.46849,-2.24403,Entire home/apt,128,2,234,2023-07-09,1.68,33,26,6,
412687,Rental unit in Altrincham · ★4.98 · 1 bedroom · 1 bed · 1 bath,2053716,Bev,Trafford,Trafford District,53.393,-2.34904,Entire home/apt,73,2,405,2023-09-17,2.99,1,87,39,
556920,Rental unit in Manchester · ★4.90 · 1 bedroom · 1 bed · 1 private bath,2738322,Jane,Manchester,Bradford,53.48098,-2.22374,Private room,50,2,250,2023-09-04,2.90,2,73,41,
568034,Townhouse in Manchester · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,2794391,Helen,Manchester,Chorlton,53.44553,-2.27786,Private room,41,2,402,2023-09-11,2.97,2,115,27,
610613,Bed and breakfast in Manchester · ★4.88 · 1 bedroom · 1 bed · 1 bath,3027563,Bob And Christine,Manchester,Didsbury West,53.42594,-2.23437,Private room,39,1,620,2023-09-04,4.58,3,295,65,
651097,Condo in Manchester · ★4.81 · 1 bedroom · 1 bed · 1 private bath,3270691,Brian,Manchester,City Centre,53.475033,-2.244769,Private room,71,2,356,2023-09-18,2.64,1,326,47,
681857,Rental unit in Manchester · ★4.64 · 2 bedrooms · 2 beds · 3 baths,3472687,Thembalani,Manchester,Ancoats and Clayton,53.48797,-2.21132,Entire home/apt,100,2,270,2023-09-03,2.14,2,168,17,
735851,Townhouse in Stockport · ★4.65 · 2 bedrooms · 3 beds · 1.5 baths,3839436,Siobhan,Stockport,Stockport District,53.39926,-2.19513,Private room,120,2,78,2022-10-30,0.64,2,73,1,
