id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Rental unit in Hong Kong Island · ★4.76 · Studio · 1 bed · 1 bath,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,0.45,1,0,0,
72571,Rental unit in Sheung Wan · ★4.22 · Studio · 1 bed · 1 bath,304876,Brendan,,Central & Western,22.28463,114.15054,Entire home/apt,368,28,151,2022-03-11,0.99,10,0,0,
103760,Rental unit in Central · ★4.46 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28418,114.15431,Entire home/apt,1046,4,304,2023-08-29,2.04,10,299,20,
104626,Rental unit in Hong Kong · ★4.38 · 1 bedroom · 1 bed · 1.5 baths,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2336,1,15,2023-04-28,0.10,1,365,1,
132773,Rental unit in Hong Kong Island · ★4.50 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28921,114.14325,Entire home/apt,1166,5,239,2023-09-01,1.61,10,284,23,
163664,Rental unit in Sheung Wan · ★4.28 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28494,114.14901,Entire home/apt,618,2,225,2021-02-16,1.53,10,0,0,
163742,Rental unit in Sheung Wan · ★4.33 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28657,114.14889,Entire home/apt,978,4,236,2023-08-04,1.60,10,308,2,
248140,Rental unit in Sheung Wan · ★4.88 · 1 bedroom · 1 bed · 1 bath,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,779,2,188,2023-09-08,1.30,1,107,18,
274589,Rental unit in Hong Kong Island · ★4.76 · 2 bedrooms · 3 beds · 1 bath,1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,1073,4,271,2023-08-30,1.89,1,261,24,
280746,Rental unit in Hong Kong · ★4.28 · 3 bedrooms · 3 beds · 2 baths,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,973,3,45,2023-08-25,0.32,3,339,5,
306515,Rental unit in Sheung Wan · ★4.89 · 1 bedroom · 1 bed,1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1001,30,20,2015-08-14,0.14,1,365,0,
