id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56766,Rental unit in Lyon · ★4.69 · 3 bedrooms · 4 beds · 2 baths,269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,125,60,55,2018-09-04,0.35,1,215,0,"Available with a mobility lease only (""bail mobilité"")"
77104,Rental unit in Lyon · ★4.80 · 1 bedroom · 1 bed · 1 bath,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,120,2,22,2022-09-30,0.14,1,64,1,6938113058353
134539,Rental unit in Lyon · ★4.48 · 1 bedroom · 1 bed · 1 bath,660135,Polali,,5e Arrondissement,45.7593,4.82548,Entire home/apt,90,2,130,2023-04-16,0.88,1,77,9,6938513221658
136556,Rental unit in Lyon · 1 bedroom · 3 beds · 1 bath,668524,Nathalie,,3e Arrondissement,45.76346,4.85338,Entire home/apt,99,3,2,2021-06-10,0.01,1,91,0,0693831600055
174304,Rental unit in Lyon · ★4.63 · 3 bedrooms · 4 beds · 1 bath,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,214,2,406,2023-07-03,2.99,2,157,48,6938112368465
233372,Rental unit in Lyon · ★4.65 · 1 bedroom · 1 bed · 1 bath,1221417,Max,,5e Arrondissement,45.75935,4.82228,Entire home/apt,51,2,283,2023-09-04,1.96,1,259,60,6938512680042
249711,Rental unit in Lyon · ★4.76 · 3 bedrooms · 4 beds · 1 bath,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,236,2,23,2022-10-20,0.16,2,348,1,D202109230976
251630,Rental unit in Lyon · ★5.0 · Studio · 2 beds · 1 bath,1319577,Emmanuel,,1er Arrondissement,45.77047,4.834133,Entire home/apt,40,21,5,2023-07-02,0.05,1,243,2,6938113043606
329950,Rental unit in Lyon · ★4.74 · 2 bedrooms · 2 beds · 2 baths,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Entire home/apt,84,2,23,2023-05-01,0.18,1,39,2,6938312655352
342674,Rental unit in Lyon · ★4.84 · 3 bedrooms · 5 beds · 1.5 baths,1738855,Amael Et Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,305,2023-08-26,2.23,1,258,37,6938312360788
