id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Home in Puerto Luz · ★4.63 · 3 bedrooms · 5 beds · 2 baths,193043,Manuela,,Es Mercadal,40.00974,4.19958,Entire home/apt,463,5,20,2023-08-23,0.15,3,65,1,ET3036ME
102558,Rental unit in Ciutadella de Menorca · ★4.66 · 2 bedrooms · 4 beds · 1 bath,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,73,4,58,2023-09-17,0.39,1,359,8,ET2253ME
285865,Rental unit in Menorca · ★4.29 · 1 bedroom · 1 bed · 1 bath,1487752,Roberto,,Ciutadella de Menorca,40.00245,3.79967,Entire home/apt,61,2,128,2023-09-07,0.94,1,245,30,
294398,Home in Alaior · ★4.55 · 9 bedrooms · 13 beds · 5 baths,312145,Natalia,,Alaior,39.89082,4.11595,Entire home/apt,567,32,12,2019-09-08,0.12,3,362,0,
295705,Cottage in Alaior · ★4.83 · 11 bedrooms · 15 beds · 9 baths,312145,Natalia,,Alaior,39.89028,4.11476,Entire home/apt,1125,32,24,2022-05-30,0.18,3,317,0,
325641,Home in Binidalí · ★4.48 · 3 bedrooms · 5 beds · 2 baths,1492975,Pili,,Mahón,39.83781,4.19504,Entire home/apt,228,5,42,2023-08-24,0.34,1,33,2,GE/005061/2019
334376,Home in Menorca · ★4.71 · 3 bedrooms · 3 beds · 2 baths,1913268,Familia,,Ciutadella de Menorca,40.00341,3.83849,Entire home/apt,164,3,44,2022-09-28,0.32,5,91,1,
357026,Condo in Alaior · ★4.98 · 2 bedrooms · 3 beds · 1 bath,1740878,Emilio,,Alaior,39.9052,4.07072,Entire home/apt,65,3,63,2023-09-20,0.46,1,292,16,Licencia San Jaume Zona 5 APM-1880
358378,Rental unit in Alaior · ★4.82 · 2 bedrooms · 3 beds · 1 bath,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,80,5,77,2023-09-24,0.70,1,11,13,
366358,Home in Ciutadella de Menorca · ★4.92 · 7 bedrooms · 7 beds · 5.5 baths,1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,852,5,39,2023-04-02,0.28,2,290,1,ET 1646 ME
366636,Condo in Alaior · ★4.52 · 2 bedrooms · 3 beds · 1 bath,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,120,10,28,2023-08-31,0.23,1,364,3,
370676,Home in Ciutadella de Menorca · ★5.0 · 5 bedrooms · 6 beds · 3.5 baths,1868061,Olga,,Ciutadella de Menorca,40.00409,3.83713,Entire home/apt,550,2,9,2023-08-18,0.14,1,173,2,
372756,Home in Alaior · 3 bedrooms · 4 beds · 2 baths,312145,Natalia,,Alaior,39.87626,4.13161,Entire home/apt,500,32,1,2012-08-16,0.01,3,365,0,
382144,Cabin in Menorca · ★4.80 · 1 bedroom · 1 bed · 1 bath,1913268,Familia,,Ciutadella de Menorca,40.0212,3.9406,Entire home/apt,125,6,84,2023-09-10,0.60,5,206,5,
394135,Cottage in Menorca · ★4.90 · 2 bedrooms · 3 beds · 1.5 baths,1968952,Anne,,Ciutadella de Menorca,40.01446,3.84385,Entire home/apt,243,6,104,2023-09-11,0.75,2,177,13,CE0738ME
403664,Home in Menorca · ★4.82 · 2 bedrooms · 2 beds · 2 baths,1913268,Familia,,Ciutadella de Menorca,39.99341,3.83044,Entire home/apt,208,5,112,2023-08-20,0.82,5,340,5,
425853,Rental unit in Balearic Islands · ★4.70 · 2 bedrooms · 2 beds · 1 bath,2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,133,6,97,2023-09-02,0.70,1,208,6,ET 3015 ME
434190,Rental unit in Menorca · ★4.77 · 1 bedroom · 1 bed · 1 bath,2155055,María Isabel,,Ciutadella de Menorca,39.92443,3.82661,Entire home/apt,97,4,73,2023-09-09,0.54,1,350,22,
494480,Condo in Menorca · ★4.52 · 1 bedroom · 3 beds · 1 bath,715601,Jose Luis,,Ciutadella de Menorca,39.99876,3.79916,Entire home/apt,71,1,50,2023-08-07,0.40,3,39,4,ET2739ME
517301,Cottage in Mahon · ★4.90 · 2 bedrooms · 3 beds · 2 baths,2546568,Paqui,,Mahón,39.93384,4.24331,Entire home/apt,190,3,72,2023-09-15,0.53,1,181,14,ET 0275 ME
527985,Home in Menorca · ★4.67 · 4 bedrooms · 6 beds · 3 baths,2594436,Jairo,,Ciutadella de Menorca,39.97066,3.83542,Entire home/apt,236,5,10,2021-08-28,0.16,1,347,0,
545844,Townhouse in Menorca  · ★4.82 · 2 bedrooms · 3 beds · 2 baths,2684640,María José,,Es Mercadal,40.02113,4.18331,Entire home/apt,158,6,60,2023-09-13,0.48,1,365,10,
549304,Home in Menorca · ★4.89 · 4 bedrooms · 7 beds · 3 baths,2700491,Angeles,,Ciutadella de Menorca,40.00432493804192,3.8381131362578227,Entire home/apt,146,5,136,2023-09-23,1.00,1,198,24,ET 1126 MR
580840,Home in Menorca · ★4.79 · 2 bedrooms · 3 beds · 1.5 baths,1968952,Anne,,Ciutadella de Menorca,39.99918,3.83706,Entire home/apt,151,5,144,2023-09-16,1.07,2,165,16,CE0738ME
589898,Home in Menorca · ★4.94 · 5 bedrooms · 9 beds · 2.5 baths,2911120,Víctor,,Ciutadella de Menorca,39.99182,3.83059,Entire home/apt,233,14,16,2022-08-14,0.21,1,79,0,ET0227ME
596553,Home in Es Mercadal · ★4.85 · 1 bedroom · 1 bed · 1 bath,2949986,Gabriel Y Beatriz,,Es Mercadal,39.97447,4.15116,Entire home/apt,180,7,67,2022-08-21,0.53,1,271,0,
636272,Rental unit in Menorca · ★4.58 · 2 bedrooms · 5 beds · 1 bath,3171398,Esteban,,Ciutadella de Menorca,39.92943,3.8366,Entire home/apt,151,5,19,2023-08-27,0.17,1,357,4,
725695,Cottage in Alaior · ★4.76 · 6 bedrooms · 10 beds · 4 baths,3753883,Natalia,,Alaior,39.93556,4.1406,Entire home/apt,394,2,51,2023-07-31,0.46,1,331,9,HET Exp 009
854050,Villa in Torre del Ram · ★4.52 · 5 bedrooms · 8 beds · 3.5 baths,4459815,Jesus,,Ciutadella de Menorca,40.00474,3.80502,Entire home/apt,314,2,25,2023-06-03,0.23,2,330,2,VT/696/ME
854051,Villa in Torre del Ram · ★4.60 · 5 bedrooms · 8 beds · 3 baths,4459815,Jesus,,Ciutadella de Menorca,40.00415,3.80636,Entire home/apt,314,1,5,2021-10-23,0.04,2,330,0,VT/696/ME
864172,Rental unit in Platges de Fornells · ★4.82 · 1 bedroom · 2 beds · 1 bath,3571207,Gemma,,Es Mercadal,40.05232,4.10984,Entire home/apt,130,10,22,2023-07-27,0.18,1,362,2,
954903,Home in Maó · 5 bedrooms · 5 beds · 3 baths,5186207,Francisco,,Mahón,39.87655,4.26061,Entire home/apt,275,7,0,,,3,363,0,
959071,Rental unit in Balearic Islands · ★4.57 · 2 bedrooms · 3 beds · 1 bath,5219222,Tano,,Ciutadella de Menorca,40.00139,3.80005,Entire home/apt,76,3,66,2023-06-06,0.54,5,31,3,APM2108
965059,Villa in Sant Lluís · ★5.0 · 4 bedrooms · 8 beds · 2 baths,5261775,Soledad,,Sant Lluís,39.81873,4.24766,Entire home/apt,290,8,3,2022-07-29,0.06,1,365,0,
967834,Home in Menorca · ★4.96 · 3 bedrooms · 3 beds · 2.5 baths,5719722,Roser,,Ciutadella de Menorca,39.99783,3.84152,Entire home/apt,271,2,177,2023-09-11,1.45,2,175,31,CE0839ME
976380,Rental unit in San Lluis · ★4.87 · 2 bedrooms · 3 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82241,4.24793,Entire home/apt,104,7,136,2023-09-19,1.07,3,34,21,ET 2870 ME
976381,Rental unit in Binibeca · ★4.84 · 2 bedrooms · 3 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82105,4.24588,Entire home/apt,127,7,108,2023-08-21,1.07,3,16,14,ET 2870 ME
976386,Rental unit in Binibeca · ★4.79 · 2 bedrooms · 4 beds · 1 bath,5342587,Willy Y Yago,,Sant Lluís,39.82081,4.24614,Entire home/apt,104,7,101,2023-09-05,1.00,3,29,17,ET 2870 ME
994133,Townhouse in Serpentona · ★4.80 · 2 bedrooms · 3 beds · 1 bath,5460821,Joana,,Ciutadella de Menorca,39.94137,3.96065,Entire home/apt,87,4,113,2023-09-15,0.91,1,187,27,1340
999469,Condo in Ciutadella · ★4.83 · 2 bedrooms · 4 beds · 1 bath,715601,Jose Luis,,Ciutadella de Menorca,39.92813,3.83165,Entire home/apt,89,1,52,2023-09-18,0.42,3,223,21,
1029964,Cottage in Es Mercadal · ★4.75 · 4 bedrooms · 6 beds · 3 baths,5667074,Daniele,,Es Mercadal,40.02525,4.18531,Entire home/apt,95,3,28,2020-06-01,0.28,2,117,0,
1044166,Home in Arenal d'en Castell · ★4.20 · 3 bedrooms · 2 baths,5748807,Cristina,,Es Mercadal,40.02107,4.18121,Entire home/apt,265,4,21,2023-08-15,0.17,3,365,4,ET1897ME
1054742,Home in Cala Morell · ★4.83 · 5 bedrooms · 7 beds · 4.5 baths,5808369,Martin,,Ciutadella de Menorca,40.05217,3.88827,Entire home/apt,324,3,12,2023-08-19,0.11,6,42,4,VT818ME
1065016,Rental unit in Cala Morell · ★4.78 · 3 bedrooms · 4 beds · 3 baths,5808369,Martin,,Ciutadella de Menorca,40.05089,3.88945,Entire home/apt,160,1,9,2023-07-02,0.07,6,65,1,VT818ME
1094228,Rental unit in Balearic Islands · ★4.85 · 2 bedrooms · 3 beds · 2 baths,6011817,Dolores,,Ciutadella de Menorca,39.99786,3.82958,Entire home/apt,146,5,21,2023-06-28,0.17,2,173,1,
1128748,Home in Arenal d'en Castell · ★3.94 · 3 bedrooms · 2 baths,5748807,Cristina,,Es Mercadal,40.01948,4.18138,Entire home/apt,265,4,18,2023-08-26,0.16,3,365,4,GE/017708
1162522,Home in Menorca · ★4.56 · 2 bedrooms · 6 beds · 1 bath,6367744,Jose Ignacio,,Ciutadella de Menorca,40.00243,3.83583,Entire home/apt,124,2,180,2023-09-16,1.60,1,315,36,
