id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
71825,Treehouse in Gleniffer · ★4.95 · 1 bedroom · 3 beds · 1 private bath,369209,Kirsty,,Bellingen,-30.36893,152.88534,Private room,300,2,316,2023-08-13,2.28,1,134,26,PID-STRA-6155
311983,Rental unit in Black Head · 1 bedroom · 1 bath,1532686,Melita,,Mid-Coast,-32.06778,152.53645,Entire home/apt,150,90,0,,,1,179,0,
325891,Cottage in Koorainghat · ★4.89 · 2 bedrooms · 3 beds · 2.5 baths,1666893,Tara And Meg,,Mid-Coast,-31.96903,152.50838,Entire home/apt,174,2,115,2023-07-16,0.91,2,313,8,PID-STRA-9140-2
325913,Cottage in Koorainghat · ★4.95 · 1 bedroom · 1 bed · 1 bath,1666893,Tara And Meg,,Mid-Coast,-31.96723,152.50814,Entire home/apt,183,2,190,2023-08-13,1.62,2,308,23,PID-STRA-9140-2
502508,Guest suite in Nambucca Heads · ★4.44 · 2 bedrooms · 3 beds · 1 bath,2479893,Peter And Ksenia,,Nambucca Valley,-30.640458,153.006355,Entire home/apt,84,1,1019,2023-08-21,7.64,1,66,113,PID-STRA-3614
534462,Home in Scotts Head · ★4.86 · 3 bedrooms · 6 beds · 2 baths,2626160,Nick,,Nambucca Valley,-30.74711,152.9948,Entire home/apt,206,2,234,2023-09-05,1.83,1,257,33,PID-STRA-20136
737655,Bungalow in Green Point · ★4.85 · 2 bedrooms · 2 beds · 1 bath,359599,Ken,,Mid-Coast,-32.24756,152.51427,Entire home/apt,248,2,119,2023-09-03,0.93,11,290,25,PID-STRA-12211
738621,Home in Green Point · ★4.84 · 3 bedrooms · 4 beds · 1.5 baths,359599,Ken,,Mid-Coast,-32.24733,152.51341,Entire home/apt,269,2,87,2023-06-15,0.74,11,303,16,PID-STRA-13169
756889,Cottage in Barrington · ★4.90 · 4 bedrooms · 8 beds · 2.5 baths,3985086,Jill,,Mid-Coast,-32.008526,151.900818,Entire home/apt,201,2,48,2023-07-28,0.37,1,246,7,PID-STRA-6665
759197,Home in Bellbrook · ★4.95 · 4 bedrooms · 6 beds · 2 baths,4001699,Carolyn,,Kempsey,-30.80909,152.44042,Entire home/apt,450,2,19,2023-06-12,0.18,1,331,4,PID-STRA-9513
