id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
228073,Home in Rosebud · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,1189726,Sarah,,Rosebud - McCrae,-38.36383,144.90578,Entire home/apt,600,3,3,2012-08-02,0.02,1,363,0,
425004,Home in Sorrento · ★4.78 · 3 bedrooms · 4 beds · 1 bath,465717,Neil,,Point Nepean,-38.3433,144.74036,Entire home/apt,350,2,267,2023-05-28,1.94,1,317,18,
432257,Guest suite in Blairgowrie · ★4.86 · 1 bedroom · 4 beds · 1 bath,2149685,Di,,Point Nepean,-38.37345,144.77748,Entire home/apt,221,2,187,2023-09-09,1.56,2,308,17,
441470,Home in Blairgowrie · ★4.68 · 3 bedrooms · 4 beds · 2 baths,2158245,Chris,,Point Nepean,-38.35928,144.76036,Entire home/apt,600,7,41,2020-01-23,0.30,2,325,0,
646366,Home in St Andrews Beach · ★4.82 · 2 bedrooms · 2 beds · 1 bath,3239185,Gail And Brendan,,Point Nepean,-38.41852,144.83373,Entire home/apt,221,2,558,2023-09-08,4.35,1,98,79,
690991,Cottage in Shoreham · ★4.88 · 3 bedrooms · 4 beds · 1 bath,3521833,Adair,,Flinders,-38.42706,145.04755,Entire home/apt,400,2,40,2023-04-10,0.31,1,157,5,
759417,Tent in Rye · ★4.75 · 2 bedrooms · 5 beds · 1.5 baths,677155,Sealey,,Point Nepean,-38.38464,144.82557,Private room,200,2,12,2023-04-09,0.40,1,89,5,
772027,Rental unit in Sorrento · ★4.93 · 3 bedrooms · 6 beds · 2 baths,4073525,Mary-Anne,,Point Nepean,-38.3377,144.74395,Entire home/apt,538,2,27,2023-08-12,0.28,1,313,6,
777275,Farm stay in Shoreham · ★5.0 · 1 bedroom · 1 bed · 1 bath,3189605,Penny,,Flinders,-38.41189,145.00307,Entire home/apt,352,1,23,2023-05-28,0.22,2,235,9,
804475,Guesthouse in Mount Martha · ★4.93 · 1 bedroom · 1 bed · 1 bath,4234571,Vanda,,Mount Martha,-38.2786,145.01015,Entire home/apt,220,1,149,2023-08-06,1.14,1,83,15,
811425,Home in Shoreham · ★4.78 · 3 bedrooms · 4 beds · 2 baths,2149895,Rebecca,,Flinders,-38.42589,145.05351,Entire home/apt,320,2,116,2023-05-07,0.98,1,320,19,
854511,Home in Rye · ★4.83 · 3 bedrooms · 4 beds · 1 bath,4463074,Megan And Jayne,,Point Nepean,-38.38545,144.81284,Entire home/apt,289,2,459,2023-01-23,3.55,1,223,2,
865756,Villa in Portsea · ★4.82 · 4 bedrooms · 10 beds · 2 baths,4546866,Dwight,,Point Nepean,-38.33766,144.72539,Entire home/apt,821,2,11,2023-03-12,0.11,1,331,2,
883776,Rental unit in Sorrento · ★4.87 · 3 bedrooms · 4 beds · 2 baths,4679825,Cobien,,Point Nepean,-38.33995,144.74286,Entire home/apt,429,2,73,2022-04-24,0.58,1,0,0,
985198,Villa in Blairgowrie · ★4.85 · 1 bedroom · 1 bed · 1 bath,5404785,Caroline,,Point Nepean,-38.36682,144.7719,Entire home/apt,170,2,308,2023-07-02,2.51,1,83,27,
995419,Home in Sorrento · ★4.70 · 4 bedrooms · 7 beds · 2 baths,5307850,Brad,,Point Nepean,-38.35106,144.75822,Entire home/apt,553,3,24,2022-04-24,0.20,26,309,0,
1009621,Home in Rye · ★4.71 · 3 bedrooms · 6 beds · 2 baths,5307850,Brad,,Point Nepean,-38.36681,144.79627,Entire home/apt,437,2,46,2022-11-06,0.40,26,301,2,
1009765,Home in Cape Schanck · ★4.68 · 3 bedrooms · 5 beds · 2 baths,5555212,Anna,,Flinders,-38.46108,144.90221,Entire home/apt,322,2,191,2023-08-27,1.53,1,288,30,
1067157,Home in Rye · ★4.81 · 3 bedrooms · 4 beds · 2 baths,5871818,Emma,,Point Nepean,-38.36993,144.78892,Entire home/apt,244,2,76,2023-05-14,0.73,1,240,5,
1142188,Home in Fingal · ★5.0 · 3 bedrooms · 5 beds · 1 bath,1400044,Lisa And Guy,,Flinders,-38.39495,144.85783,Entire home/apt,400,2,7,2023-04-10,0.06,1,357,3,
1260761,Cottage in Rosebud · ★4.61 · 2 bedrooms · 2 beds · 1 bath,6866873,Karen,,Rosebud - McCrae,-38.35849,144.90474,Entire home/apt,174,2,250,2022-08-25,2.08,1,0,0,
1329152,Home in Blairgowrie · ★4.86 · 2 bedrooms · 2 beds · 1 bath,2158245,Chris,,Point Nepean,-38.36013,144.76174,Entire home/apt,531,5,14,2023-01-03,0.11,2,325,1,
1371200,Guest suite in Main Ridge · ★4.50 · 1 bedroom · 1 bed · 1 bath,7435220,Beverley,,Flinders,-38.41523,144.97393,Entire home/apt,200,1,22,2023-07-23,0.18,2,185,5,
1456736,Condo in Mornington · ★4.86 · 2 bedrooms · 3 beds · 2 baths,7812731,Joseph,,Mornington - West,-38.21805,145.03381,Entire home/apt,350,3,16,2022-02-28,0.13,1,147,0,
1516096,Home in Sorrento · ★4.74 · 4 bedrooms · 5 beds · 2 baths,5307850,Brad,,Point Nepean,-38.34195,144.73889,Entire home/apt,535,2,34,2023-09-02,0.28,26,261,13,
1614849,Home in Sorrento · 4 bedrooms · 6 beds · 3 baths,8400388,MyCoastline,,Point Nepean,-38.33986,144.73263,Entire home/apt,725,2,2,2022-04-11,0.10,13,249,0,
1678785,Home in Red Hill · ★4.91 · 1 bedroom · 1 bed · 1 bath,8881683,Sandy,,Flinders,-38.36459,144.99751,Entire home/apt,250,565,22,2019-04-22,0.19,1,358,0,
1700800,Home in Somers · ★4.90 · 5 bedrooms · 6 beds · 3 baths,4359719,Victoria,,Hastings - Somers,-38.3966,145.18115,Entire home/apt,400,3,20,2023-01-25,0.17,1,318,1,
1719164,Rental unit in Rye · ★4.74 · Studio · 1 bed · 1 bath,5292715,Bronwyn,,Point Nepean,-38.36437,144.79233,Entire home/apt,142,2,417,2023-09-05,3.54,2,40,42,
1789867,Villa in Mount Martha · ★4.94 · 1 bedroom · 1 bed · 1 bath,1809303,Susie,,Mount Martha,-38.26008,145.02237,Entire home/apt,220,2,85,2023-02-13,0.72,1,228,5,
1797905,Home in Portsea · ★4.90 · 1 bedroom · 1 bed · 1 bath,9429240,David,,Point Nepean,-38.32813,144.71639,Entire home/apt,146,2,367,2023-08-06,3.06,1,280,43,
1828320,Cottage in Somers · ★4.54 · 3 bedrooms · 4 beds · 1 bath,9566191,Lucinda,,Hastings - Somers,-38.39281,145.1734,Entire home/apt,240,2,37,2023-03-12,0.35,1,333,4,
1914934,Bed and breakfast in Mornington · ★4.78 · 3 bedrooms · 3 beds · 1 shared bath,9932453,Kate,,Mornington - West,-38.24409258029898,145.03465102570195,Private room,125,2,167,2023-08-06,1.41,1,89,3,
1990314,Guesthouse in Mornington · ★4.75 · 1 bedroom · 1 bed · 1 bath,409991925,Allan,,Mornington - East,-38.232544,145.042725,Entire home/apt,167,2,241,2023-08-27,2.03,15,326,21,
2012542,Guesthouse in Balnarring · ★4.94 · 1 bedroom · 2 beds · 1 bath,10354245,Marianne,,Hastings - Somers,-38.35745,145.1442,Entire home/apt,293,2,200,2023-06-30,1.68,2,230,29,
2022852,Cottage in Rye · ★4.75 · 2 bedrooms · 3 beds · 1 bath,4430613,Simon,,Point Nepean,-38.39814,144.80846,Entire home/apt,250,2,154,2023-04-11,1.30,1,217,1,
2124178,Home in Rosebud · ★4.94 · 3 bedrooms · 4 beds · 2 baths,10833089,Rob,,Rosebud - McCrae,-38.36109,144.90828,Entire home/apt,271,2,111,2023-03-18,0.96,1,306,10,
2132089,Home in Rosebud · ★4.88 · 2 bedrooms · 4 beds · Half-bath,5057041,Rina,,Rosebud - McCrae,-38.36642,144.90092,Entire home/apt,200,5,41,2023-01-28,0.35,1,351,3,
2147213,Guest suite in Rye · ★4.70 · 1 bedroom · 2 beds · 1 bath,10960486,Helen,,Point Nepean,-38.37955,144.81802,Entire home/apt,139,1,505,2023-09-10,4.33,2,302,44,
2183193,Home in Rye · ★4.89 · 2 bedrooms · 3 beds · 1 bath,5292715,Bronwyn,,Point Nepean,-38.36575,144.79346,Entire home/apt,171,2,420,2023-08-27,3.58,2,26,60,
2353290,Guesthouse in Capel Sound  · ★4.93 · 1 bedroom · 1 bed · 1 bath,12016568,Coco,,Rosebud - McCrae,-38.37358,144.86583,Entire home/apt,143,1,900,2023-08-28,7.84,3,52,111,
2407363,Rental unit in Rosebud · ★4.77 · 1 bedroom · 1 bed · 1 bath,2158318,Michelle,,Rosebud - McCrae,-38.36156,144.88841,Entire home/apt,179,4,48,2023-06-16,1.43,2,285,21,
2474919,Rental unit in McCrae · ★4.94 · 1 bedroom · 1 bed · 1 bath,12659353,Dot,,Rosebud - McCrae,-38.3484,144.93812,Entire home/apt,307,2,236,2023-07-18,2.06,1,357,12,
2502583,Home in St Andrews Beach · ★4.82 · 7 bedrooms · 11 beds · 4 baths,6266371,Jane,,Point Nepean,-38.42609,144.84292,Entire home/apt,1007,2,123,2023-07-31,1.11,5,298,16,
2503078,Home in Mount Martha · ★4.81 · 4 bedrooms · 7 beds · 2 baths,12813455,Sandy,,Mount Martha,-38.28576,145.00727,Entire home/apt,382,2,202,2023-08-12,1.87,1,326,19,
2553757,Home in Mount Martha · ★4.79 · 5 bedrooms · 5 beds · 2.5 baths,13075686,The Walters,,Mount Martha,-38.29047,145.00081,Entire home/apt,750,2,178,2023-04-17,1.56,1,319,8,
2561070,Home in Rye · ★4.94 · 2 bedrooms · 4 beds · 1 bath,5755640,Elise,,Point Nepean,-38.38518,144.79619,Entire home/apt,209,2,203,2023-07-09,1.80,1,254,13,
2578249,Home in Rosebud · ★4.92 · 2 bedrooms · 3 beds · 1 bath,13203801,Kelli,,Rosebud - McCrae,-38.36497,144.90879,Entire home/apt,177,2,66,2023-07-09,0.61,1,324,8,
2578295,Home in Blairgowrie · 3 bedrooms · 5 beds · 1.5 baths,13204029,Olivia,,Point Nepean,-38.36578,144.78276,Entire home/apt,250,2,1,2016-04-09,0.01,1,196,0,
2594155,Home in Rye · ★4.77 · 5 bedrooms · 8 beds · 2 baths,6266371,Jane,,Point Nepean,-38.39568,144.80906,Entire home/apt,378,2,171,2023-07-31,1.56,5,322,19,
2621961,Home in Rye · ★4.79 · 3 bedrooms · 4 beds · 2.5 baths,400628,Tammy,,Point Nepean,-38.38699,144.79506,Entire home/apt,500,2,48,2023-01-27,0.42,1,322,2,
2627784,Home in Sorrento · 3 bedrooms · 6 beds · 2.5 baths,13459001,Matt,,Point Nepean,-38.33715,144.72953,Entire home/apt,450,7,2,2020-06-07,0.04,1,351,0,
2671851,Dome in Balnarring Beach · ★4.82 · 2 bedrooms · 2 beds · 1 bath,13677753,Leigh,,Hastings - Somers,-38.39207,145.12223,Entire home/apt,156,2,334,2023-08-27,3.24,1,156,50,
2702735,Home in St Andrews Beach · ★4.68 · 3 bedrooms · 3 beds · 1 bath,13831866,David,,Point Nepean,-38.41689,144.8356,Entire home/apt,257,2,53,2023-03-13,0.46,62,364,1,
2703065,Guesthouse in Merricks · ★4.89 · 2 bedrooms · 2 beds · 1 bath,2970419,Jenna,,Flinders,-38.38748,145.07982,Entire home/apt,265,2,170,2023-08-26,1.49,1,241,29,
2717731,Home in Tyabb · ★4.96 · 4 bedrooms · 4 beds · 2 baths,9509273,Jo,,Somerville,-38.26068,145.16329,Entire home/apt,836,2,56,2023-04-10,0.52,2,259,6,
2730616,Rental unit in Sorrento · ★4.82 · 1 bedroom · 1 bed · 1 bath,5307850,Brad,,Point Nepean,-38.34754,144.74146,Entire home/apt,239,2,83,2023-09-03,0.89,26,299,8,
2794490,Home in Mount Martha · ★4.44 · 4 bedrooms · 5 beds · 3.5 baths,13884707,John,,Mount Martha,-38.25727,145.02572,Entire home/apt,1000,14,9,2022-01-03,0.08,2,241,0,
2795264,Home in Rye · ★4.84 · 3 bedrooms · 5 beds · 1 bath,14299084,Sam,,Point Nepean,-38.38527,144.81207,Entire home/apt,194,2,229,2023-07-04,2.03,1,96,26,
2804002,Cottage in Mornington · ★4.90 · 1 bedroom · 1 bed · 1 bath,13472413,Kristen And Jon,,Mornington - West,-38.22153,145.03567,Entire home/apt,196,2,237,2023-09-07,2.07,2,302,60,
2820383,Guesthouse in Red Hill · ★4.95 · 2 bedrooms · 4 beds · 1 bath,14428682,Gilda,,Flinders,-38.35613,145.01453,Entire home/apt,400,2,19,2023-01-07,0.49,1,264,5,
2825692,Home in Rye · ★4.47 · 2 bedrooms · 2 beds · 1 bath,14456289,Christopher,,Point Nepean,-38.36865,144.78665,Entire home/apt,630,2,100,2020-01-11,0.90,1,324,0,
2838611,Home in Dromana · ★4.98 · 3 bedrooms · 6 beds · 2.5 baths,14522091,Peter,,Dromana,-38.33816,144.96979,Entire home/apt,411,2,41,2022-12-13,0.38,1,312,2,
2848230,Home in Rye · ★4.98 · 4 bedrooms · 8 beds · 2.5 baths,14567184,Tamara,,Point Nepean,-38.37375,144.8355,Entire home/apt,238,2,60,2023-09-04,0.76,4,332,12,
2909242,Home in Red Hill South · ★4.83 · 3 bedrooms · 3 beds · 1 bath,1974220,Karen And David,,Flinders,-38.39113,145.01749,Entire home/apt,435,2,54,2023-06-18,0.51,1,352,8,
2950919,Home in Dromana · ★4.98 · 3 bedrooms · 5 beds · 2 baths,15064567,Rebecca,,Dromana,-38.34672,144.96169,Entire home/apt,423,3,161,2023-06-12,1.45,1,166,11,
3086231,Home in Dromana · ★4.80 · 2 bedrooms · 3 beds · 1 bath,15703498,Rebecca,,Dromana,-38.3443,144.97889,Entire home/apt,250,2,10,2016-03-31,0.09,1,0,0,
3147909,Home in Mount Martha · 4 bedrooms · 4 beds · 2 baths,7558004,Kirsty,,Mount Martha,-38.30073,144.99913,Entire home/apt,450,7,2,2021-01-20,0.04,2,358,0,
3148055,Home in Rye · ★4.92 · 3 bedrooms · 6 beds · 2 baths,15982881,Annette,,Point Nepean,-38.37677,144.79534,Entire home/apt,296,2,12,2019-12-28,0.11,1,318,0,
3149726,Home in Rye · ★5.0 · 4 bedrooms · 7 beds · 2 baths,2150232,Andrew,,Point Nepean,-38.39466,144.80513,Entire home/apt,1200,3,32,2022-04-18,0.30,2,365,0,
3186621,Vacation home in Blairgowrie · 4 bedrooms · 10 beds · 2 baths,16156851,Joanne,,Point Nepean,-38.37099,144.77946,Entire home/apt,579,2,1,2022-04-15,0.06,1,363,0,
3306673,Home in Rye · ★4.33 · Studio · 1 bed · 1 private bath,16699085,Mark,,Point Nepean,-38.3865,144.79755,Private room,250,2,3,2016-02-14,0.03,1,365,0,
3345059,Home in Arthurs Seat · ★4.83 · 1 bedroom · 1 bed · 1 bath,16884506,Frances,,Dromana,-38.37067,144.94704,Entire home/apt,237,2,234,2023-08-27,2.11,1,347,32,
3406048,Rental unit in Mount Martha · ★4.48 · 2 bedrooms · 2 beds · 0 baths,17179097,Brian,,Mount Martha,-38.28297,145.01934,Entire home/apt,175,2,46,2023-04-10,0.43,1,290,4,
3499082,Rental unit in Balnarring Beach · ★4.73 · 1 bedroom · 1 bed · 1 bath,17618628,Jane,,Hastings - Somers,-38.39186,145.11723,Entire home/apt,204,2,305,2023-08-19,2.79,1,290,62,
3499537,Camper/RV in Dromana · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,17583030,Helen,,Dromana,-38.3383,144.98393,Private room,70,1,599,2023-09-08,5.68,1,154,57,
3502381,Home in Dromana · ★4.84 · 9 bedrooms · 20 beds · 5.5 baths,17634490,Kim,,Dromana,-38.34607,144.9418,Entire home/apt,1803,2,138,2023-08-26,1.43,90,278,28,
3566736,Cottage in Rosebud · ★4.59 · 3 bedrooms · 6 beds · 1.5 baths,17903454,Travis,,Rosebud - McCrae,-38.36514,144.89394,Entire home/apt,225,2,51,2022-06-12,0.48,1,73,0,
3597187,Barn in Tyabb · ★4.91 · 1 bedroom · 1 bed · 1 bath,9509273,Jo,,Somerville,-38.26112,145.16145,Entire home/apt,176,2,425,2023-08-29,3.95,2,224,58,
