id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30466,Bed and breakfast in Naples · 1 bedroom · 1 bed · 1 shared bath,14169118,Gigi,,San Lorenzo,40.85716,14.25914,Private room,70,2,2,2023-05-21,0.42,8,262,2,
30536,Condo in Naples · ★4.74 · 1 bedroom · 1 bed · Shared half-bath,14169118,Gigi,,San Lorenzo,40.85602,14.25781,Private room,69,3,20,2022-10-10,0.12,8,86,1,
36016,Rental unit in Naples · ★4.57 · 1 bedroom · 1 bed · 1 bath,154638,Simona,,San Lorenzo,40.85107,14.25835,Entire home/apt,80,3,145,2019-01-03,0.91,2,27,0,
63413,Rental unit in Naples · ★4.68 · 1 bedroom · 1 bed · 1 bath,309483,Paola,,Chiaia,40.83216,14.22642,Entire home/apt,61,3,101,2023-08-15,0.84,1,325,17,
74364,Rental unit in Naples · ★4.91 · 1 bedroom · 1 bed · 1 bath,289412,Davide,,San Giuseppe,40.84967,14.25297,Entire home/apt,75,4,240,2023-09-08,1.61,8,214,30,
76993,Condo in Naples · ★5.0 · 1 bedroom · 2 beds · 1 private bath,411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,63,3,31,2023-08-24,0.29,4,271,12,
77009,Rental unit in Naples · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,42,3,147,2023-08-29,0.99,4,282,29,
77010,Condo in Naples · ★4.78 · 1 bedroom · 2 beds · 1 shared bath,411650,Cebollitas,,Vomero,40.84568,14.22618,Private room,42,3,96,2023-08-30,0.87,4,284,15,
137587,Rental unit in Napoli · ★4.96 · 3 bedrooms · 3 beds · 1 bath,672635,Alessandro,,San Lorenzo,40.85355,14.25904,Entire home/apt,50,3,25,2020-03-01,0.39,1,0,0,2376
157691,Rental unit in Napoli · ★4.65 · 1 bedroom · 2 beds · 1 bath,757341,Sabrina & Valentina,,San Lorenzo,40.85028,14.259,Entire home/apt,60,2,251,2023-09-06,2.41,1,99,10,
158928,Rental unit in Napoli · ★4.22 · 3 bedrooms · 3 beds · 2 baths,762694,Melania,,San Lorenzo,40.85392,14.25673,Entire home/apt,90,1,9,2021-11-01,0.13,2,0,0,
