id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75065,Home in St Andrews · ★4.68 · 2 bedrooms · 5 beds · 1 bath,397069,Bob,Charlotte,Saint Andrews,45.1326,-67.04724,Entire home/apt,256,2,44,2023-08-28,0.44,1,318,4,
145013,Cottage in Grande-Digue · ★5.0 · 3 bedrooms · 3 beds · 1 bath,642972,Jennifer,Kent,Dundas,46.32783,-64.52601,Entire home/apt,150,7,8,2020-08-23,0.07,1,358,0,
261800,Rental unit in Saint John · ★4.55 · 2 bedrooms · 7 beds · 1 bath,1373498,Usha,Saint John,City of Saint John,45.27785110473633,-66.05921173095703,Entire home/apt,125,2,60,2023-07-30,0.67,2,337,1,
872640,Chalet in Pigeon Hill · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,2189998,Danielle,Gloucester,Shippagan,47.86754,-64.52352,Entire home/apt,135,7,3,2019-08-18,0.02,1,0,0,
950843,Home in Moncton · ★4.87 · 3 bedrooms · 4 beds · 1 bath,3032106,Gerry,Westmorland,Moncton,46.10542,-64.81365,Entire home/apt,173,2,224,2023-08-26,1.82,2,358,5,
1199731,Boutique hotel in Saint John · ★4.61 · 1 bedroom · 1 bed · 1 private bath,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,185,1,139,2023-08-26,1.16,7,351,3,
1210065,Rental unit in Gagetown · ★5.0 · 1 bedroom · 1 bed · 1 bath,6608327,Derek,Queens,Gagetown,45.78008,-66.14374,Entire home/apt,155,2,5,2023-08-10,0.19,1,88,1,
1242493,Bed and breakfast in Saint John · ★4.81 · 1 bedroom · 1 bed · 1 private bath,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,150,1,65,2023-08-24,0.63,10,123,10,
1264655,Home in Keswick Ridge · ★4.73 · 2 bedrooms · 3 beds · 1 bath,6885464,Gary,York,Bright,45.97501,-66.84632,Entire home/apt,149,2,163,2023-09-18,1.33,1,365,11,
1266591,Boutique hotel in St John · ★4.72 · Studio · 1 bed · 1 private bath,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27377,-66.05737,Private room,195,1,113,2023-08-26,1.14,7,343,15,
1489389,Bed and breakfast in Hatfield Point · ★4.64 · 10 bedrooms · 4 beds · 2.5 shared baths,7964165,Sharon,Kings,Springfield,45.65121,-65.86078,Private room,40,1,74,2023-08-27,0.73,4,355,2,
2148508,Bed and breakfast in Hatfield Point · ★4.73 · 10 bedrooms · 10 beds · 2.5 shared baths,7964165,Sharon,Kings,Springfield,45.65001,-65.86005,Private room,40,1,184,2023-09-19,1.58,4,355,23,
2535589,Cottage in Clifton Royal · ★4.44 · 4 bedrooms · 5 beds · 1 bath,4602006,Alec,Kings,Kingston,45.44933,-66.00362,Entire home/apt,150,7,45,2022-07-29,0.40,1,266,0,
2550351,Rental unit in Weldon · ★4.96 · 1 bedroom · 1 bed · 1 bath,12298363,Heather,Albert,Hillsborough,45.94134,-64.66646,Entire home/apt,150,2,49,2021-01-05,0.65,3,320,0,
2597511,Rental unit in Fredericton · ★4.83 · 1 bedroom · 1 bed · 1 bath,13302046,Victoria,York,Fredericton,45.9585,-66.63461,Entire home/apt,110,1,418,2023-08-22,3.78,5,0,82,
2664825,Bed and breakfast in Saint John · ★4.80 · 1 bedroom · 1 bed · 1 private bath,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,170,1,50,2020-01-26,0.48,10,145,0,
2745462,Home in Letang · ★4.91 · 3 bedrooms · 3 beds · 1 bath,14045406,Shannon,Charlotte,Saint George,45.0631,-66.82164,Entire home/apt,150,2,229,2023-09-08,2.02,1,322,25,
3112270,Home in Chance Harbour (Little Dipper Harbour) · 2 bedrooms · 2 beds · 1.5 baths,2714886,Karen,Saint John,Musquash,45.11858,-66.37346,Entire home/apt,578,3,1,2023-08-18,0.79,1,177,1,
3164623,Rental unit in Fredericton · ★4.82 · 1 bedroom · 1 bed · 1 bath,13302046,Victoria,York,Fredericton,45.95934,-66.63645,Entire home/apt,120,1,376,2023-07-09,3.35,5,261,24,
3217193,Guesthouse in St. Andrews · ★4.94 · 1 bedroom · 4 beds · 1 bath,16292752,Karen,Charlotte,Saint Andrews,45.07619,-67.05352,Entire home/apt,182,3,85,2023-08-30,0.76,2,264,6,
3260745,Home in Fredericton · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,16489649,Francis,York,Fredericton,45.93595,-66.63884,Private room,120,1,96,2023-09-16,0.86,2,150,6,
