id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62033,Home in Newark · ★4.86 · 1 bedroom · 1 bed · 1 bath,301435,Fred,,North,40.77278,-74.17206,Private room,80,2,75,2023-04-30,0.49,1,361,2,
1975091,Home in Newark · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74492,-74.19763,Private room,50,10,92,2023-09-15,0.80,5,193,11,
2159185,Home in Newark · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74447,-74.19457,Private room,45,9,98,2023-07-05,0.85,5,319,3,
2277901,Home in Maplewood · ★4.67 · 1 bedroom · 1 bed · 1 private bath,11308972,Tendai D,,West,40.73465,-74.24753,Private room,75,3,58,2023-09-08,0.51,2,349,8,
2279324,Rental unit in Maplewood · ★4.54 · 1 bedroom · 3 beds · 1 bath,11308972,Tendai D,,West,40.73392,-74.24569,Entire home/apt,90,5,63,2023-08-31,0.55,2,268,3,
2695185,Home in Newark · ★4.77 · 1 bedroom · 2 beds · 1 private bath,9169027,Kimberly B,,West,40.74623,-74.19658,Private room,60,10,114,2023-09-16,1.04,5,328,9,
2927685,Home in Newark · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,9169027,Kimberly B,,West,40.74506,-74.19784,Private room,52,9,107,2023-09-12,0.97,5,315,7,
2953956,Home in Newark · ★4.33 · 2 bedrooms · 3 beds · 1 private bath,51343,Julia,,Central,40.74941,-74.17855,Private room,80,2,52,2023-09-18,0.50,1,364,2,
3319300,Rental unit in Newark · ★4.59 · 1 bedroom · 1 bed · 1 bath,2034171,David,,North,40.78116,-74.1737,Entire home/apt,72,2,152,2023-09-02,1.35,1,6,22,
4007546,Rental unit in Newark · ★4.97 · 1 bedroom · 1 bed · 1 private bath,2734824,Lei,,East,40.72855,-74.15917,Private room,67,2,60,2023-08-07,0.55,1,82,11,
4015993,Home in Newark · ★4.95 · 1 bedroom · 1 bed · 1 private bath,20822869,Tom,,North,40.7672,-74.17303,Private room,82,1,44,2023-08-12,0.41,1,200,6,
4408881,Rental unit in Newark · ★4.82 · 1 bedroom · 1 bed · 1 bath,296707902,Sergio,,North,40.78038,-74.17197,Entire home/apt,68,5,172,2023-09-05,1.61,1,290,13,
5459428,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,9169027,Kimberly B,,West,40.74547,-74.19773,Private room,39,6,69,2022-06-25,0.67,5,179,0,
6134188,Home in Newark · ★4.98 · 4 bedrooms · 4 beds · 4 baths,26222479,Caro-Lina,,North,40.76394,-74.17272,Entire home/apt,350,2,53,2018-01-01,0.52,1,267,0,
7384022,Rental unit in Newark · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,36061949,John,,Central,40.75022,-74.17841,Private room,100,5,65,2021-05-01,0.82,1,0,0,
7612811,Home in Newark · ★4.27 · 1 bedroom · 1 bed · 1 shared bath,39925277,David,,West,40.73656,-74.24015,Private room,350,5,22,2019-10-13,0.22,1,365,0,
8106551,Rental unit in Newark · ★4.53 · 1 bedroom · 3 beds · 1 bath,37522191,Arica,,East,40.72976,-74.14615,Entire home/apt,102,1,38,2023-04-30,0.59,1,361,1,
8116202,Townhouse in Newark · ★4.75 · 3 bedrooms · 6 beds · 2 baths,23630245,Bart,,East,40.7315,-74.16316,Entire home/apt,115,28,118,2023-08-21,1.38,1,42,7,
8404849,Guest suite in Newark · ★4.95 · 1 bedroom · 2 beds · 1 bath,23767297,Sandy & Tone,,South,40.70617,-74.21037,Entire home/apt,125,30,41,2022-07-04,1.78,1,0,0,
8628016,Rental unit in Newark · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,45377447,Katiuscia & Andre,,East,40.72656,-74.15298,Private room,120,2,9,2017-09-01,0.10,1,359,0,
8713883,Rental unit in Newark · ★4.07 · 1 bedroom · 1 bed · 1 shared bath,43545556,Leslie,,East,40.73181,-74.16517,Private room,84,2,15,2023-09-17,0.16,1,356,5,
9357365,Rental unit in Newark · ★4.63 · 3 bedrooms · 3 beds · 1 bath,24815236,Mario,,West,40.74446,-74.22019,Entire home/apt,90,7,8,2023-07-19,0.49,23,321,4,
9449534,Condo in Newark · ★4.79 · 1 bedroom · 1 bed · 1 bath,48966617,Martin,,South,40.70607376098633,-74.20662689208984,Entire home/apt,80,10,19,2023-06-24,0.20,1,170,2,
9733571,Rental unit in Newark · ★4.54 · 1 bedroom · 1 bath,24815236,Mario,,West,40.74075,-74.22714,Entire home/apt,55,7,39,2023-04-03,0.50,23,357,4,
9877329,Rental unit in Newark · 1 bedroom · 1 bed · 1 bath,50206123,Dejean,,South,40.71803,-74.19258,Private room,78,1,0,,,1,0,0,
10218263,Rental unit in Newark · ★4.91 · Studio · 2 beds · 1 shared bath,20241104,Marlene,,East,40.73244094848633,-74.1421127319336,Private room,48,1,152,2023-09-14,1.69,1,49,49,
10538494,Rental unit in Newark · ★4.37 · 2 bedrooms · 2 beds · 1 bath,25902410,Roberta,,Central,40.72838592529297,-74.17843627929688,Entire home/apt,200,28,71,2019-06-30,0.77,1,346,0,
11371204,Home in Newark · ★4.47 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73059,-74.16423,Private room,85,1,404,2023-08-19,4.39,6,343,12,
11371231,Home in Newark · ★4.51 · 1 bedroom · 2 beds · 2.5 shared baths,1315486,Roy,,East,40.73094,-74.16227,Private room,85,1,341,2023-09-02,3.71,6,339,15,
11420487,Home in Newark · ★4.23 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73124,-74.16298,Private room,85,1,275,2023-06-23,2.99,6,343,9,
11450219,Condo in Newark · ★4.43 · 2 bedrooms · 2 beds · 1 bath,24815236,Mario,,West,40.74081,-74.22709,Entire home/apt,90,7,23,2023-09-12,0.29,23,333,6,
11460244,Home in Newark · ★4.54 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73204,-74.16218,Private room,85,1,256,2023-06-30,2.78,6,341,11,
11461591,Home in Newark · ★4.56 · 1 bedroom · 1 bed · 2.5 shared baths,1315486,Roy,,East,40.73227,-74.16403,Private room,90,1,326,2023-09-15,3.54,6,339,14,
11836933,Home in Newark · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,37345383,Jermaine,,South,40.72254,-74.19025,Private room,49,7,5,2017-07-24,0.06,12,339,0,
12208248,Home in Newark · ★4.18 · 2 bedrooms · 3 beds · 1.5 shared baths,37345383,Jermaine,,Central,40.72755,-74.18834,Private room,116,5,17,2022-07-10,0.19,12,339,0,
13394540,Home in Newark · ★4.80 · 1 bedroom · 4 beds · 1 shared bath,60852815,Valerie,,South,40.70816,-74.21599,Private room,52,1,5,2017-05-19,0.06,1,85,0,
