id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
914274430810474746,Rental unit in Bydel Alna · ★5.0 · 2 bedrooms · 2 beds · 1 bath,34923127,Leif,,Alna,59.93671834705293,10.925451932322218,Entire home/apt,750,3,4,2023-08-18,1.62,1,0,4,
42932,Rental unit in Oslo · ★4.90 · 2 bedrooms · 3 beds · 1 bath,187463,Cecilie,,Frogner,59.91201,10.72455,Entire home/apt,3400,3,56,2023-09-11,0.46,2,358,6,
69964,Rental unit in Oslo · ★4.78 · 1 bedroom · 1 bed · 1 bath,175633,Kristin,,Sagene,59.94059,10.77397,Entire home/apt,1098,28,9,2021-06-06,0.06,1,0,0,
71725,Rental unit in Oslo · ★4.74 · 1 bedroom · 2 beds · 1 bath,368229,Reidun,,Gamle Oslo,59.90795,10.77987,Private room,573,14,55,2023-06-30,0.36,1,295,5,
85902,Condo in Oslo · ★4.77 · 2 bedrooms · 3 beds · 1 bath,250159,Melissa,,Gamle Oslo,59.91074,10.77232,Entire home/apt,1300,3,77,2023-08-06,0.51,2,47,11,
94158,Rental unit in Oslo · ★4.57 · 3 bedrooms · 4 beds · 1 bath,503528,Katrine,,Gamle Oslo,59.90703,10.78589,Entire home/apt,750,90,140,2021-06-28,1.29,1,0,0,
123041,Rental unit in Oslo · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,250159,Melissa,,Gamle Oslo,59.91253,10.77205,Private room,761,1,237,2023-09-10,1.59,2,19,6,
149776,Rental unit in Oslo · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,714768,Henrik,,St. Hanshaugen,59.92398,10.74787,Private room,949,5,43,2023-04-23,0.29,2,235,1,
165218,Rental unit in Oslo · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,787976,Jon,,Sagene,59.9375,10.76554,Private room,650,2,23,2022-08-27,0.16,1,0,0,
174372,Rental unit in Oslo · ★4.87 · 5 bedrooms · 2 beds · 1 bath,114189,Christina,,Sagene,59.93024,10.75964,Entire home/apt,17210,100,36,2014-10-26,0.24,1,365,0,
256459,Rental unit in Oslo · ★4.96 · 2 bedrooms · 3 beds · 1 bath,1347737,Kåre & Truls,,Nordstrand,59.84704,10.7778,Entire home/apt,763,1,358,2023-09-18,2.68,2,306,68,
275790,Condo in Oslo · ★4.82 · 1 bedroom · 1 bed · 1 bath,793479,Espen,,Sagene,59.93061,10.75375,Entire home/apt,966,13,17,2023-08-28,0.12,1,299,5,
284644,Rental unit in Oslo · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,1324869,Bente,,Gamle Oslo,59.91826,10.76147,Private room,729,4,100,2021-08-25,0.73,1,0,0,
314213,Rental unit in Oslo · ★4.78 · 1 bedroom · 1 bed · 1.5 shared baths,1614549,Peter Piotr,,Grünerløkka,59.92085,10.74995,Private room,564,5,122,2023-09-04,0.86,2,189,10,
386879,Rental unit in Oslo · ★4.74 · 2 bedrooms · 2 beds · 1 bath,1935720,Ida,,St. Hanshaugen,59.92223,10.74946,Entire home/apt,1076,90,47,2018-12-15,0.34,1,364,0,
397657,Rental unit in Oslo · ★4.50 · 1 bedroom · 1 bed · 1 bath,1986686,Hanne,,Grünerløkka,59.92634,10.75088,Entire home/apt,1000,3,22,2023-08-04,0.22,1,7,4,
