id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22772,Home in Pacific Grove · ★4.89 · 1 bedroom · 1 bed · 1 bath,87827,Amie,,Pacific Grove,36.62202,-121.91775,Entire home/apt,293,30,67,2016-08-01,0.41,2,83,0,
41014,Home in Pacific Grove · ★4.94 · 6 bedrooms · 8 beds · 4 baths,174738,Kirstie,,Pacific Grove,36.63096,-121.93652,Entire home/apt,1450,4,115,2023-05-07,0.76,1,76,3,
44515,Guesthouse in Pacific Grove · ★4.96 · 1 bedroom · 1 bed · 1 bath,195732,Blake,,Pacific Grove,36.62475,-121.93491,Entire home/apt,210,30,971,2023-07-31,6.09,1,104,7,
89210,Guest suite in Pacific Grove · ★4.91 · 1 bedroom · 1 bed · 1 bath,130577,Sarah,,Pacific Grove,36.60435,-121.92531,Entire home/apt,199,1,1148,2023-09-21,7.58,1,119,104,
129723,Condo in Pacific Grove · ★4.67 · 1 bedroom · 1 bed · 1 bath,639623,Birgit,,Pacific Grove,36.62008,-121.90993,Entire home/apt,139,30,15,2023-06-05,0.13,1,217,3,
1031734,Home in Pacific Grove · ★4.82 · 4 bedrooms · 4 beds · 2 baths,227482,Dan,,Pacific Grove,36.60368,-121.92721,Entire home/apt,350,30,238,2023-08-31,1.88,1,266,1,
1721186,Home in Pacific Grove · ★4.89 · 2 bedrooms · 2 beds · 1 bath,9073236,Barb,,Pacific Grove,36.62468,-121.91711,Entire home/apt,356,1,385,2023-09-10,3.20,1,329,66,
2372344,Home in Monterey · ★4.59 · 2 bedrooms · 2 beds · 2 baths,12118997,Guita,,Pacific Grove,36.6154,-121.90866,Entire home/apt,250,30,80,2022-03-02,0.69,2,365,0,
2552934,Place to stay in Pacific Grove · ★4.67 · 1 bedroom · 1 bed · 1 private bath,13070709,Jamie,,Pacific Grove,36.61667,-121.93322,Private room,121,2,327,2023-09-19,2.87,1,295,54,
3029273,Home in Pacific Grove · ★4.92 · 1 bedroom · 1 bed · 1 bath,15429359,Jim,,Pacific Grove,36.6333,-121.92406,Private room,230,1,579,2023-09-21,5.24,2,248,62,
3322430,Home in Pacific Grove · 3 bedrooms · 2 beds · 1 bath,16774595,Susan,,Pacific Grove,36.61923,-121.90716,Entire home/apt,195,30,0,,,1,0,0,
3833566,Home in Pacific Grove · ★4.65 · 1 bedroom · 2 beds · 1 bath,11486908,Elaine,,Pacific Grove,36.61661,-121.92449,Private room,150,1,74,2017-08-21,0.67,2,336,0,
3836973,Home in Pacific Grove · ★4.92 · 3 bedrooms · 4 beds · 2 baths,19763195,Paul,,Pacific Grove,36.60589,-121.92924,Entire home/apt,264,30,476,2022-09-27,4.29,1,360,1,
4099680,Home in Pacific Grove · ★4.91 · 2 bedrooms · 2 beds · 2 baths,5508442,Anne,,Pacific Grove,36.62322,-121.92883,Entire home/apt,112,30,461,2023-08-13,4.28,1,145,5,
4162387,Cottage in Pacific Grove · ★4.55 · 1 bedroom · 2 beds · 1 bath,14299946,Joy,,Pacific Grove,36.61934,-121.91955,Entire home/apt,100,30,579,2023-07-04,5.37,2,215,4,
4269074,Home in Pacific Grove · ★4.76 · 3 bedrooms · 3 beds · 2 baths,22162277,Grace,,Pacific Grove,36.62702,-121.91985,Entire home/apt,675,3,65,2023-09-18,0.60,1,240,5,
4291804,Home in Monterey · ★4.79 · 3 bedrooms · 6 beds · 2 baths,12118997,Guita,,Pacific Grove,36.61509,-121.91057,Entire home/apt,192,30,53,2023-05-06,0.51,2,91,1,
5185545,Cottage in Pacific Grove · ★4.93 · 2 bedrooms · 3 beds · 1 bath,21424068,Sarah,,Pacific Grove,36.63195,-121.92545,Entire home/apt,216,29,413,2023-07-28,3.96,1,196,6,
