id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
100953,Bed and breakfast in Biarritz · ★4.91 · 1 bedroom · 1 bed · 1 private bath,529684,Suliane,Biarritz,Biarritz,43.47871,-1.55767,Private room,127,1,33,2023-08-15,0.27,5,181,7,
111027,Bed and breakfast in Biarritz · ★4.85 · 1 bedroom · 1 bed · 1 private bath,529684,Suliane,Biarritz,Biarritz,43.47943,-1.55916,Private room,93,1,91,2023-08-23,0.61,5,182,19,
209295,Rental unit in Biarritz · ★4.56 · 2 bedrooms · 2 beds · 1 bath,1031250,Laurence,Biarritz,Biarritz,43.47887,-1.54527,Entire home/apt,149,4,18,2023-08-14,0.13,1,0,3,64122002929DA
327264,Home in Urrugne · ★4.87 · 6 bedrooms · 8 beds · 3.5 baths,1673093,Sonia,Hendaye,Urrugne,43.37056,-1.72667,Entire home/apt,397,5,52,2023-09-07,0.38,1,116,14,6454500065969
352381,Rental unit in Anglet · ★4.88 · 2 bedrooms · 3 beds · 1 bath,1784503,Eric,Anglet,Anglet,43.501858,-1.512803,Entire home/apt,68,3,52,2023-08-19,0.57,10,0,2,640240001849D
356862,Rental unit in Guéthary · ★4.58 · 2 bedrooms · 3 beds · 2 baths,1806320,Lili,Saint-Jean-de-Luz,GuÃ©thary,43.42512,-1.60948,Entire home/apt,185,7,19,2022-11-04,0.17,1,347,1,64249000100F2
368497,Townhouse in Biarritz · ★4.45 · 5 bedrooms · 7 beds · 3 baths,1860152,Daniel,Biarritz,Biarritz,43.47581,-1.56473,Entire home/apt,323,2,80,2023-08-12,0.57,1,306,14,64122172724RS
392471,Villa in Saint-Pée-sur-Nivelle · ★4.22 · 5 bedrooms · 14 beds · 3 baths,1962464,Isabelle Et Patrice,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.36627,-1.57222,Entire home/apt,375,7,9,2019-08-24,0.07,1,254,0,
467058,Rental unit in Saint-Jean-de-Luz · ★4.70 · 1 bedroom · 1 bed · 1 bath,2319191,Gene,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38847,-1.66194,Entire home/apt,95,5,216,2023-09-01,1.57,1,349,16,64483001359FC
488614,Rental unit in Hendaye · ★4.84 · 1 bedroom · 1 bed · 1 bath,2417648,Ascen,Hendaye,Hendaye,43.36049,-1.7728,Entire home/apt,85,5,51,2023-08-27,0.42,1,253,8,6426000130468
507979,Rental unit in Bayonne · ★4.55 · 3 bedrooms · 5 beds · 1 bath,2503298,Marion,Bayonne,Bayonne,43.49455,-1.4705,Entire home/apt,85,5,45,2023-08-19,0.37,1,129,8,64102001554EE
514093,Rental unit in Bidart · ★4.77 · 2 bedrooms · 2 beds · 1 bath,2532320,Chantal,Saint-Jean-de-Luz,Bidart,43.43488,-1.59683,Entire home/apt,130,7,33,2023-07-02,0.24,1,228,2,6412500046127
514652,Rental unit in Biarritz · ★4.89 · 2 bedrooms · 3 beds · 1 bath,1547905,Regine,Biarritz,Biarritz,43.48067,-1.55336,Entire home/apt,80,7,96,2023-05-27,0.70,1,326,2,64122002367A1
531719,Rental unit in Biarritz · ★4.63 · 2 bedrooms · 4 beds · 2 baths,2613471,Constance,Biarritz,Biarritz,43.49069,-1.55242,Entire home/apt,129,2,103,2023-07-13,0.76,1,342,23,6412200241779
587663,Bed and breakfast in Biarritz · ★4.85 · 1 bedroom · 1 bed · 1 private bath,529684,Suliane,Biarritz,Biarritz,43.47922,-1.55907,Private room,130,1,45,2023-08-20,0.33,5,185,7,
587736,Bed and breakfast in Biarritz · ★4.75 · 1 bedroom · 1 bed · 1 private bath,529684,Suliane,Biarritz,Biarritz,43.48016,-1.55796,Private room,107,2,142,2023-09-11,1.06,5,182,12,
587756,Bed and breakfast in Biarritz · ★4.81 · 1 bedroom · 2 beds · 1 private bath,529684,Suliane,Biarritz,Biarritz,43.4792,-1.55941,Private room,94,1,67,2023-09-11,0.54,5,185,17,
619573,Home in Biarritz · ★4.0 · 4 bedrooms · 5 beds · 2 baths,3070456,Cecile Et Hugo,Biarritz,Biarritz,43.47045,-1.55628,Entire home/apt,430,14,10,2019-08-24,0.09,1,73,0,64122002232C9
626489,Villa in Lahonce · ★4.0 · 6 bedrooms · 11 beds · 3 baths,3109965,Bernard,Saint-Pierre-d'Irube,Lahonce,43.48573,-1.40149,Entire home/apt,300,6,10,2023-07-30,0.09,1,212,1,64304000016C8
661562,Rental unit in Bayonne · ★4.80 · 3 bedrooms · 3 beds · 1 bath,2361360,Marguerite,Bayonne,Bayonne,43.49033,-1.47896,Entire home/apt,147,6,61,2023-07-31,0.46,1,237,5,641020009723D
663153,Loft in Biarritz · ★4.46 · 2 bedrooms · 2 beds · 1 bath,3348817,Pascoe,Biarritz,Biarritz,43.48409,-1.55627,Entire home/apt,79,2,308,2023-09-09,2.75,1,48,49,641220026649E
664467,Rental unit in Saint-Jean-de-Luz · ★4.48 · 2 bedrooms · 3 beds · 1 bath,3357149,Marie,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38738,-1.66062,Entire home/apt,199,6,85,2023-08-19,0.67,2,252,2,64483220077MT
665643,Rental unit in Saint-Jean-de-Luz · ★4.82 · 1 bedroom · 1 bed · 1 bath,3364315,Dana,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.39193,-1.66041,Entire home/apt,103,7,22,2023-08-19,0.22,1,245,2,6448300181925
665895,Home in Arcangues · ★4.86 · 2 bedrooms · 2 beds · 1 private bath,3366179,Maïté,Ustaritz,Arcangues,43.42789,-1.52364,Private room,150,4,7,2023-08-11,0.06,2,346,1,
672796,Bed and breakfast in Biarritz · ★4.90 · 1 bedroom · 1 bed · 1 bath,3412493,Françoise,Biarritz,Biarritz,43.47835,-1.562,Private room,55,2,71,2018-09-17,0.53,1,315,0,
680185,Rental unit in Biarritz · ★4.54 · Studio · 1 bed · 1 bath,3462574,Monique,Biarritz,Biarritz,43.48486,-1.55405,Entire home/apt,77,3,273,2023-08-28,2.04,3,347,35,6412200082971
731936,Rental unit in Biarritz · ★4.77 · Studio · 1 bed · 1 bath,3809993,Frédérique,Biarritz,Biarritz,43.48227,-1.56554,Entire home/apt,70,4,200,2023-07-07,1.51,3,326,13,64122170509ZS
732199,Rental unit in Biarritz · ★5.0 · 1 bedroom · 1 bed · 1 bath,3811485,Marie Helene,Biarritz,Biarritz,43.4896,-1.55032,Entire home/apt,150,4,10,2023-08-19,0.20,2,320,3,64122172449RS
738388,Condo in Biarritz · ★4.60 · Studio · 1 bed · 1 bath,3809993,Frédérique,Biarritz,Biarritz,43.48517,-1.54812,Entire home/apt,60,4,125,2023-08-06,0.96,3,332,7,64122172629WS
739301,Home in Biarritz · ★4.80 · 3 bedrooms · 3 beds · 2 baths,3866257,Pierre,Biarritz,Biarritz,43.48876,-1.54601,Entire home/apt,247,3,6,2021-06-04,0.09,1,252,0,6412200268105
744138,Rental unit in Biarritz · ★4.65 · 1 bedroom · 2 beds · 1 bath,3899844,Anne Marie,Biarritz,Biarritz,43.48264,-1.55814,Entire home/apt,83,7,74,2023-09-10,0.80,1,134,15,64122182647RM
755161,Home in Biarritz · ★4.70 · 3 bedrooms · 4 beds · 1 bath,3973708,Alexandra,Biarritz,Biarritz,43.4719,-1.56895,Entire home/apt,229,2,23,2023-08-19,0.25,2,103,2,641220022114B
