id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12899,Rental unit in Portland · ★4.93 · 2 bedrooms · 2 beds · 1 bath,49682,Ali And David,,Concordia,45.56488,-122.63418,Entire home/apt,80,3,616,2022-07-31,3.71,1,1,0,14-218887-000-00-HO
37676,Loft in Portland · ★4.89 · 1 bedroom · 1 bed · 1 bath,162158,Paul,,Pearl,45.52564,-122.68273,Entire home/apt,140,30,131,2023-03-11,0.82,1,337,1,
61677,Home in Portland · ★4.74 · 1 bedroom · 2 beds · 2 baths,298438,Deborah,,Reed,45.48784,-122.62806,Private room,70,3,128,2023-07-16,0.84,1,179,11,City registration pending
61893,Condo in Portland · ★5.0 · 1 bedroom · 1 bed · 1 bath,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,120,30,22,2023-05-22,0.26,1,193,3,
67036,Guesthouse in Portland · ★4.96 · 4 bedrooms · 5 beds · 2 baths,329777,Will,,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,395,3,52,2023-09-10,0.34,1,335,13,Exempt
77522,Guest suite in Portland · ★4.79 · 1 bedroom · 2 beds · 1 bath,345461,Diane,,Eastmoreland,45.47086,-122.63273,Entire home/apt,110,2,102,2023-03-13,0.72,1,338,9,14-227531-000-00-HO
80357,Bungalow in Portland · ★5.0 · 1 bedroom · 1 bed · 1 bath,415758,Esther,,Sullivan's Gulch,45.53364,-122.63895,Entire home/apt,100,31,11,2023-09-08,0.07,2,166,4,
93613,Home in Portland · ★4.50 · 1 bedroom · 1 bed · 4 shared baths,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,41,30,66,2023-09-01,0.45,10,339,1,
99355,Rental unit in Portland · ★4.93 · 3 bedrooms · 3 beds · 1.5 baths,523311,Mark,,Irvington,45.53836,-122.65159,Entire home/apt,179,1,282,2023-08-20,2.00,2,279,22,Exempt
114086,Hostel in Portland · ★4.40 · 1 bedroom · 1 bed · 4 shared baths,501715,Teresa,,Sabin,45.55593,-122.65029,Private room,27,30,70,2023-07-01,0.47,10,180,2,
117969,Rental unit in Portland · ★4.84 · 1 bedroom · 1 bed · 1 bath,589016,Steve,,Richmond,45.51022,-122.63088,Entire home/apt,90,2,321,2023-09-05,3.17,1,124,34,City registration pending
134282,Rental unit in Portland · ★4.39 · 1 bedroom · 2 beds · 1 bath,659137,Anjali,,Boise,45.55273,-122.67524,Entire home/apt,89,31,36,2023-06-15,0.25,2,87,1,
143483,Rental unit in Portland · ★4.84 · 1 bedroom · 1 bed · 1 bath,523311,Mark,,Irvington,45.54005,-122.64988,Entire home/apt,98,1,169,2023-08-31,1.17,2,324,14,City registration pending
145199,Home in Portland · ★4.73 · 2 bedrooms · 2 beds · 1 private bath,683139,Amy,,Montavilla,45.52959,-122.59081,Private room,70,3,84,2023-08-20,0.56,1,359,2,City registration pending
182450,Home in Portland · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,52505,Judy,,Richmond,45.50529,-122.63201,Entire home/apt,90,5,33,2023-07-18,0.25,2,1,2,14-212846-000-00-HO
182465,Home in Portland · ★4.95 · 1 bedroom · 2 beds · 1.5 shared baths,52505,Judy,,Richmond,45.50582,-122.63389,Private room,68,2,321,2023-09-12,2.18,2,30,1,14-212846-000-00-HO
195632,Home in Portland · ★4.69 · 1 bedroom · 3 beds · 1 bath,659137,Anjali,,Boise,45.55083,-122.67567,Entire home/apt,99,31,88,2022-11-21,0.60,2,178,1,17-183022-000-00-HO
213228,Home in Portland · ★4.88 · 2 bedrooms · 2 beds · 1 shared bath,1099616,Abraham,,Overlook,45.56616,-122.67889,Private room,55,3,150,2023-08-18,1.03,2,72,16,17-195424-000-00-HO
217607,Condo in Portland · ★4.69 · 1 bedroom · 1 bed · 1 bath,971012,Cynthia,,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,125,30,49,2020-09-30,0.34,2,320,0,City registration pending
218708,Rental unit in Portland · ★4.81 · 1 bedroom · 1 bed · 1 bath,6313800,Margot,,Kerns,45.5236,-122.63458,Entire home/apt,124,1,268,2023-09-02,1.84,4,90,28,Exempt
222298,Home in Portland · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,1153902,Taizz,,Overlook,45.55815,-122.69218,Private room,65,2,114,2022-05-29,0.78,3,88,0,City registration pending
231732,Home in Portland · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,1153902,Taizz,,Overlook,45.55629,-122.69042,Private room,65,30,48,2022-02-07,0.35,3,47,0,
231734,Home in Portland · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,1153902,Taizz,,Overlook,45.55748,-122.69207,Private room,65,2,48,2023-07-16,0.34,3,86,3,City registration pending
236108,Home in Portland · ★4.54 · 1 bedroom · 1 bed · 3 shared baths,501715,Teresa,,Sabin,45.55645,-122.64854,Private room,34,30,59,2022-10-15,0.43,10,365,1,
269339,Rental unit in Portland · ★4.72 · 1 bedroom · 2 beds · 1 bath,960864,Naomi,,King,45.55033,-122.65798,Entire home/apt,100,2,375,2022-12-11,2.62,2,0,5,16-213200-000-00-HO
317797,Condo in Portland · ★4.77 · 1 bedroom · 1 bed · 1 bath,828435,Furnished In Portland,,Mt. Tabor,45.510918377814114,-122.61128317425442,Entire home/apt,50,30,39,2022-08-28,0.28,7,161,0,
332420,Home in Portland · ★4.98 · 2 bedrooms · 2 beds · 1 bath,1206902,LeBrie,,Sunnyside,45.518,-122.6322,Entire home/apt,189,5,61,2023-08-15,0.47,1,27,14,City registration pending
345650,Guest suite in Portland · ★4.87 · Studio · 1 bed · 1 bath,38860,Renata,,Hayhurst,45.48203,-122.71903,Entire home/apt,335,2,140,2022-12-12,1.03,1,267,6,City registration pending
357732,Home in Portland · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,1810476,Susan,,Multnomah,45.46518,-122.71617,Private room,45,30,34,2022-08-20,0.25,2,364,0,City registration pending
362775,Guesthouse in Portland · ★4.75 · 1 bedroom · 1 bed · 1 bath,1213257,Dayna,,Concordia,45.56325,-122.63446,Entire home/apt,124,1,437,2023-08-31,3.13,6,348,73,17-182531-000-00-HO
365283,Rental unit in Portland · ★4.79 · 1 bedroom · 1 bed · 1 bath,3220765,Lisa,,King,45.55975,-122.66076,Entire home/apt,73,30,148,2022-12-28,1.06,1,282,2,
383701,Guest suite in Portland · ★4.94 · 1 bedroom · 4 beds · 1 bath,1405118,Dave & Silke,,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,106,2,379,2023-09-10,2.72,1,228,21,14-224927-000-00-HO
386687,Bungalow in Portland · ★4.82 · 1 bedroom · 1 bed · 1 bath,532509,Maria & Kenyon,,Multnomah,45.4692,-122.71497,Entire home/apt,135,3,219,2023-08-30,1.59,1,344,14,City registration pending
399890,Cottage in Portland · ★4.89 · 3 bedrooms · 3 beds · 1 bath,1996078,Sally K,,Marshall Park,45.45754,-122.69222,Entire home/apt,185,3,123,2023-09-02,0.98,3,168,18,15-150444-000-00-HO
