id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35979,Rental unit in Vila Chã · ★4.63 · 3 bedrooms · 5 beds · 2 baths,154415,Manuela,VILA DO CONDE,Vila Chã,41.29197,-8.73197,Entire home/apt,100,5,94,2023-08-19,0.59,1,258,4,"Turismo de Portugal, I.P. number 12997/AL"
41339,Rental unit in Porto · ★4.71 · 1 bedroom · 3 beds · 1 bath,180050,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,61,2,21,2023-07-29,0.17,1,30,1,29049/AL
55111,Rental unit in Paredes Municipality · ★4.79 · 2 bedrooms · 5 beds · 1 bath,259711,Isabel E João,PAREDES,Cete,41.17418,-8.35539,Entire home/apt,135,5,19,2023-08-27,0.19,3,0,4,7563/AL
73828,Rental unit in Estação · ★4.86 · 2 bedrooms · 4 beds · 1 bath,259711,Isabel E João,PAREDES,Cete,41.17624,-8.35354,Entire home/apt,90,5,14,2023-08-14,0.14,3,0,2,7563/AL
86388,Rental unit in Porto · ★4.77 · 1 bedroom · 1 bed · 2 shared baths,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,47,2,237,2023-07-30,1.57,9,223,56,6995/AL
87873,Rental unit in Porto · ★4.78 · 2 bedrooms · 2 beds · 1.5 baths,480980,Paula,PORTO,Bonfim,41.15607,-8.60437,Entire home/apt,85,3,237,2023-08-28,1.72,4,297,16,634/AL
91439,Rental unit in Porto · ★4.77 · 1 bedroom · 1 bed · 2 shared baths,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,45,2,218,2023-07-21,1.45,9,315,37,6995/AL
94701,Rental unit in Porto · ★4.77 · 1 bedroom · 1 bed · 1 bath,505473,Gundega & Antonio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14697,-8.60249,Entire home/apt,68,3,289,2023-03-02,1.92,1,315,2,85541/AL
96394,Boat in Vila Nova de Gaia · ★5.0 · 2 bedrooms · 2 beds · 2 baths,511741,Manuel,VILA NOVA DE GAIA,Canidelo,41.14296,-8.65203,Entire home/apt,214,1,10,2022-06-13,0.12,1,363,0,90/2015
100521,Rental unit in Vila Nova de Gaia · 1 bedroom · 1 bed,528145,Isabel Morgado,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07384,-8.65213,Private room,80,1,0,,,1,0,0,
100661,Rental unit in Porto · ★4.78 · 1 bedroom · 2 beds · 2 shared baths,185209,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,39,2,136,2023-08-21,0.92,9,291,30,6995/AL
104045,Rental unit in Porto · ★4.58 · 4 bedrooms · 4 beds · 3 baths,541968,Aida,PORTO,Bonfim,41.1605,-8.59871,Entire home/apt,206,4,293,2023-08-12,1.98,1,321,18,11205/AL
105347,Guesthouse in Oliveira do Douro · ★4.87 · 2 bedrooms · 3 beds · 1 bath,544104,Manuel,VILA NOVA DE GAIA,Oliveira do Douro,41.12945,-8.58562,Entire home/apt,62,4,146,2023-08-28,1.17,1,71,9,
108153,Guesthouse in Anta · ★4.77 · 3 bedrooms · 2 beds · 1 private bath,559704,Armando,ESPINHO,Anta e Guetim,40.99903,-8.61693,Private room,70,2,13,2023-07-27,0.15,2,262,5,10224
113586,Rental unit in Porto · ★4.70 · 1 bedroom · 2 beds · 1 bath,577638,César,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14452,-8.6149,Entire home/apt,55,7,247,2023-08-26,1.66,1,24,28,5380/AL
122362,Home in Porto · ★4.67 · 4 bedrooms · 6 beds · 3 baths,613350,Olga,PORTO,Paranhos,41.17576,-8.6232,Entire home/apt,110,2,88,2023-07-30,0.80,1,310,13,17076/AL
125872,Rental unit in Vila Nova de Gaia · ★4.65 · 1 bedroom · 1 bed · 1 private bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12535,-8.6142,Private room,68,2,241,2022-09-25,1.62,4,365,3,Exempt
127208,Home in Porto · ★4.87 · 1 bedroom · 4 beds · 1.5 baths,630252,Aurora,PORTO,Campanhã,41.1546,-8.58985,Private room,34,2,520,2023-07-24,3.60,1,220,38,34971/AL
128557,Rental unit in Vila Nova de Gaia · ★4.65 · 1 bedroom · 1 bed · 1 shared bath,625145,Manuel & Family,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12485,-8.6139,Private room,35,2,513,2023-08-20,3.45,4,318,59,Exempt
131994,Rental unit in Porto · ★4.73 · 1 bedroom · 1 bed · 1 bath,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1517,-8.61444,Entire home/apt,56,2,236,2023-09-04,1.59,2,28,34,6184/AL
133099,Rental unit in Porto · ★4.76 · 1 bedroom · 2 beds · 1 bath,648963,António & Irene,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1506,-8.61391,Entire home/apt,74,3,189,2023-09-07,1.28,2,34,26,6184/AL
133803,Condo in Vila Nova de Gaia · ★4.94 · 2 bedrooms · 5 beds · 1.5 baths,489762,Sun Sea City,VILA NOVA DE GAIA,Canidelo,41.12808,-8.663,Entire home/apt,146,3,177,2020-10-25,1.99,1,0,0,80653
134570,Condo in Vila Nova de Gaia · ★4.97 · 3 bedrooms · 6 beds · 3.5 baths,660293,Natacha,VILA NOVA DE GAIA,Madalena,41.10431,-8.66159,Entire home/apt,327,2,105,2023-09-03,0.76,1,213,14,2191/AL
139425,Rental unit in Porto · ★4.48 · 1 bedroom · 2 beds · 1 bath,680010,Liana,PORTO,Bonfim,41.14622,-8.59423,Entire home/apt,72,2,243,2023-08-27,1.64,11,326,28,4833/AL
141255,Rental unit in Senhora da Hora · 2 bedrooms · 2 beds · 2 baths,663708,Gabriela,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.19266,-8.6615,Private room,139,3,1,2022-07-08,0.07,1,30,0,96640/AL
155127,Condo in São Cosme · ★4.62 · 3 bedrooms · 5 beds · 2.5 baths,745984,André,GONDOMAR,"Gondomar (São Cosme), Valbom e Jovim",41.1238,-8.54264,Entire home/apt,85,2,128,2023-09-03,0.92,2,358,20,
