id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3884,Rental unit in Prague · 1 bedroom · 2 beds · 1.5 baths,3128,Regina,,Praha 1,50.08411,14.43047,Entire home/apt,1449,5,2,2012-07-13,0.01,1,0,0,
23163,Rental unit in Prague · ★4.92 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,3340,1,28,2023-07-11,0.18,73,7,5,
23169,Rental unit in Prague · ★4.72 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,2579,1,110,2023-07-21,0.68,73,2,20,
26755,Rental unit in Prague · ★4.94 · 1 bedroom · 2 beds · 1.5 baths,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,2633,3,325,2023-09-02,3.20,3,73,58,
30762,Serviced apartment in Prague · ★4.73 · 2 bedrooms · 3 beds · 1 bath,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,5919,1,15,2023-07-17,0.10,73,1,3,
42514,Rental unit in Prague · ★4.76 · 1 bedroom · 2 beds · 1 bath,185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,3070,7,333,2023-04-30,2.09,1,362,5,
52148,Rental unit in Prague · ★4.57 · 1 bedroom · 4 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.06996574291571,14.430666050424191,Entire home/apt,1628,1,190,2023-09-12,1.21,96,25,58,
55844,Rental unit in Prague · ★4.51 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07795,14.43388,Entire home/apt,1572,2,412,2023-09-15,2.62,96,16,62,
55856,Rental unit in Prague · ★4.56 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 2,50.07617,14.43308,Entire home/apt,1600,2,325,2023-09-15,2.07,96,19,69,
70003,Rental unit in Prague · ★4.42 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08557,14.45098,Entire home/apt,1372,2,210,2023-09-11,1.38,96,34,42,
75298,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1 bath,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1754,2,36,2023-08-14,0.42,2,339,11,
79373,Rental unit in Prague · ★4.68 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,2579,1,48,2023-05-10,0.32,73,0,4,
79381,Rental unit in Prague · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,5392,1,15,2023-04-30,0.10,73,10,1,
79387,Rental unit in Prague · ★4.81 · 1 bedroom · 2 beds · 1 bath,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,2579,1,27,2023-07-16,0.18,73,0,9,
83067,Rental unit in Prague · ★4.55 · 1 bedroom · 4 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2572,3,198,2023-09-02,1.33,14,57,13,
83855,Rental unit in Prague · ★4.56 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2842,3,223,2023-08-28,1.63,14,57,8,
83856,Rental unit in Prague · ★4.63 · 1 bedroom · 3 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,3905,3,363,2023-08-29,2.40,14,43,60,
85790,Rental unit in Prague · ★4.59 · 3 bedrooms · 12 beds · 1.5 baths,383698,Viktor,,Praha 1,50.07744,14.4141,Entire home/apt,3410,1,117,2023-08-11,0.80,28,294,31,
85884,Rental unit in Prague · ★4.86 · 1 bedroom · 1 bed · 1.5 shared baths,423259,Zsofia,,Praha 7,50.10175,14.43304,Private room,667,30,61,2022-12-31,0.42,15,87,1,
98852,Rental unit in Prague · ★4.74 · 1 bedroom · 1 bed · 1 bath,517329,Teresa,,Praha 1,50.08588,14.42145,Entire home/apt,2210,2,585,2023-09-04,3.87,1,219,49,
106207,Rental unit in Prague · ★4.59 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08766,14.451,Entire home/apt,1372,2,277,2023-09-04,1.86,96,30,50,
109549,Condo in Prague · ★4.79 · 2 bedrooms · 2 beds · 1 bath,565267,Tana,,Praha 1,50.09104,14.42533,Entire home/apt,3981,20,169,2023-08-02,1.15,2,186,5,
111141,Rental unit in Prague · ★4.48 · 1 bedroom · 2 beds · 1 bath,227945,Alex And Kate,,Praha 3,50.08589,14.45203,Entire home/apt,1372,2,226,2023-08-28,1.53,96,41,39,
112281,Rental unit in Prague · ★4.59 · 1 bedroom · 2 beds · 0 baths,227945,Alex And Kate,,Praha 1,50.07905,14.42732,Entire home/apt,2028,2,251,2023-09-11,1.72,96,12,30,
117451,Loft in Prague · ★4.70 · 1 bedroom · 2 beds · 1 bath,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,1957,1,305,2023-09-03,2.14,2,279,13,
146690,Rental unit in Prague · ★4.91 · 2 bedrooms · 6 beds · 1 bath,589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,2112,6,373,2023-09-06,2.50,2,109,31,
167878,Rental unit in Praha 8 · 2 bedrooms · 2 beds · 1 bath,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4666,10,1,2018-04-22,0.02,1,77,0,
173114,Condo in Prague · ★4.67 · 1 bedroom · 1 bed · 1 bath,826315,Idan & Marta,,Praha 1,50.09024,14.4248,Entire home/apt,2140,3,350,2023-09-14,2.37,1,332,10,
176243,Rental unit in Prague · ★4.62 · 3 bedrooms · 4 beds · 1 bath,838198,Michael,,Praha 1,50.08875,14.42211,Entire home/apt,4957,4,404,2023-08-17,2.84,47,71,46,
181641,Rental unit in Prague 1 - Old Town · ★4.19 · 1 bedroom · 1 bed · 1 bath,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1228,2,185,2020-01-26,1.31,10,16,0,
181951,Rental unit in Prague · ★4.02 · 1 bedroom · 2 beds · 1 bath,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1179,2,137,2023-08-26,0.94,10,63,8,
182072,Condo in Prague · ★4.24 · 1 bedroom · 3 beds · 1 bath,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1768,2,33,2023-06-19,0.22,10,82,5,
182772,Rental unit in Prague · ★4.63 · 1 bedroom · 2 beds · 1 bath,315332,Lubos & Marta,,Praha 1,50.08354,14.41276,Entire home/apt,3800,3,174,2023-08-28,1.18,14,38,47,
