id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed and breakfast in Quebec · ★4.91 · 1 bedroom · 2 beds · 1 private bath,675584,Mary,,Sillery,46.76851,-71.26804,Private room,185,31,178,2023-08-21,1.20,3,348,4,181101
198548,Rental unit in Quebec · ★4.75 · 1 bedroom · 1 bed · 1 bath,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,164,31,57,2023-08-06,0.39,1,132,4,
214967,Townhouse in Quebec · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80233,-71.21214,Private room,61,32,197,2023-04-15,1.47,1,337,17,
348647,Bed and breakfast in Quebec · ★4.75 · 1 bedroom · 1 bed · Private half-bath,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81504,-71.20562,Private room,178,1,185,2023-08-26,1.32,3,86,18,"125930, expires: 2023-11-30"
361572,Bed and breakfast in Quebec · ★4.76 · 1 bedroom · 1 bed · Shared half-bath,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8157,-71.20504,Private room,171,1,186,2023-08-27,1.37,3,77,3,"125930, expires: 2023-11-30"
361573,Bed and breakfast in Quebec · ★4.80 · 1 bedroom · 1 bed · Shared half-bath,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8157,-71.20504,Private room,151,1,82,2023-08-24,0.60,3,78,12,"125930, expires: 2023-11-30"
502417,Rental unit in Quebec · ★4.27 · 2 bedrooms · 2 beds · 1 bath,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80709,-71.22691,Entire home/apt,115,1,203,2023-08-27,1.50,5,48,14,"138600, expires: 2023-11-30"
517628,Townhouse in Quebec · ★4.89 · 5 bedrooms · 5 beds · 2.5 baths,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80432,-71.20559,Entire home/apt,459,3,35,2023-08-19,0.70,1,57,7,"312758, expires: 2024-04-14T00:00:00Z"
588889,Home in Ville de Québec · ★4.75 · 4 bedrooms · 5 beds · 1.5 baths,2904660,Mariane,,Lac-Saint-Charles,46.93362,-71.3785,Entire home/apt,350,7,8,2023-08-12,0.10,2,0,1,"312924, expires: 2024-04-27"
652744,Rental unit in Quebec · ★4.26 · 1 bedroom · 4 beds · 1 bath,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.806644439697266,-71.22599029541016,Entire home/apt,120,2,145,2023-08-27,1.08,5,43,14,"138600, expires: 2023-11-30"
