id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10262,Home in Glocester · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,35244,Paula,Providence,Glocester,41.86683,-71.72481,Private room,65,1,37,2017-08-31,0.32,1,59,0,
15373,Home in Narragansett · ★4.83 · 13 bedrooms · 11 beds · 1.5 baths,60209,Brian,Washington,Narragansett,41.3919,-71.47568,Entire home/apt,475,7,6,2021-08-05,0.15,1,363,0,205978
50791,Rental unit in Providence · ★4.88 · 2 bedrooms · 2 beds · 2 baths,233834,Martina,Providence,Providence,41.81488,-71.43021,Entire home/apt,181,2,85,2023-05-31,0.54,3,302,3,RE.03989-STR
50817,Rental unit in Pawtucket · ★4.71 · 2 bedrooms · 3 beds · 1 bath,233965,Nancy,Providence,Pawtucket,41.88744,-71.35353,Entire home/apt,93,3,159,2023-08-31,1.01,1,347,4,202912
51583,Rental unit in Providence · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,66,2,428,2023-09-09,2.72,6,81,12,
54963,Rental unit in Providence · ★4.90 · 2 bedrooms · 2 beds · 2 baths,233834,Martina,Providence,Providence,41.8163,-71.42956,Private room,75,2,120,2023-08-26,0.77,3,302,6,RE.03989-STR
55417,Rental unit in Providence · ★4.80 · 1 bedroom · 1 bed · 1 bath,236166,Marie,Providence,Providence,41.82226,-71.40092,Entire home/apt,125,2,46,2023-07-13,0.30,6,32,3,
55464,Home in South Kingstown · ★4.94 · 3 bedrooms · 4 beds · 1 bath,262000,Kathy,Washington,South Kingstown,41.46965,-71.44939,Entire home/apt,419,3,117,2023-09-17,0.86,1,363,12,212092
84167,Rental unit in East Providence · ★4.89 · 2 bedrooms · 2 beds · 1 bath,148703,Michael,Providence,East Providence,41.82666,-71.37689,Entire home/apt,110,2,462,2023-09-24,3.05,2,190,35,"STR-23-4, RE.00545-STR"
106617,Guesthouse in Little Compton · ★4.89 · 4 bedrooms · 6 beds · 1 bath,357017,Catherine,Newport,Little Compton,41.47548,-71.17867,Entire home/apt,275,7,61,2023-07-01,0.41,1,178,1,
111464,Farm stay in Tiverton · ★4.95 · 2 bedrooms · 3 beds · 1 bath,570818,Kristin,Newport,Tiverton,41.5669,-71.18512,Entire home/apt,271,2,206,2023-09-08,1.37,7,154,16,RE.01075-STR
152851,Bed and breakfast in Newport · ★4.90 · 1 bedroom · 1 bed · 1 private bath,735167,Patricia,Newport,Newport,41.49218,-71.31613,Private room,275,2,72,2023-09-03,0.49,3,113,4,
158239,Bed and breakfast in Newport · ★4.96 · 1 bedroom · 1 bed · 1 private bath,735167,Patricia,Newport,Newport,41.49414,-71.31493,Private room,250,2,99,2023-09-24,0.72,3,313,14,
158240,Bed and breakfast in Newport · ★4.97 · 1 bedroom · 1 bed · 1 private bath,735167,Patricia,Newport,Newport,41.49342,-71.31646,Private room,250,2,100,2023-09-17,0.73,3,328,16,
290088,Rental unit in Narragansett · 1 bedroom · 1 bed · 1 bath,1505626,Steve,Washington,Narragansett,41.50056,-71.44606,Entire home/apt,214,7,1,2013-03-22,0.01,1,0,0,
345617,Rental unit in Newport · ★4.80 · 1 bedroom · 1 bed · 1 bath,1644425,Nicholas,Newport,Newport,41.48791,-71.30166,Entire home/apt,369,30,95,2023-09-22,0.97,8,365,2,None needed
345618,Chalet in Newport · ★4.97 · 8 bedrooms · 1 bed · 8.5 baths,1644425,Nicholas,Newport,Newport,41.48733,-71.3063,Entire home/apt,3714,30,29,2023-09-11,0.23,8,365,1,None needed
345637,Home in Newport · ★4.84 · 1 bedroom · 1 bed · 1 private bath,1644425,Nicholas,Newport,Newport,41.49801,-71.30569,Private room,250,3,20,2023-08-07,0.34,8,61,3,293
393859,Condo in Newport · ★4.79 · 1 bedroom · 2 beds · 1 bath,1969219,Jeffrey,Newport,Newport,41.49305,-71.30635,Entire home/apt,180,30,52,2023-06-23,0.51,1,331,5,
401316,Condo in Providence · ★4.80 · 1 bedroom · 1 bed · 1 bath,2003135,Amanda,Providence,Providence,41.81658,-71.43622,Entire home/apt,103,2,100,2021-03-01,0.73,1,0,0,
402081,Home in Newport · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,1644425,Nicholas,Newport,Newport,41.50015,-71.3069,Private room,232,3,17,2023-08-06,0.13,8,363,1,293
402131,Chalet in Newport · ★5.0 · 1 bedroom · 1 bed · 1 private bath,1644425,Nicholas,Newport,Newport,41.48714,-71.30525,Private room,328,2,5,2023-09-16,0.04,8,158,1,None needed
416234,Rental unit in Newport · ★4.76 · 1 bedroom · 4 beds · 1 shared bath,565135,Pamela,Newport,Newport,41.46853,-71.31479,Private room,100,1,266,2023-09-09,1.92,2,336,24,
422731,Rental unit in Providence · ★4.82 · 1 bedroom · 1 bed · 1 private bath,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,76,2,421,2023-08-20,3.05,6,232,24,1424
425434,Rental unit in Newport · ★4.94 · 1 bedroom · 1 bed · 1 bath,2115279,Michael,Newport,Newport,41.49407,-71.3103,Private room,171,2,335,2023-09-12,3.38,1,134,26,
457581,Home in Providence · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,1577918,Greg,Providence,Providence,41.80951,-71.45675,Private room,65,1,69,2023-09-10,0.52,2,173,11,
