id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21134,Rental unit in Riga · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,80446,Ieva And Florian Daniel,,Avoti,56.95296,24.13101,Private room,10,90,75,2023-06-30,0.51,2,179,1,
120480,Rental unit in Riga · ★4.58 · 2 bedrooms · 2 beds · 1 bath,606352,Kristine,,VecpilsÄta,56.9528,24.10551,Entire home/apt,51,2,549,2023-09-18,3.68,1,317,66,
253753,Rental unit in Riga · ★4.92 · 1 bedroom · 2 beds · 1 bath,1332828,Jānis,,Centrs,56.95795,24.10529,Entire home/apt,58,28,124,2020-11-20,0.86,1,0,0,
260539,Rental unit in Riga · ★4.60 · 2 bedrooms · 5 beds · 1.5 baths,1297653,Aiva,,Centrs,56.95683,24.13622,Entire home/apt,80,7,43,2023-08-18,0.35,2,274,4,
275688,Rental unit in Riga · ★4.69 · 1 bedroom · 3 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94583,24.11249,Entire home/apt,60,3,16,2023-05-23,0.13,9,69,1,
298935,Condo in Riga · ★5.0 · Studio · 1 bed · 1 bath,1540565,Egons,,Ä¶engarags,56.91516,24.16575,Entire home/apt,45,2,4,2023-07-16,0.32,1,178,3,
353581,Rental unit in Riga · ★4.43 · 1 bedroom · 3 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94667,24.11297,Entire home/apt,60,3,7,2018-09-23,0.06,9,74,0,
354874,Rental unit in Riga · ★4.62 · 2 bedrooms · 4 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94616,24.11336,Entire home/apt,80,3,28,2023-07-31,0.22,9,0,2,
355961,Rental unit in Riga · ★4.71 · 2 bedrooms · 1 bath,1441076,Marianna,,VecpilsÄta,56.94639,24.11266,Entire home/apt,100,3,9,2023-05-15,0.07,9,61,1,
363262,Rental unit in Riga · ★4.88 · 1 bedroom · 2 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94754,24.11412,Entire home/apt,55,3,17,2022-07-13,0.14,9,61,0,
429062,Rental unit in Riga · ★4.88 · 1 bedroom · 1 bed · 1 bath,2054298,Ilona,,Centrs,56.95641,24.12503,Entire home/apt,75,2,95,2023-08-08,0.70,1,349,11,
433373,Rental unit in Riga · ★4.89 · 1 bedroom · 2 beds · 1 bath,2153755,Jelena,,VecpilsÄta,56.94823,24.1079,Entire home/apt,54,2,27,2023-07-11,0.20,2,363,2,
445853,Rental unit in Riga · ★4.71 · 1 bedroom · 1 bed · 1 bath,1929477,Nina,,Centrs,56.96189,24.13238,Entire home/apt,53,2,150,2023-08-20,1.10,2,354,17,
446612,Rental unit in Riga · ★4.81 · 1 bedroom · 1 bed · 1 bath,2218232,"Liga, Toms",,TorÅakalns,56.94025,24.09502,Entire home/apt,40,2,201,2020-01-06,1.45,1,0,0,
514952,Rental unit in Riga · ★4.76 · 1 bedroom · 2 beds · 1 bath,2534039,Anjela,,VecpilsÄta,56.9484,24.10655,Entire home/apt,39,2,270,2023-09-12,2.02,7,331,44,
569469,Rental unit in Riga · ★4.44 · 2 bedrooms · 3 beds · 1 bath,1441076,Marianna,,Avoti,56.95108,24.13266,Entire home/apt,80,3,9,2022-04-05,0.07,9,0,0,
580504,Loft in Riga · ★4.84 · 2 bedrooms · 5 beds · 1 bath,2856485,Aigars,,Avoti,56.95501,24.13567,Entire home/apt,42,1,367,2023-09-23,2.70,1,310,39,
647176,Condo in Riga · ★4.76 · 1 bedroom · 1 bed · 1 bath,3244574,Rob,,Centrs,56.95939,24.10606,Entire home/apt,72,1,76,2023-09-08,0.57,1,167,4,
674037,Rental unit in Riga · ★4.72 · 3 bedrooms · 6 beds · 3.5 shared baths,3386023,Modus,,Avoti,56.95569,24.13587,Private room,25,2,209,2023-08-20,1.84,1,365,15,
680697,Rental unit in Riga · ★4.89 · 1 bedroom · 1 bed · 1 bath,1929477,Nina,,Centrs,56.95887,24.14001,Entire home/apt,129,2,20,2021-09-26,0.16,2,0,0,
707268,Rental unit in Riga · ★5.0 · 1 bedroom · 1 bed · 1 bath,3635378,Larisa,,Sarkandaugava,56.99906,24.12356,Private room,28,1,7,2023-05-19,0.13,1,0,3,
716021,Rental unit in Riga · ★4.18 · 1 bedroom · 1 bed · 1.5 baths,3689816,Natalja,,Avoti,56.95235,24.15291,Entire home/apt,29,10,41,2023-08-24,0.32,2,323,2,
716025,Rental unit in Riga · ★4.75 · 2 bedrooms · 2 beds · 1.5 baths,3689816,Natalja,,Maskavas forÅ¡tate,56.94543,24.1236,Entire home/apt,47,4,80,2023-05-26,0.60,2,341,3,
788424,Rental unit in Riga · ★4.71 · 3 bedrooms · 7 beds · 2 baths,4155697,Jev,,Centrs,56.95756,24.12374,Entire home/apt,89,2,75,2023-09-24,0.60,2,300,11,
879867,Rental unit in Riga · ★4.63 · 2 bedrooms · 4 beds · 1 bath,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,53,2,51,2023-07-30,0.40,15,358,1,
888222,Rental unit in Riga · ★4.84 · 1 bedroom · 1 bed · 1 bath,4710468,Ruta,,Brasa,56.97372,24.13713,Entire home/apt,25,5,85,2023-09-03,0.74,1,265,10,
1195785,Rental unit in Riga · ★4.75 · 2 bedrooms · 2 beds · 1 bath,1441076,Marianna,,Avoti,56.94949,24.13343,Entire home/apt,70,3,4,2022-08-22,0.05,9,0,0,
1230777,Condo in Riga · ★4.72 · 1 bedroom · 1 bed · 1 bath,696182,Kristine,,PÄtersala-Andrejsala,56.97302,24.10297,Entire home/apt,36,3,53,2023-08-23,0.45,1,237,7,
1234502,Rental unit in Riga · 1 bedroom · 2 beds · 1 bath,1441076,Marianna,,Avoti,56.95063,24.13123,Entire home/apt,55,3,1,2014-07-20,0.01,9,37,0,
1339175,Rental unit in Riga · ★4.54 · 3 bedrooms · 3 beds · 1.5 baths,7261947,Denerika And,,VecpilsÄta,56.94833,24.10792,Entire home/apt,67,1,101,2023-09-10,0.82,1,317,26,
1357371,Rental unit in Riga · ★4.74 · 4 bedrooms · 6 beds · 2 baths,7368596,Aija,,VecpilsÄta,56.94957,24.10663,Entire home/apt,115,2,283,2023-08-27,2.39,1,225,14,
1359499,Rental unit in Riga · ★4.60 · 1 bedroom · 2 beds · 1.5 shared baths,79320,Vladislava,,Maskavas forÅ¡tate,56.93878,24.13255,Private room,50,2,75,2023-05-20,0.61,1,89,1,
1426834,Rental unit in Riga · ★4.75 · 1 bedroom · 2 beds · 1 bath,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,42,2,20,2023-08-14,0.16,15,298,5,
1463048,Rental unit in Riga · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,6956754,Viktorija,,Centrs,56.95642,24.13501,Private room,24,1,32,2019-08-08,0.26,1,0,0,
1485759,Rental unit in Riga · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,26,2,60,2023-09-02,0.49,15,279,2,
1770134,Rental unit in Riga · ★4.81 · 2 bedrooms · 5 beds · 1 bath,8320005,Ilzite,,VecpilsÄta,56.94963,24.10281,Entire home/apt,84,3,84,2023-08-14,0.70,1,358,4,
1890899,Home in Riga · ★4.93 · 2 bedrooms · 3 beds · 1 bath,9740727,Anita,,PleskodÄle,56.93331,24.0307,Entire home/apt,65,3,15,2019-07-05,0.13,1,0,0,
1968804,Rental unit in Riga · ★4.83 · Studio · 1 bed · 1 bath,9067635,Artur,,Centrs,56.95984,24.10496,Entire home/apt,41,4,24,2023-01-15,0.20,1,204,2,
2002567,Rental unit in Riga · ★4.85 · 1 bedroom · 1 bed · 1 bath,10312432,Maria Giulia,,VecpilsÄta,56.94655,24.11285,Entire home/apt,66,3,147,2023-09-21,1.24,1,284,18,
2121906,Rental unit in Riga · ★4.82 · Studio · 1 bed · 1 bath,10820534,Inta,,Avoti,56.949928,24.14205,Entire home/apt,50,14,175,2023-08-18,1.51,2,365,2,
2265665,Rental unit in Riga · ★4.69 · Studio · 2 beds · 1 bath,11569861,Agnese,,Ägenskalns,56.94556,24.07334,Entire home/apt,69,1,16,2022-06-19,0.14,1,0,0,
2287185,Serviced apartment in Riga · ★4.63 · 1 bedroom · 1 bed · 1 bath,9782548,Julia,,Centrs,56.95453,24.12378,Entire home/apt,70,5,8,2022-07-13,0.07,3,235,0,
2390753,Condo in Riga · ★4.68 · 1 bedroom · 1 bed · 1 bath,2534039,Anjela,,Avoti,56.95062,24.12639,Entire home/apt,37,2,183,2023-08-28,1.59,7,10,7,
2425060,Rental unit in Riga · ★4.18 · 2 bedrooms · 3 beds · 1 bath,8664705,Imants,,VecpilsÄta,56.94608,24.11061,Entire home/apt,40,2,178,2023-08-13,1.56,14,137,12,
2533564,Rental unit in Riga · ★4.71 · 2 bedrooms · 3 beds · 1 bath,4050771,Ed,,VecpilsÄta,56.94897,24.11055,Entire home/apt,70,2,271,2023-09-10,2.40,1,348,3,
2643169,Rental unit in Riga · ★4.82 · 2 bedrooms · 2 beds · 1 bath,4666664,Sergejs,,VecpilsÄta,56.94791,24.10883,Entire home/apt,51,140,57,2019-09-10,0.51,3,269,0,
2728402,Rental unit in Riga · ★4.96 · Studio · 2 beds · 1 bath,4820396,Gatis,,BieriÅi,56.92677,24.06085,Entire home/apt,33,1,76,2023-08-18,0.74,1,353,14,
2772806,Rental unit in Riga · ★4.65 · 2 bedrooms · 4 beds · 1 bath,13655321,Zaiga,,Centrs,56.96058,24.13447,Entire home/apt,62,4,76,2023-09-23,0.68,1,77,10,
2778501,Rental unit in Riga · ★4.37 · 1 bedroom · 1 bed · 1.5 shared baths,14210504,Olga,,GrÄ«ziÅkalns,56.96338,24.14832,Private room,21,2,203,2023-09-12,2.16,1,353,28,
2815514,Rental unit in Riga · ★4.53 · 2 bedrooms · 6 beds · Half-bath,4652968,Mira,,Avoti,56.95308,24.13821,Entire home/apt,49,2,32,2023-07-02,0.28,15,365,2,
2836456,Rental unit in Riga · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,13368926,Uģis,,TorÅakalns,56.92082,24.09688,Entire home/apt,45,2,51,2023-09-14,0.45,3,336,21,
2893633,Rental unit in Riga · ★4.56 · 3 bedrooms · 10 beds · 2 baths,4155697,Jev,,Centrs,56.95754,24.1174,Entire home/apt,69,2,51,2023-07-16,0.45,2,84,5,
2896444,Rental unit in Riga · ★4.29 · 4 bedrooms · 4 beds · 1.5 baths,14802896,Vita,,Maskavas forÅ¡tate,56.94111,24.12239,Entire home/apt,99,1,24,2023-07-30,0.21,1,0,1,
2905958,Rental unit in Riga · ★4.79 · 2 bedrooms · 7 beds · 1 bath,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,69,2,14,2019-09-25,0.14,15,206,0,
2905964,Rental unit in Riga · ★4.64 · 2 bedrooms · 9 beds · 1.5 baths,4652968,Mira,,Avoti,56.95308,24.13821,Entire home/apt,73,2,39,2022-08-15,0.37,15,231,0,
2911023,Rental unit in Riga · ★4.76 · Studio · 2 beds · 1 bath,4666664,Sergejs,,VecpilsÄta,56.94906,24.10846,Entire home/apt,41,3,254,2023-08-27,2.27,3,22,6,
2964429,Rental unit in Riga · ★4.87 · 4 bedrooms · 13 beds · 2 baths,12782830,Gustavs,,VecpilsÄta,56.95131,24.10301,Entire home/apt,73,2,150,2023-09-03,1.32,4,345,24,
3005004,Rental unit in Riga · 1 bedroom · 3 beds · 1 bath,14618756,,,Centrs,56.96069,24.10353,Entire home/apt,65,1,0,,,1,0,0,
3202709,Rental unit in Riga · ★4.88 · 3 bedrooms · 5 beds · 2.5 baths,4248662,Nikola,,VecpilsÄta,56.94904,24.10973,Entire home/apt,344,2,244,2023-09-17,2.16,14,347,19,
