id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73155,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,381163,Kim,Rotterdam Centrum,Stadsdriehoek,51.91683,4.48294,Entire home/apt,140,7,116,2023-06-30,0.77,1,250,8,0599 D9BA 806A 9A56 BDBB
77592,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,416305,Jos,Delfshaven,Middelland,51.9149,4.46322,Entire home/apt,160,2,18,2022-10-02,0.12,1,0,2,Exempt
101526,Condo in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,531869,Loes,Rotterdam Centrum,Dijkzigt,51.91246,4.46586,Entire home/apt,125,7,18,2023-05-14,0.12,1,287,6,0599 51CC CA3A 88B0 CEF1
283124,Rental unit in Rotterdam · ★4.72 · 2 bedrooms · 3 beds · 1.5 baths,132430732,Stefan,Overschie,Overschie,51.94402,4.42511,Entire home/apt,139,4,194,2023-07-30,1.37,1,260,12,0599 8987 6E27 0035 1F55
539905,Condo in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1 bath,2652971,Michael,Kralingen-Crooswijk,Kralingen Oost,51.92292,4.51435,Entire home/apt,150,4,24,2022-09-11,0.18,1,79,0,0599 F642 774A E974 C0A9
763422,Bed and breakfast in Rotterdam · ★4.81 · 1 bedroom · 1 private bath,4024319,Machteld,Noord,Blijdorp,51.93021,4.46853,Private room,106,2,359,2023-08-27,2.87,1,38,48,0599 0D64 133D 0093 457A
878959,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,4646003,Michel,Noord,Oude Noorden,51.93319,4.47658,Entire home/apt,93,6,20,2023-05-03,0.16,1,65,4,0599 8D6D 8745 6244 F5F9
880045,Boat in Rotterdam · ★4.87 · 1 bedroom · 3 beds · 1 bath,4653985,Eric,Kralingen-Crooswijk,De Esch,51.91286,4.51942,Entire home/apt,150,3,163,2023-09-11,1.26,2,322,43,0599B70AE638E5C31DDB
1193092,Rental unit in Rotterdam · ★4.76 · 2 bedrooms · 1 bed · 1 shared bath,6520705,Semek,Delfshaven,Middelland,51.918643951416016,4.457880020141602,Private room,99,3,18,2022-10-14,0.14,1,0,3,0599 C862 FC6E 7BB7 D73C
1322782,Home in Rotterdam · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,6926282,Marion,Delfshaven,Nieuwe Westen,51.92127,4.4563,Private room,41,3,128,2023-09-16,1.24,3,92,18,0599 7F3D 2D0E ECD3 0C97
1329363,Earthen home in Rotterdam · ★4.77 · 2 bedrooms · 1 bed · 1.5 shared baths,6926282,Marion,Delfshaven,Middelland,51.91955,4.4561,Private room,40,3,75,2023-08-30,0.67,3,42,21,0599 7F3D 2D0E ECD3 0C97
1403364,Boat in Rotterdam · ★4.70 · 1 bedroom · 1 bed · 1 bath,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.9149,4.48253,Entire home/apt,83,2,542,2023-09-06,4.51,2,0,84,0599 55C3 36A7 F981 E15C
1419544,Rental unit in Rotterdam · ★4.25 · 2 bedrooms · 2 beds · 1.5 baths,52802754,Anneloes,Noord,Agniesebuurt,51.92991,4.47681,Entire home/apt,75,56,20,2021-05-23,0.20,1,259,0,0599 06D2 84E6 2980 9BAD
1436796,Hostel in Rotterdam · ★4.78 · 1 bedroom · 8 beds · 3 shared baths,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Cs Kwartier,51.92259,4.46505,Shared room,37,1,55,2023-09-04,0.60,5,334,4,0599 9D05 A5B5 FBE4 DAD6
1439548,Hostel in Rotterdam · ★4.72 · 1 bedroom · 12 beds · 1.5 shared baths,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Oude Westen,51.92088,4.46529,Shared room,36,1,165,2023-08-08,1.35,5,356,8,Exempt
1504950,Barn in Rotterdam · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,8040675,Det,Hillegersberg-Schiebroek,Hillegersberg Noord,51.96387,4.48423,Entire home/apt,138,7,123,2023-08-25,1.13,1,115,15,0599 5DEA B875 55B2 AA00
1634923,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1 bath,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.91377,4.48509,Entire home/apt,75,2,241,2023-09-05,2.57,2,315,59,0599 55C3 36A7 F981 E15C
1705269,Condo in Rotterdam · ★4.61 · 1 bedroom · 1 bed · 1.5 baths,9001123,Sjoerd,Delfshaven,Nieuwe Westen,51.91967,4.45008,Entire home/apt,75,21,19,2023-09-15,0.16,1,215,2,0599 459E 7E8F 7E70 A328
1790922,Rental unit in Rotterdam · ★4.47 · 1 bedroom · 1 bed · 1 bath,9396518,Jose,Charlois,Tarwewijk,51.8901847,4.4877116,Entire home/apt,103,1,17,2023-09-17,4.18,1,130,17,0599F800C62B9265A45F
1839719,Boat in Rotterdam · ★4.86 · 8 bedrooms · 22 beds · 3 baths,9614440,Pieter,Rotterdam Centrum,Nieuwe Werk,51.90683,4.47869,Entire home/apt,525,2,52,2023-06-11,0.58,2,166,13,Exempt
1951271,Hostel in Rotterdam · ★4.54 · 1 bedroom · 8 beds · 4.5 shared baths,10090607,ROOM (Hostel),Rotterdam Centrum,Nieuwe Werk,51.90944,4.47865,Shared room,38,1,181,2023-08-23,1.54,3,96,14,Exempt
2007748,Rental unit in Rotterdam · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,10333630,Dieter,Feijenoord,Afrikaanderwijk,51.90575,4.4989,Entire home/apt,80,121,21,2021-08-30,0.18,1,259,0,0599 DE3E 4174 D1B2 4473
2097520,Rental unit in Rotterdam · ★4.77 · 1 bedroom · 2 beds · 1 bath,10698794,Fabiana & Rocco,Delfshaven,Nieuwe Westen,51.91794,4.45179,Entire home/apt,78,10,202,2023-01-23,1.73,1,1,1,0599 8351 BBF5 58F6 7DE0
2211519,Rental unit in Rotterdam · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,11266043,M.J.,Noord,Oude Noorden,51.92674,4.48472,Entire home/apt,214,2,70,2023-08-27,0.62,1,2,1,0599 6DC8 19F3 B63D B065
2317332,Rental unit in Rotterdam · ★4.87 · 2 bedrooms · 4 beds · 1.5 baths,11834678,Maarten,Delfshaven,Spangen,51.91835,4.44317,Entire home/apt,91,1,387,2023-08-13,3.79,1,1,27,0599 9CCB BF45 C894 A053
2417980,Bed and breakfast in Rotterdam · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,12357210,Yvonne,Overschie,Overschie,51.93911,4.41969,Private room,65,2,211,2023-09-10,1.82,1,220,29,0599346D7400C35C8639
2523676,Home in Rotterdam · ★4.77 · 2 bedrooms · 4 beds · 1 bath,12921610,Janny,Hillegersberg-Schiebroek,Hillegersberg Noord,51.94588,4.49131,Entire home/apt,115,2,107,2023-09-18,0.94,1,45,20,059947BEE51E8597009E
2692286,Townhouse in Rotterdam · ★4.87 · 2 bedrooms · 1 bed · 1 shared bath,13768594,Eliza,Prins Alexander,Nesselande,51.96857,4.58284,Private room,55,2,63,2023-05-13,0.55,2,260,3,0599 CD13 E32F 3E3C 879A
3561821,Rental unit in Rotterdam · ★4.42 · 2 bedrooms · 3 beds · 3 baths,6052050,Cristina Cassandra,Rotterdam Centrum,Cs Kwartier,51.92306,4.46677,Entire home/apt,86,60,12,2022-07-08,0.13,1,291,0,0599 8688 86C8 C175 83A6
3628774,Rental unit in Rotterdam · ★4.73 · 3 bedrooms · 3 beds · 1.5 shared baths,7395931,Gilles,Kralingen-Crooswijk,Kralingen West,51.92459,4.50305,Private room,30,1,37,2022-09-11,0.33,1,0,0,0599 9DB9 AF58 5703 C5AC
3670038,Rental unit in Rotterdam · ★4.58 · 2 bedrooms · 4 beds · 2.5 baths,17799395,Manon,Rotterdam Centrum,Dijkzigt,51.9124,4.46728,Entire home/apt,188,2,358,2023-08-27,3.22,1,208,45,0599236183B652A3A69E
