id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
199568,Guest suite in Salem · ★4.90 · 1 bedroom · 1 bed · 1 bath,974919,Sara,,Ward 1,44.95192,-123.05614,Entire home/apt,95,3,198,2023-07-30,1.35,1,18,11,
5021839,Home in Salem · ★5.0 · 2 bedrooms · 2 beds · 1 bath,25909376,Sean,,Ward 7,44.90964,-123.04896,Entire home/apt,120,3,3,2023-03-24,0.32,1,0,3,
7293821,Guest suite in Salem · ★4.95 · Studio · 1 bed · 1 bath,38202007,Julie,,Ward 7,44.92547,-123.04879,Entire home/apt,103,2,394,2023-07-24,3.96,1,79,18,
8524259,Home in Salem · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,2421461,Nancy,,Ward 7,44.88991,-123.06846,Private room,65,1,3,2021-04-21,0.04,2,321,0,
8698684,Home in Salem · ★4.80 · 3 bedrooms · 3 beds · 1 bath,3208932,Christy,,Ward 2,44.93312,-123.02016,Entire home/apt,225,3,89,2023-01-01,0.95,3,0,1,
9477671,Guesthouse in Salem · ★4.97 · 1 bedroom · 1 bed · 1 bath,14797761,Leigh,,Ward 1,44.95675,-123.02419,Entire home/apt,91,1,704,2023-09-08,8.13,1,0,94,
10074172,Home in Salem · ★4.47 · 1 bedroom · 1 bed · 1.5 shared baths,51689419,Nick,,Ward 1,44.94404,-123.0128,Private room,79,1,163,2023-07-23,1.75,4,180,1,
11362008,Home in Salem · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,3208932,Christy,,Ward 2,44.93207,-123.02118,Private room,49,1,536,2023-09-12,5.93,3,145,101,
12588161,Home in Salem · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,68279432,Sharon,,Ward 2,44.91142,-123.03245,Private room,42,3,86,2023-09-13,0.96,1,285,15,
12892550,Home in Salem · ★4.41 · 1 bedroom · 2 beds · 1.5 shared baths,972844,Julia,,Ward 1,44.94406,-123.01257,Private room,84,1,141,2023-07-23,1.58,1,180,2,
13620753,Home in Salem · ★4.96 · 1 bedroom · 2 beds · 1 private bath,78890374,Bob & Delia,,Ward 8,44.96082,-123.06966,Private room,73,1,524,2023-09-11,5.95,1,347,70,
