id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
55301,Guesthouse in Menlo Park · ★4.93 · 1 bedroom · 1 bed · 1 bath,261070,Shannon,,Menlo Park,37.46201,-122.15243,Entire home/apt,149,31,68,2023-08-23,0.46,1,280,15,
72211,Home in Portola Valley · ★4.92 · 3 bedrooms · 5 beds · 1 bath,101491,William,,Portola Valley,37.3878,-122.20206,Entire home/apt,495,3,137,2023-08-30,0.92,1,102,8,
83584,Guesthouse in Pacifica · ★4.44 · 1 bedroom · 1 bed · 1 bath,127367,Michelle,,Pacifica,37.63009,-122.48715,Entire home/apt,124,31,9,2022-01-23,0.09,2,172,0,
92921,Home in Redwood City · ★4.95 · 1 bedroom · 1 bed · 1 private bath,499362,David,,Atherton,37.47632,-122.18583,Private room,105,2,447,2023-09-13,2.97,1,0,24,
123653,Home in Atherton · ★4.91 · 4 bedrooms · 4 beds · 3 baths,617641,Mj,,Atherton,37.4597,-122.19563,Entire home/apt,713,29,13,2017-08-04,0.09,2,365,0,
170293,Bungalow in San Carlos · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,424098,Tim,,San Carlos,37.51267,-122.25994,Private room,115,2,128,2023-08-04,0.87,2,89,10,
175322,Home in Half Moon Bay · 4 bedrooms · 5 beds · 2.5 baths,838172,Kevin,,Half Moon Bay,37.45712,-122.43771,Entire home/apt,175,30,0,,,1,0,0,
182605,Bungalow in San Carlos · ★4.83 · 1 bedroom · 1 bed · 1 private bath,424098,Tim,,San Carlos,37.51267,-122.25994,Private room,120,3,36,2023-06-21,0.25,2,90,2,
208270,Home in San Mateo · ★4.78 · 1 bedroom · 1 bed · 2 baths,1025039,Angela,,San Mateo,37.5328,-122.32216,Private room,150,1,176,2023-08-30,1.20,5,213,5,
236882,Home in Atherton · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,617641,Mj,,Atherton,37.46251,-122.1971,Private room,90,20,150,2023-08-13,1.06,2,341,2,
275617,Home in San Carlos · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,124,2020-03-08,0.87,4,260,0,
281339,Home in San Carlos · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,80,3,132,2020-01-23,0.92,4,260,0,
281472,Home in San Carlos · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Private room,75,3,122,2020-02-08,0.89,4,260,0,
312514,Guesthouse in Redwood City · ★4.98 · 1 bedroom · 1 bed · 1 bath,1605211,Chris,,Redwood City,37.48141,-122.24523,Entire home/apt,113,2,348,2023-09-04,2.47,1,281,43,
342311,Guest suite in San Carlos · ★4.81 · 1 bedroom · 1 bed · 1 bath,1440686,Johanna And Bob,,San Carlos,37.5093,-122.26645,Entire home/apt,120,3,179,2023-09-11,1.27,4,345,10,
546284,Rental unit in Daly City · ★4.74 · 1 bedroom · 1 bed · 1 bath,1221565,Lisa,,Daly City,37.70294,-122.45501,Entire home/apt,145,30,81,2022-09-24,0.67,2,0,1,
617211,Guest suite in South San Francisco · ★4.85 · 1 bedroom · 2 beds · 1 bath,1921058,Philip,,South San Francisco,37.66259,-122.42252,Entire home/apt,153,2,411,2023-09-05,3.08,1,318,30,
