id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4952,Place to stay in Palo Alto · ★4.81 · 1 bedroom · 1 bed · 2 shared baths,7054,Mei Lin,,Palo Alto,37.43932,-122.15741,Private room,77,14,82,2023-08-26,0.48,5,318,6,
11464,Rental unit in Santa Clara · ★4.50 · Studio · 1 bed · 1 bath,42458,Emey,,Santa Clara,37.34415,-121.98701,Entire home/apt,89,3,20,2023-08-05,0.18,13,56,4,
21373,Place to stay in Palo Alto · ★4.87 · 1 bedroom · 1 bed · 2 shared baths,7054,Mei Lin,,Palo Alto,37.43972,-122.15532,Private room,77,4,268,2023-06-10,1.65,5,259,4,
62799,Place to stay in Palo Alto · ★4.89 · 1 bedroom · 4 beds · 2 shared baths,7054,Mei Lin,,Palo Alto,37.43934,-122.15723,Private room,85,5,154,2023-06-24,1.36,5,268,5,
75284,Place to stay in Palo Alto · ★4.86 · 1 bedroom · 1 bed · 2 shared baths,7054,Mei Lin,,Palo Alto,37.43923,-122.15745,Private room,75,14,211,2023-07-23,1.40,5,226,3,
106365,Guesthouse in Cupertino · ★4.93 · 1 bedroom · 1 bed · 1 bath,551319,Judith,,Cupertino,37.32194,-122.00511,Entire home/apt,289,30,187,2023-08-12,1.27,1,365,4,Exempt
118903,Guest suite in Sunnyvale · ★4.97 · 1 bedroom · 2 beds · 1 bath,600040,Rey,,Sunnyvale,37.38466,-122.03628,Entire home/apt,112,5,140,2023-08-28,0.94,1,71,19,2021-7703
134606,Home in San Jose · ★4.79 · 1 bedroom · 1 bed · Half-bath,660433,Veronica,,San Jose,37.34602,-121.88821,Private room,70,1,187,2023-05-12,1.27,1,353,2,
172259,Villa in Palo Alto · ★4.88 · 1 bedroom · 2 beds · 1 shared bath,821982,Grace,,Palo Alto,37.40312,-122.12661,Private room,95,2,16,2023-01-01,0.33,7,0,1,
211039,Home in Campbell · 1 bedroom · 1 bed · 1 bath,1066672,Jason,,Campbell,37.28774,-121.92726,Private room,100,1,0,,,1,0,0,
231717,Home in Santa Clara · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,1211619,Yael,,Santa Clara,37.34751,-121.98418,Private room,89,1,146,2018-01-25,1.04,1,337,0,
241788,Loft in San Jose · ★4.94 · 1 bedroom · 1 bed · 1 bath,1269205,Ginger & Ray,,San Jose,37.3205,-121.94844,Entire home/apt,189,21,148,2023-09-02,1.02,2,346,12,
251163,Home in Mountain View · 2 bedrooms · 3 beds · 1.5 baths,398213,Dave,,Mountain View,37.38406,-122.08022,Entire home/apt,150,300,0,,,1,0,0,
263527,Home in San Jose · ★4.15 · 5 bedrooms · 6 beds · 3 baths,79924,Khanh,,San Jose,37.27708,-121.82955,Entire home/apt,1200,2,15,2018-08-12,0.11,2,364,0,
307827,Place to stay in Palo Alto · ★4.90 · 1 bedroom · 1 bed · 1 bath,1169996,Marlene,,Palo Alto,37.42938,-122.13718,Entire home/apt,165,2,140,2022-09-26,0.99,1,357,2,
310377,Bungalow in Palo Alto · ★4.92 · 1 bedroom · 2 beds · 2.5 shared baths,957234,Margaret,,Palo Alto,37.4289,-122.13015,Private room,75,2,61,2023-03-08,0.44,1,56,2,
315339,Home in Saratoga · ★5.0 · 3 bedrooms · 4 beds · 2.5 baths,1587385,Paul,,Saratoga,37.2527,-122.03865,Entire home/apt,325,7,12,2023-08-09,0.09,2,160,1,
