id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49392,Rental unit in Santiago · 1 bedroom · 1 bed,224592,Maria,,Providencia,-33.43277,-70.59892,Private room,47232,3,0,,,1,178,0,
52811,Rental unit in Providencia · ★4.42 · 1 bedroom · 1 bed · 1 bath,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,48123,1,46,2021-11-04,0.29,3,0,0,
53494,Rental unit in Santiago · ★4.76 · 2 bedrooms · 8 beds · 2 baths,249097,Paulina,,Lo Barnechea,-33.34521,-70.29543,Entire home/apt,149999,2,38,2021-05-22,0.43,1,357,0,
65058,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,318016,Patricio,,Recoleta,-33.43049,-70.64079,Private room,53470,2,0,,,1,0,0,
73752,Rental unit in Santiago · 1 bedroom · 1 bed · 3 baths,374124,Daniela&Ricardo,,Santiago,-33.43865,-70.64241,Private room,71294,3,0,,,1,0,0,
80482,Home in Santiago · 1 bedroom · 1 bed · 1 shared bath,154527,Jacqueline,,La Florida,-33.51922,-70.59152,Private room,22777,2,0,,,1,0,0,
83677,Rental unit in Santiago · 1 bedroom · 1 bed,456388,Keno,,Providencia,-33.43074,-70.59021,Entire home/apt,129220,1,0,,,1,0,0,
88944,"Condo in Providencia, Santiago · ★4.71 · 1 bedroom · 1 bed · 1 bath",485358,Macarena,,Providencia,-33.42141,-70.60832,Entire home/apt,36155,3,199,2023-08-27,1.37,1,306,26,
90629,Rental unit in Santiago · 1 bedroom · 3 beds,491051,Marcy-Lú,,Santiago,-33.43585,-70.64098,Entire home/apt,89117,3,0,,,1,0,0,
90694,Rental unit in Santiago · ★4.72 · 1 bedroom · 1 bed · 1 bath,491253,Hector,,Providencia,-33.42629,-70.61866,Entire home/apt,49999,3,71,2023-08-26,0.47,2,301,9,
90769,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,491253,Hector,,Providencia,-33.42864,-70.62178,Entire home/apt,49999,4,12,2013-03-20,0.08,2,363,0,
94147,Home in Santiago · 1 bedroom · 1 bed · 1 bath,493996,Abraham,,Las Condes,-33.39946,-70.54499,Private room,43667,1,2,2011-12-07,0.01,1,365,0,
95139,Home in Santiago · 1 bedroom · 3 beds · 2 baths,506998,Rafael,,Santiago,-33.43657,-70.67851,Private room,63273,7,0,,,1,0,0,
96722,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,513040,Elby,,Las Condes,-33.4236,-70.58372,Private room,53470,1,0,,,1,0,0,
100057,Rental unit in Santiago · 1 bedroom · 1 bed,526328,Fernando,,Santiago,-33.43297,-70.65815,Private room,71294,14,2,2012-02-13,0.01,1,0,0,
106795,Rental unit in Santiago · 1 bedroom · 1 bed · 1.5 baths,552381,Nora,,Santiago,-33.43943,-70.65591,Entire home/apt,71294,1,0,,,1,0,0,
116494,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,588476,Antonio,,Santiago,-33.43814,-70.64508,Private room,53470,1,0,,,1,0,0,
119688,Rental unit in Santiago · 1 bedroom · 3 beds · 2 baths,603746,Marco,,Providencia,-33.42942,-70.60583,Private room,40103,1,0,,,1,0,0,
119949,Rental unit in Santiago · 1 bedroom · 1 bed · 1 shared bath,604630,Miry,,Santiago,-33.44734,-70.66664,Private room,13205,1,0,,,2,365,0,
122128,Rental unit in Santiago · 1 bedroom · 1 bed,612580,Juan,,Providencia,-33.43971,-70.60398,Private room,66838,1,0,,,1,0,0,
123569,Rental unit in Santiago · 1 bedroom · 1 bed,617378,Carolina,,Santiago,-33.45014,-70.64655,Private room,49014,1,0,,,1,0,0,
124075,Home in Santiago · 1 bedroom · 2 beds · 1 bath,619256,Rodrigo,,Providencia,-33.41736,-70.61304,Private room,35647,2,1,2012-01-19,0.01,6,365,0,
124291,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,619919,Livia,,Las Condes,-33.41891,-70.55632,Private room,53470,5,0,,,1,0,0,
131054,Rental unit in Santiago · 1 bedroom,645012,Norman,,Santiago,-33.44294,-70.63366,Private room,35647,1,0,,,1,0,0,
132624,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,651711,Administrador,,Santiago,-33.43294,-70.65467,Private room,89750,1,0,,,1,0,0,
