id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32984,Rental unit in Stockholm · ★4.23 · 1 bedroom · 1 bed · 1 bath,53396,Chris,,Kungsholmens,59.32779,18.04998,Entire home/apt,1447,40,24,2016-06-28,0.15,1,309,0,
164448,Rental unit in Stockholm · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,784312,Li,,Södermalms,59.31389,18.06087,Private room,964,3,390,2023-09-05,2.64,2,84,45,
170651,Condo in Stockholm · ★4.70 · 1 bedroom · 2 beds · 1.5 baths,814021,Marie,,Södermalms,59.31702,18.02946,Entire home/apt,1173,2,48,2023-08-21,0.33,1,308,7,
220851,Rental unit in Stockholm · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,450,3,63,2023-09-01,0.43,1,344,5,
238411,Rental unit in Stockholm · ★4.79 · 1 bedroom · 2 beds · 1 bath,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1335,1,111,2016-12-13,0.77,1,80,0,
242188,Rental unit in Stockholm · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,784312,Li,,Södermalms,59.31198,18.06076,Private room,800,2,389,2023-09-09,2.75,2,100,43,
273906,Rental unit in Stockholm · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,2782,6,8,2018-07-07,0.06,1,266,0,
274876,Rental unit in Stockholm · ★4.97 · 3 bedrooms · 3 beds · 1 bath,1437153,Emma,,Södermalms,59.31251981515274,18.092256045255645,Entire home/apt,3909,3,121,2023-07-30,0.87,1,0,5,
281004,Rental unit in Stockholm · ★4.88 · 1 bedroom · 2 beds · 1 bath,1225201,Marietta,,Hägersten-Liljeholmens,59.31038,18.02618,Entire home/apt,900,3,24,2023-07-29,0.17,1,291,16,
299154,Rental unit in Stockholm · ★4.64 · 1 bedroom · 2 beds · 1 bath,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,957,2,619,2023-09-23,4.95,1,163,48,
299863,Rental unit in Stockholm · ★4.46 · 1 bedroom · 1 bed · 1.5 baths,1322033,Anna,,Hägersten-Liljeholmens,59.30318,17.99521,Entire home/apt,750,3,59,2023-09-11,0.42,2,37,22,
301680,Home in Långbro · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,36,2022-04-29,0.26,2,363,0,
302496,Rental unit in Norrmalm · ★4.97 · 3 bedrooms · 6 beds · 2 baths,1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,3000,5,92,2023-08-30,0.67,1,130,11,
313763,Loft in Stockholm · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,430,3,51,2019-09-26,0.37,1,0,0,
