id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
68398,Rental unit in Daan District · ★4.71 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1029,30,7,2019-04-01,0.05,7,294,0,
271733,Rental unit in Wenshan District · ★4.97 · 2 bedrooms · 2 beds · 1 bath,242033,Robyn And David,,文山區,25.00581,121.55518,Entire home/apt,1200,14,67,2023-08-11,0.47,1,56,3,
289296,Rental unit in Daan District · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1338052,Herman,,大安區,25.04287,121.55112,Entire home/apt,2669,28,28,2023-05-20,0.26,2,313,3,
289298,Rental unit in Zhongshan District · ★4.84 · 1 bedroom · 1 bed · 1 bath,1338052,Herman,,中山區,25.08091,121.55902,Entire home/apt,2218,30,187,2022-01-12,1.48,2,336,0,
333362,Rental unit in Jhongshan District · ★4.78 · 1 bedroom · 2 beds · 1 bath,1698423,Jojo,,中山區,25.07893,121.55061,Entire home/apt,1865,4,84,2023-09-18,0.60,1,278,5,
375718,Condo in Daan District · ★4.71 · 1 bedroom · 1 bed · 1 bath,1398361,Second,,大安區,25.04178,121.551,Entire home/apt,2200,9,8,2023-08-08,0.06,9,12,2,
419399,Loft in Songshan District · ★4.82 · 1 bedroom · 1 bed · 1 bath,6629707,Charlie,,松山區,25.04721,121.54421,Entire home/apt,1700,30,139,2020-12-11,1.00,1,0,0,
646629,Rental unit in Daan District · ★4.61 · 1 bedroom · 2 beds · 1 bath,3204303,Kate,,大安區,25.01708,121.53233,Entire home/apt,2733,3,244,2020-03-09,1.85,1,180,0,
697749,Rental unit in Daan District · ★4.33 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1029,30,3,2021-01-17,0.03,7,271,0,
697760,Rental unit in Daan District · ★4.75 · 1 bedroom · 1 bath,339014,Lisa,,大安區,25.028775,121.554686,Entire home/apt,1029,30,4,2021-02-05,0.05,7,202,0,
697805,Rental unit in Daan District · ★5.0 · 1 bedroom · 1 bath,339014,Lisa,,大安區,25.028779,121.552111,Entire home/apt,1029,28,10,2023-06-16,0.09,7,86,2,
718493,Rental unit in Neihu District · ★4.57 · 2 bedrooms · 2 beds · 1 bath,3705836,Gordon,,內湖區,25.0692,121.58582,Entire home/apt,1988,14,90,2020-12-24,0.68,11,269,0,
761561,Rental unit in Taipei · ★4.75 · Studio · 1 bed · 1 bath,4014285,Pei,,中正區,25.02463,121.52318,Entire home/apt,2251,5,32,2023-07-29,0.25,1,213,4,
837546,Rental unit in Neihu District · ★5.0 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.08353,121.56432,Private room,1984,8,3,2018-01-01,0.03,9,365,0,
837558,Rental unit in Neihu District · ★5.0 · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08353,121.56499,Private room,1883,7,9,2022-08-24,0.11,9,354,0,
855470,Rental unit in Neihu District · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08374,121.56374,Private room,1883,30,1,2019-04-14,0.02,9,365,0,
858235,Rental unit in Neihu District · ★4.42 · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08347,121.56491,Private room,1709,7,13,2019-03-03,0.12,9,359,0,
869581,Condo in Shilin District · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,4581891,Sophia,,士林區,25.12665,121.53418,Entire home/apt,3215,364,35,2020-03-06,0.27,2,0,0,
889269,Rental unit in Beitou District · ★4.70 · 1 bedroom · 0 shared baths,4717608,On My Way Taipei Hostel,,北投區,25.1327,121.50147,Shared room,600,1,55,2023-03-16,0.44,4,351,4,
899766,Rental unit in Beitou District · ★4.66 · 1 bedroom · 1 bed · 0 shared baths,4717608,On My Way Taipei Hostel,,北投區,25.13399,121.50026,Shared room,600,1,29,2023-05-23,0.27,4,359,5,
962871,Rental unit in Daan District · 1 bedroom · 1 bed · 1 private bath,5216333,Monroe,,大安區,25.04213,121.55314,Private room,2500,2,1,2018-12-30,0.02,4,365,0,
963051,Home in Taipei · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5247611,Fiona,,信義區,25.03648,121.5581,Private room,2800,3,3,2023-01-29,0.04,3,334,1,
969958,Rental unit in Daan District · ★3.50 · 1 bedroom · 1 bed · 1 bath,1641790,Lyric,,大安區,25.04244,121.53458,Private room,2572,2,5,2016-12-22,0.04,1,362,0,
983054,Rental unit in Nangang District · ★4.33 · 2 bedrooms · 3 beds · 1 shared bath,5386798,Jej,,南港區,25.03723,121.61464,Private room,420,31,51,2020-08-14,0.44,2,364,0,
995079,Rental unit in Neihu District · ★4.78 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.082,121.5706,Entire home/apt,2241,12,9,2023-06-21,0.10,9,345,2,
995506,Rental unit in Zhongshan District · ★4.67 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.04806,121.52318,Private room,1257,2,141,2020-01-12,1.12,3,0,0,
995592,Rental unit in Zhongshan District · ★4.56 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.05025,121.52342,Private room,1100,2,113,2018-08-06,0.89,3,0,0,
996009,Rental unit in Shilin District · ★2.50 · 1 bedroom · 1 bed · 1 bath,5471813,Taipei Shelter,,士林區,25.08765,121.52118,Private room,1608,3,6,2013-12-18,0.05,1,0,0,
997153,Rental unit in Zhongshan District · ★4.52 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.05017,121.52281,Entire home/apt,1507,2,107,2017-09-07,0.92,3,0,0,
997692,Rental unit in Neihu District · 2 bedrooms · 1 bed,4377110,Alice,,內湖區,25.08332,121.57057,Entire home/apt,2517,10,1,2015-01-04,0.01,9,365,0,
1000580,Rental unit in Neihu District · ★4.86 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.08386,121.56448,Entire home/apt,2241,7,7,2022-07-04,0.06,9,365,0,
1015037,Rental unit in Daan District · ★4.71 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.041624884945406,121.54974724342638,Entire home/apt,1350,30,7,2023-03-25,0.07,7,284,1,
1015088,Rental unit in Daan District · ★4.78 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.04163628361521,121.55152065563288,Entire home/apt,1350,30,9,2023-04-13,0.10,7,266,1,
1037747,Rental unit in Beitou District · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,4581891,Sophia,,北投區,25.13702,121.50899,Entire home/apt,1350,365,94,2020-03-10,0.74,2,0,0,
1072856,Hostel in Songshan District · ★4.70 · 2 bedrooms · 2 beds · 1 private bath,5785514,小公館人文旅舍,,松山區,25.05152,121.56966,Hotel room,2809,1,38,2022-12-30,0.31,7,204,1,
1072857,Hotel in Songshan District · ★4.71 · 2 bedrooms · 1 bed · 1 private bath,5785514,小公館人文旅舍,,松山區,25.05159,121.56966,Hotel room,3123,1,48,2023-07-11,0.40,7,227,12,
1094125,Rental unit in Daan District · ★4.77 · 2 bedrooms · 2 beds · 2 baths,51827,Jan,,大安區,25.04175,121.55308,Entire home/apt,4980,5,86,2023-08-26,0.71,13,111,4,
1097851,Condo in Xinyi District · ★4.66 · 1 bedroom · 1 bed · 1.5 baths,6033578,Ck,,信義區,25.04173,121.56663,Entire home/apt,3537,2,273,2023-09-17,2.24,1,324,26,
1120179,Rental unit in Daan District · ★4.77 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.04184,121.553,Entire home/apt,2733,4,95,2023-09-09,0.79,13,96,19,
