id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35644,Home in West Hobart · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths,153268,Yvette,,Hobart,-42.87895,147.31526,Private room,50,1,257,2020-03-08,1.96,3,0,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
84581,Home in West Kentish · ★4.98 · 3 bedrooms · 6 beds · 2 baths,461471,Melissa,,Kentish,-41.38892,146.23196,Entire home/apt,295,2,117,2023-08-09,1.25,1,260,31,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
88873,Townhouse in Hobart · ★4.66 · 2 bedrooms · 3 beds · 1 bath,485048,Russell And Ingrid,,Hobart,-42.88219,147.32253,Entire home/apt,125,2,560,2023-09-01,3.74,1,150,51,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
137808,Home in Launceston  · ★4.51 · 2 bedrooms · 7 beds · 1.5 baths,673625,Emma And Dale,,Launceston,-41.42548,147.12855,Entire home/apt,239,1,369,2023-09-03,2.62,2,341,78,DA0518/2019
252996,Guest suite in Gawler · ★4.90 · 1 bedroom · 1 bed · 1 bath,1090010,Kit,,Central Coast,-41.2344,146.13398,Entire home/apt,125,2,74,2023-07-09,0.54,2,107,11,Exempt: This listing falls under the 'home sharing' exemption
268482,Bed and breakfast in Stanley · ★5.0 · Studio · 1 private bath,1406692,Rhonda,,Circular Head,-40.7649,145.29704,Private room,334,1,5,2022-02-05,0.06,7,301,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
270374,Loft in Gawler · ★4.96 · 1 bedroom · 2 beds · 1 bath,1090010,Kit,,Central Coast,-41.2344,146.134,Entire home/apt,195,2,84,2023-02-03,0.80,2,79,6,Exempt: This listing falls under the 'home sharing' exemption
292399,Farm stay in Ellendale · ★4.52 · 2 bedrooms · 3 beds · 1 private bath,1513972,Mandy,,Central Highlands,-42.62103,146.71567,Private room,130,1,204,2023-07-05,1.57,1,357,20,Exempt: This listing falls under the 'home sharing' exemption
292447,Guesthouse in Mt Stuart · ★4.64 · 1 bedroom · 1 bed · Shared half-bath,1514295,Bernd,,Hobart,-42.86919,147.30002,Private room,55,2,140,2023-08-19,1.08,1,266,20,Exempt: This listing falls under the 'home sharing' exemption
326771,Home in Austins Ferry · ★4.63 · 3 bedrooms · 7 beds · 2 baths,1670767,John,,Glenorchy,-42.77935,147.25602,Entire home/apt,240,2,47,2023-05-18,0.50,1,278,13,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
401176,Home in North Hobart · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,2002482,Diana,,Hobart,-42.87061,147.32112,Private room,130,2,93,2023-06-18,0.70,1,347,6,Exempt: This listing falls under the 'home sharing' exemption
434150,Home in Kingston · ★4.95 · 1 bedroom · 1 bed · 1 private bath,1777929,Janine,,Kingborough,-42.96517,147.30318,Private room,78,1,20,2023-06-19,0.15,1,0,8,Exempt: This listing falls under the 'home sharing' exemption
485644,Cabin in Lilydale · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,2404373,Susie,,Launceston,-41.25922,147.25165,Entire home/apt,320,2,396,2023-08-12,3.05,2,339,38,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
488471,Home in Sisters Beach · ★4.77 · 3 bedrooms · 4 beds · 1 bath,2417230,Angela,,Waratah/Wynyard,-40.91154,145.54623,Entire home/apt,300,2,76,2022-12-04,0.63,1,329,2,DA13/2009
