id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103875,Rental unit in The Hague · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07453,4.31669,Entire home/apt,125,4,20,2021-11-12,0.14,3,0,0,0518B3A6F34367DC62EA
378711,Loft in The Hague · ★4.50 · Studio · 2 beds · 1 private bath,1902132,Karen,Wijk 03 Westbroekpark en Duttendel,Duttendel,52.10673,4.30498,Private room,120,3,25,2023-08-04,0.46,2,145,3,0518 8B36 A437 A071 6DE3
450807,Rental unit in The Hague · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,2238496,Saskia,Wijk 26 Bezuidenhout,Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,114,7,127,2023-08-20,0.92,1,99,1,0518 2B37 5D9E E68B 7E90
492615,Condo in The Hague · ★4.49 · 1 bedroom · 2 beds · 1.5 shared baths,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,43,1,371,2023-09-16,2.71,2,0,52,05188F255B48V7D7EF83
523633,Rental unit in Den Haag · ★4.69 · 1 bedroom · 1 bed · 1 bath,300966,Elwin,Wijk 38 Laakkwartier en Spoorwijk,Laakhaven-Oost,52.07057,4.32574,Entire home/apt,238,1,400,2023-09-05,2.92,20,353,12,Exempt
628445,Serviced apartment in Den Haag · ★4.64 · 1 bedroom · 1 bed · 1 bath,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07055,4.32493,Entire home/apt,264,1,259,2023-05-21,1.93,20,359,4,Exempt
635931,Rental unit in Den Haag · ★4.65 · 1 bedroom · 1 bath,300966,Elwin,Wijk 27 Stationsbuurt,Rivierenbuurt-Zuid,52.07221,4.32558,Entire home/apt,254,1,145,2023-08-28,1.08,20,359,8,Exempt
635974,Rental unit in Den Haag · ★4.58 · 1 bedroom · 1 bed · 1 bath,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,250,1,232,2023-08-24,1.74,20,338,17,Exempt
641820,Rental unit in The Hague · ★4.59 · 2 bedrooms · 1 bed · 1.5 baths,3206829,Coco,Wijk 04 Benoordenhout,Duinzigt,52.10292,4.32035,Entire home/apt,72,3,263,2023-07-31,2.11,1,316,13,0518 39C4 1D10 992B 8F94
730922,Condo in The Hague · ★4.46 · 1 bedroom · 1 bed · 1.5 shared baths,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,41,1,278,2023-09-03,2.23,2,251,45,0518 8F25 5B48 C7D7 EF83
