id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35261,Rental unit in Thessaloniki · ★4.73 · 1 bedroom · 1 bed · 1 bath,151631,Cathy,,Thessaloniki,40.6378,22.94987,Entire home/apt,48,2,47,2023-09-11,0.32,2,282,2,
218831,Rental unit in Kalamaria · 3 bedrooms · 2 beds · 1 bath,137588,Dimitrios,,Kalamaria,40.57274,22.95667,Entire home/apt,90,4,1,2020-02-02,0.02,1,358,0,00000049330
376955,Rental unit in Thessaloniki · ★4.94 · 3 bedrooms · 3 beds · 2 baths,1894819,Olivia,,Thessaloniki,40.59683,22.95394,Entire home/apt,50,28,20,2017-05-31,0.15,1,0,0,
483128,Condo in Thessaloniki · ★4.80 · 1 bedroom · 1 bed · 1 bath,2358521,Stelios,,Thessaloniki,40.63942,22.95121,Entire home/apt,35,2,372,2023-09-08,2.70,1,349,16,00000502736
494816,Rental unit in Ikismos Makedonia · ★4.73 · 2 bedrooms · 2 beds · 1 bath,1977386,Cristina&Tomas! Skgbnb,,Neapolis – Sykeon,40.64763,22.94309,Entire home/apt,37,20,42,2023-07-13,0.33,22,193,3,00001900000
550239,Serviced apartment in Thessaloniki · ★4.57 · Studio · 1 bed · 1 bath,1193625,Olga,,Thessaloniki,40.64008,22.95598,Entire home/apt,40,10,7,2023-02-08,0.05,6,228,1,Exempt
756569,Rental unit in Thessaloniki · ★4.76 · 2 bedrooms · 1 bed · 1 bath,3714248,Chrysothemis,,Thessaloniki,40.61462,22.97649,Entire home/apt,37,1,17,2017-05-29,0.14,1,355,0,
798646,Rental unit in Panorama · ★4.86 · 1 bedroom · 1 bed · 2 baths,2890501,Francy,,Pilea – Chortiatis,40.58628,23.03393,Entire home/apt,95,7,7,2021-07-14,0.11,1,295,0,00001204888
817373,Rental unit in Thessaloniki · ★4.71 · 1 bedroom · 1 bed · 1 bath,4293278,Andreas,,Thessaloniki,40.63968,22.93879,Entire home/apt,34,2,206,2023-09-16,1.57,2,315,2,00000057587
912803,Condo in Thessaloniki · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,3835591,Olga,,Pavlou Mela,40.65929,22.93068,Private room,19,2,126,2023-09-07,1.03,1,350,13,00000477581
1006153,Serviced apartment in Thessaloniki · ★4.80 · 1 bedroom · 4 beds · 1 bath,1193625,Olga,,Thessaloniki,40.64058,22.95678,Entire home/apt,46,10,15,2023-06-12,0.19,6,113,3,Exempt
1007872,Condo in Thessaloniki · ★4.60 · Studio · 1 bed · 1 bath,5543143,Giannis,,Thessaloniki,40.6378,22.9571,Entire home/apt,28,3,50,2023-06-12,0.66,1,170,9,00000332400
1013340,Serviced apartment in Thessaloniki · ★4.75 · Studio · 1 bed · 1 bath,1193625,Olga,,Thessaloniki,40.63974,22.95704,Entire home/apt,39,10,4,2023-08-09,0.06,6,215,2,Exempt
1058022,Rental unit in Thessaloniki · ★4.64 · 1 bedroom · 1 bed · 1 bath,4293278,Andreas,,Thessaloniki,40.63955,22.93885,Entire home/apt,51,2,106,2022-12-18,0.84,2,226,1,00000126170
1060922,Condo in Thessaloniki · ★4.92 · 1 bedroom · 1 bed · 1 bath,5841701,Yiorgos,,Thessaloniki,40.6346435546875,22.94386863708496,Entire home/apt,65,4,74,2023-07-16,0.60,1,269,6,00001237460
1117177,Serviced apartment in Thessaloniki · ★4.67 · Studio · 2 beds · 1 bath,1193625,Olga,,Thessaloniki,40.64126,22.95705,Entire home/apt,45,10,9,2023-08-12,0.14,6,227,4,Exempt
1397321,Serviced apartment in Thessaloniki · Studio · 3 beds · 1 bath,1193625,Olga,,Thessaloniki,40.6396,22.95499,Entire home/apt,60,10,2,2020-01-01,0.03,6,152,0,Exempt
2086784,Rental unit in Thessaloniki · ★4.73 · 1 bedroom · 1 bed · 1 bath,10654206,Alexandra,,Thessaloniki,40.63177,22.94171,Entire home/apt,32,1,708,2023-09-17,5.98,26,347,77,00000352450
2174678,Rental unit in Thessaloniki · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,7591507,Alexandros,,Thessaloniki,40.62761,22.94842,Entire home/apt,179,2,103,2023-09-13,1.16,1,344,15,00000510135
2346672,Rental unit in Thessaloníki · ★4.52 · 1 bedroom · 1 bed · 1 bath,6329227,Yota,,Thessaloniki,40.63241,22.94945,Entire home/apt,88,5,128,2020-02-02,1.11,1,363,0,00000502408
2417714,Rental unit in Thessaloniki · ★4.75 · 2 bedrooms · 3 beds · 1 bath,12356276,Yiannis,,Thessaloniki,40.6415,22.94488,Entire home/apt,47,2,468,2023-09-18,4.02,3,355,46,00000357571
2525130,Rental unit in Panorama · ★4.20 · 1 bedroom · 1 bed · 1 bath,12928977,Despina,,Pilea – Chortiatis,40.5926,23.03319,Entire home/apt,80,3,6,2021-07-04,0.07,2,0,0,00000040650
2639807,Rental unit in Thessaloniki · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,13516901,Ioulianos,,Thessaloniki,40.63948,22.93883,Entire home/apt,56,2,107,2022-04-17,0.94,1,131,0,00000161920
2656518,Rental unit in Thessaloniki · ★4.49 · 2 bedrooms · 1 bed · 1 bath,13597375,Filitsa,,Thessaloniki,40.60826,22.96228,Entire home/apt,30,2,116,2023-08-01,1.01,4,335,11,00002237438
