id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Rental unit in Sumida · ★4.77 · 1 bedroom · 2 beds · 1 bath,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,12000,3,174,2023-08-13,1.19,1,39,8,M130003350
776070,Home in Kita-ku · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,8902,3,248,2023-08-27,1.88,1,116,18,M130000243
905944,Rental unit in Shibuya · ★4.77 · 2 bedrooms · 4 beds · 1 bath,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67878,139.67847,Entire home/apt,23740,3,194,2023-09-11,1.52,5,166,9,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
1016831,Home in Setagaya · ★4.94 · 1 bedroom · 2 beds · 1 shared bath,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,24000,30,256,2023-09-18,2.01,1,53,45,M130001107
1196177,Home in 足立区 · ★4.73 · 1 bedroom · 1.5 shared baths,5686404,Yukiko,,Adachi Ku,35.744730998785165,139.79738412263163,Private room,5200,2,100,2023-09-19,0.81,1,112,5,M130007760
1249571,Home in Shibuya · ★4.97 · 1 bedroom · 1 bed · 1 bath,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,47904,5,117,2023-07-11,0.96,1,0,9,M130000957
1263000,Home in Setagaya · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,8000,2,188,2023-09-20,1.51,1,327,4,M130000057
1298200,Home in Katsushika · ★4.94 · 2 bedrooms · 4 beds · 2 baths,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,19400,1,374,2023-08-10,3.00,2,127,30,M130009943
1306664,Rental unit in Shinjuku · ★4.91 · 1 bedroom · 1 bed · 1 bath,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,41143,3,193,2023-09-09,1.59,2,2,25,M130003681
1394124,Home in Meguro · ★4.78 · 2 bedrooms · 2 beds · 2.5 baths,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,36429,2,279,2023-09-11,2.26,1,105,39,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
