id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7381,Rental unit in Vers L'Eglise · ★4.74 · 1 bedroom · 2 beds · 1 bath,19480,Paula,Aigle,Ormont-Dessus,46.35447,7.13187,Entire home/apt,88,3,58,2023-07-17,0.43,1,205,4,
26809,Rental unit in Pully · ★4.90 · 1 bedroom · 1 bed · 1 private bath,94917,Eric,Lavaux-Oron,Pully,46.52083,6.66308,Private room,71,2,117,2017-01-22,0.73,1,0,0,
50123,Rental unit in Mont-sur-Rolle · 1 bedroom · 4 beds,229512,Christopher,Nyon,Mont-sur-Rolle,46.47582,6.32948,Private room,822,4,0,,,1,365,0,
129558,Rental unit in Lausanne · 1 bedroom · 1 bed · 1 bath,638930,Carol,Lausanne,Lausanne,46.53782,6.62031,Private room,77,7,0,,,1,0,0,
259823,Rental unit in La Tour-de-Peilz · ★4.69 · 2 bedrooms · 3 beds · 1.5 baths,1363446,David,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45241,6.86121,Entire home/apt,360,2,14,2019-08-04,0.18,1,0,0,
268195,Rental unit in Villars sur Ollon · ★4.94 · 3 bedrooms · 4 beds · 3 baths,1405645,David,Aigle,Ollon,46.29621,7.05534,Entire home/apt,330,7,18,2023-09-15,0.21,5,180,2,
282240,Loft in Lausanne · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,1471038,Mike,Lausanne,Lausanne,46.52192,6.64,Entire home/apt,179,3,22,2023-09-09,0.16,1,278,5,
347194,Bed and breakfast in Chardonne · ★4.80 · 2 bedrooms · 3 beds · 1 private bath,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47465,6.8007,Hotel room,252,2,76,2023-07-11,0.55,2,250,4,
361490,Rental unit in Chexbres · ★4.87 · 1 bedroom · 2 beds · 1 bath,1759902,Anne,Riviera-Pays-d'Enhaut,Chardonne,46.47372055053711,6.801305770874023,Entire home/apt,228,1,84,2023-07-29,0.60,2,230,5,
441365,Rental unit in Lausanne · ★4.23 · 1 bedroom · 1 bed · 1 bath,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,1,26,2022-12-03,0.22,16,214,2,
465603,Rental unit in Rennaz · ★4.64 · 1 bedroom · 1 bed · 1 private bath,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.91791,Private room,42,2,266,2023-09-23,1.93,1,275,21,
481748,Rental unit in Vevey · 2 bedrooms · 1 bed · 2 baths,2386200,Milica,Riviera-Pays-d'Enhaut,Vevey,46.46593,6.84179,Entire home/apt,206,7,0,,,1,178,0,
484112,Condo in Lausanne · ★4.76 · 1 bedroom · 1 bed · 1 bath,1469498,Natalia,Lausanne,Lausanne,46.52386,6.61567,Entire home/apt,88,4,18,2022-12-20,0.14,1,0,1,
