id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Rental unit in Venice · ★4.94 · 2 bedrooms · 4 beds · 2 baths,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,290,5,184,2023-07-23,1.09,3,308,9,
6624,Rental unit in Venice · ★4.98 · 2 bedrooms · 6 beds · 2 baths,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,341,4,86,2023-07-02,0.59,3,321,11,
12074,Rental unit in Venice · ★4.94 · 2 bedrooms · 4 beds · 2 baths,15016,Francesca,Isole,San Polo,45.43896,12.3297,Entire home/apt,210,4,202,2023-06-26,1.24,3,285,7,
27116,Bed and breakfast in Venice · ★4.84 · 1 bedroom · 2 beds · 1 private bath,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,344,1,415,2022-11-11,2.61,2,0,1,
44527,Rental unit in Venice · ★4.84 · 3 bedrooms · 3 beds · 2 baths,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,390,3,120,2023-09-03,0.80,1,307,24,M0270422294
47383,Bed and breakfast in Venice · ★4.93 · 1 bedroom · 1 bed · 1 private bath,214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,143,2,370,2023-08-14,2.35,4,303,55,
47549,Rental unit in Venice · ★4.80 · 3 bedrooms · 3 beds · 2 baths,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,191,2,145,2020-01-18,1.01,2,57,0,
49656,Rental unit in Venice · ★4.80 · 2 bedrooms · 2 beds · 1 bath,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,143,3,109,2023-08-24,0.83,2,222,8,Z00521
60020,Bed and breakfast in Venice · ★4.41 · 1 bedroom · 1 bed · 1 private bath,288785,Nicola,Isole,Cannaregio,45.44229,12.3304,Hotel room,135,2,68,2022-06-17,0.44,2,237,0,
60304,Bed and breakfast in Venice · ★4.89 · 1 bedroom · 1 bed · 1 private bath,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,193,1,160,2023-05-06,1.08,2,56,3,
61714,Bed and breakfast in Venice · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,108,2,404,2023-08-24,2.65,2,177,57,
63267,Rental unit in Venice · ★5.0 · 1 bedroom · 1 bed · 1 bath,308732,Cristina,Isole,Castello,45.43886,12.3499,Entire home/apt,90,3,11,2020-01-03,0.17,1,2,0,
69877,Bed and breakfast in Venice · ★4.33 · 1 bedroom · 2 beds · 1 bath,351965,Ca' Turelli,Isole,Dorsoduro,45.43218,12.32572,Private room,140,2,6,2017-05-11,0.05,3,45,0,
71735,Rental unit in Venice · ★4.56 · 1 bedroom · 2 beds · 1 bath,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,85,3,152,2023-08-27,1.02,3,218,29,
71874,Bed and breakfast in Venice · ★4.38 · 1 bedroom · 1 bed · 1 shared bath,369642,Valter,Isole,Santa Croce,45.44216,12.32644,Private room,101,1,93,2023-09-01,0.68,2,269,26,
72740,Rental unit in Italy · ★4.82 · 1 bedroom · 1 bed · 1 bath,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,93,3,376,2023-08-16,2.51,5,16,33,027042-BEB-00469
72821,Boat in Venice · ★4.18 · 7 bedrooms · 16 beds · 7 shared baths,376806,Orlando,Isole,Sacca Fisola,45.42811,12.31702,Private room,120,1,51,2022-10-13,0.34,1,0,3,
74042,Rental unit in Venice · ★4.78 · 2 bedrooms · 1 bed · 1 bath,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,166,3,522,2023-08-28,3.51,3,81,4,
74272,Rental unit in Venice · ★4.69 · 1 bedroom · 1 bed · 1 bath,390175,Monica,Isole,Castello,45.43331,12.35038,Entire home/apt,91,3,314,2023-08-07,2.09,2,273,30,M0270428488
75376,Rental unit in Venice · ★4.68 · 2 bedrooms · 3 beds · 1 bath,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,191,3,180,2023-09-01,1.24,5,306,29,027042-LOC-01843
75760,Rental unit in Venice · ★4.73 · 1 bedroom · 3 beds · 2 baths,402656,Anna,Isole,Castello,45.43079,12.35641,Entire home/apt,225,5,227,2023-05-21,1.52,1,193,5,IP0270421094
75994,Rental unit in Venice · ★4.60 · 2 bedrooms · 2 beds · 1 bath,399883,Monica,Isole,San Marco,45.43746,12.337,Entire home/apt,185,3,144,2023-08-11,0.98,5,315,22,027042-LOC-01842
77188,Rental unit in Venice · ★4.88 · 2 bedrooms · 2 beds · 1 bath,390175,Monica,Isole,Castello,45.43294,12.34882,Entire home/apt,111,3,348,2023-08-17,2.36,2,241,31,M0270428487
77598,Rental unit in Venice · ★4.58 · 2 bedrooms · 6 beds · 1 bath,416351,Italo,Isole,Dorsoduro,45.43088,12.3199,Entire home/apt,179,2,86,2023-02-19,0.62,2,48,3,
80403,Rental unit in Venice · ★4.76 · 1 bedroom · 2 beds · 1 bath,434492,Lucia,Isole,Dorsoduro,45.4342,12.31943,Entire home/apt,140,3,52,2023-06-27,0.35,1,256,7,
