id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
464384,Rental unit in Winnipeg · ★4.40 · 3 bedrooms · 5 beds · 1.5 baths,955449,Silvio,,Fort Rouge - East Fort Garry,49.86746,-97.13952,Entire home/apt,82,5,96,2023-06-17,0.72,1,361,2,
1526583,Bungalow in Winnipeg · ★4.71 · 3 bedrooms · 4 beds · 2 shared baths,8145510,Ruth,,Fort Rouge - East Fort Garry,49.86024,-97.153,Private room,35,3,34,2023-09-02,0.58,5,253,2,
1529013,Guest suite in Winnipeg · ★4.84 · Studio · 1 bath,4997811,Rebecca,,Daniel McIntyre,49.88285,-97.16937,Entire home/apt,63,2,131,2023-09-02,1.20,4,237,2,
1559076,Condo in Winnipeg · ★4.92 · 1 bedroom · 1 bed · 2.5 baths,970192,Colleen,,Charleswood - Tuxedo - Westwood,49.86578,-97.20899,Entire home/apt,90,28,26,2023-04-30,0.22,1,323,3,
1664166,Home in Winnipeg · ★4.83 · 5 bedrooms · 5 beds · 2 baths,8288997,Richard,,St. Vital,49.866,-97.11149,Entire home/apt,200,2,145,2023-09-10,1.28,1,333,32,
3664955,Rental unit in Winnipeg · ★4.89 · 2 bedrooms · 2 beds · 2 baths,18581972,Ryan,,Fort Rouge - East Fort Garry,49.8805,-97.14399,Entire home/apt,129,3,144,2023-09-09,1.30,9,153,26,
3665425,Condo in Winnipeg · ★4.96 · 2 bedrooms · 2 beds · 2 baths,18581972,Ryan,,Fort Rouge - East Fort Garry,49.88021,-97.14516,Entire home/apt,129,3,25,2023-09-08,0.25,9,53,17,
4574645,Bungalow in Winnipeg · ★4.78 · 1 bedroom · 1 private bath,23470058,K,,North Kildonan,49.95255,-97.06113,Private room,60,3,54,2023-08-18,0.54,4,70,7,
5395880,Home in Winnipeg · ★4.67 · 3 bedrooms · 4 beds · 2 baths,23470058,K,,North Kildonan,49.95453,-97.06287,Entire home/apt,150,4,15,2020-08-18,0.15,4,70,0,
5420833,Home in Winnipeg · ★4.98 · 1 bedroom · 2 beds · 1 private bath,71184,Hiroshi & Naomi,,Elmwood - East Kildonan,49.9097,-97.06932,Private room,50,1,130,2023-09-06,1.29,1,60,5,
6013819,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,31217093,Barry,,St. Vital,49.85536,-97.12056,Entire home/apt,220,4,5,2017-08-12,0.05,1,132,0,
6170275,Home in Winnipeg · ★4.83 · 5 bedrooms · 5 beds · 2 baths,31823352,Christene,,River Heights - Fort Garry,49.87337,-97.18107,Entire home/apt,490,4,18,2023-08-11,0.23,1,91,2,
6262372,Home in Winnipeg · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,31620704,Jill & Noreen,,Daniel McIntyre,49.8831,-97.16491,Private room,55,1,176,2023-08-19,1.75,3,285,16,
6349369,Home in Winnipeg · ★4.88 · 1 bedroom · 1 bed · 1 bath,33077287,Sergio,,Elmwood - East Kildonan,49.92575,-97.09594,Entire home/apt,66,3,86,2023-08-27,0.85,2,317,11,
