id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
73282,Rental unit in Zurich · ★4.78 · 1 bedroom · 1 bed · 1 bath,377532,Simona,Kreis 3,Sihlfeld,47.37167,8.51948,Entire home/apt,100,1125,49,2019-04-27,0.35,1,358,0,
178448,Rental unit in Zurich · ★4.89 · 1 bedroom · 1 bed · 1 bath,854016,Delphine,Kreis 2,Enge,47.36514,8.52615,Private room,60,5,9,2016-05-10,0.06,1,235,0,
204586,Rental unit in Zurich · 1 bedroom · 1 bed · 1 shared bath,1004816,Aicha,Kreis 10,Höngg,47.40644,8.48385,Private room,200,3,0,,,1,351,0,
222565,Home in Zurich · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,1155866,Ysabel,Kreis 2,Wollishofen,47.33438,8.54078,Private room,79,2,235,2023-09-07,1.62,2,206,8,
227039,Loft in Zurich · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths,1184427,Lucas,Kreis 5,Escher Wyss,47.38942,8.51881,Entire home/apt,500,4,31,2023-08-22,0.21,1,61,1,
251204,Rental unit in Zurich · 1 bedroom · 1 bed · 1 bath,1224284,Urban,Kreis 10,Wipkingen,47.39282,8.52685,Entire home/apt,145,5,1,2022-10-03,0.08,1,0,1,
253802,Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 2 baths,1333119,Marko,Kreis 1,Lindenhof,47.37356,8.53949,Entire home/apt,202,3,4,2023-06-17,0.65,1,362,4,
283737,Rental unit in Zurich · ★4.48 · 2 bedrooms · 2 beds · 1 bath,1477771,Nuria,Kreis 1,Rathaus,47.37372,8.54452,Entire home/apt,159,4,336,2023-09-09,2.36,2,150,42,
292351,Condo in Zürich · ★4.60 · 3 bedrooms · 9 beds · 2.5 baths,1513739,Anil,Kreis 4,Hard,47.38066,8.50657,Entire home/apt,189,5,11,2023-07-31,0.16,1,0,1,
310964,Rental unit in Zurich · ★4.92 · 3 bedrooms · 2 beds · 2 baths,1266114,Kim,Kreis 1,Hochschulen,47.36713,8.54868,Entire home/apt,360,7,13,2019-01-06,0.10,1,175,0,
551321,Home in Zurich · ★4.89 · 1 bedroom · 1 bed · 2.5 baths,2709967,Stephanie,Kreis 3,Sihlfeld,47.37156,8.51412,Entire home/apt,115,2,22,2018-02-08,0.16,1,134,0,
577683,Rental unit in Zurich · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,1240329,Claudio,Kreis 10,Höngg,47.4049,8.49555,Entire home/apt,160,5,7,2021-07-03,0.05,1,170,0,
606954,Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,2659673,Esther,Kreis 3,Sihlfeld,47.36865,8.49948,Private room,50,2,4,2020-03-10,0.04,1,0,0,
610348,Rental unit in Zurich · ★4.72 · 4 bedrooms · 6 beds · 2 baths,3026473,Leandra,Kreis 11,Oerlikon,47.40703,8.55232,Entire home/apt,220,4,130,2023-08-21,0.97,2,278,22,
620130,Rental unit in Zurich · ★4.84 · 1 bedroom · 2 beds · 1 bath,3072679,Andrea,Kreis 10,Wipkingen,47.39278,8.53,Entire home/apt,185,3,25,2020-02-08,0.28,5,0,0,
644888,Rental unit in Zurich · ★4.80 · 3 bedrooms · 7 beds · 2 shared baths,3228273,Violetta,Kreis 3,Sihlfeld,47.37821,8.50637,Private room,86,4,17,2023-08-14,0.13,1,243,1,
706972,Rental unit in Zurich · ★4.88 · 1 bedroom · 1 bed · 1 bath,3072679,Andrea,Kreis 10,Wipkingen,47.39229,8.52951,Entire home/apt,134,3,8,2020-03-17,0.08,5,0,0,
